ScriptTag,Target[0],Target[1],Target[2],ZoomedTargetOffset[0],ZoomedTargetOffset[1],ZoomedTargetOffset[2],ID,Flags,CameraType,Yaw,Pitch,Roll,ZoomedYawOffset,ZoomedPitchOffset,ZoomedRollOffset,ZoomDistance,MinZoomDistance,MaxZoomDistance,UiModelSceneID
primary,0.01,-0.25,0.01,0,0,0,1277,1,0,0,0,0,0,0,0,8,1.32,99.32,1295
primary,0.01,-0.19,0.03,0,0,0,1278,1,0,0,0,0,0,0,0,7.01,1.34,99.34,1296
primary,0,0,3.5,0,0,0,1279,1,0,2.6179938,0,0,0,0,0,20,0,99,1297
primary,0,0,4,0,0,-1.5,1280,1,0,2.443461,0,0,0.17453292,0,0,15,0,99,1298
primary,1.4,0.61,0.11,0,0,0,1282,1,0,0,0,0,0,0,0,10.06,1.38,99.38,1300
primary,0,0.6,0,0,0,0,1283,1,0,0,0,0,0,0,0,9,0,99,1301
primary,0,0.75,3.25,0,0,-1.5,1284,1,0,2.443461,0,0,0.17453292,0,0,15,0,99,1302
primary,0,0,1.5,0,0,0,1290,1,0,2.6179938,0,0,0,0,0,15,0,99,1308
primary,0,0,1,0,0,0,1291,1,0,2.6179938,0,0,0,0,0,15,0,99,1309
primary,0,0,0.4,0,0,0,1292,1,0,2.6179938,0,0,0,0,0,5,0,99,1310
primary,0,0,1,0,0,0,1293,1,0,2.6179938,0,0,0,0,0,10,0,99,1311
primary,0,0,1.5,0,0,0,1294,1,0,2.6179938,0,0,0,0,0,5,0,99,1312
primary,0,0,2,0,0,0,1295,1,0,2.6179938,0,0,0,0,0,12,0,99,1313
primary,0,0,1.75,0,0,0,1296,1,0,2.6179938,0,0,0,0,0,17,0,99,1314
primary,0,0,2.5,0,0,0,1297,1,0,2.6179938,0,0,0,0,0,20,0,99,1315
primary,0,0,1.15,0,0,0,1298,1,0,2.6179938,0,0,0,0,0,12,0,99,1316
primary,0,0.6,0,0,0,0,1303,1,0,0,0,0,0,0,0,8,0,99,1321
primary,0,0,1.2,0,0,0,1304,1,0,2.6179938,0,0,0,0,0,16,0,99,1322
primary,0,1,2.5,0,0,0,1305,1,0,2.6179938,0,0,0,0,0,18,0,99,1323
primary,0,0,0,0,0,0,1306,1,0,0,0,0,0,0,0,20,0.04,99.04,1324
primary,0,0,2.5,0,0,0,1307,1,0,2.6179938,0,0,0,0,0,22,0,99,1325
primary,0,0,1.75,0,0,0,1308,1,0,2.6179938,0,0,0,0,0,11,0,99,1326
primary,0,0.25,0.5,0,0,0,1309,1,0,2.6179938,0,0,0,0,0,6,0,99,1327
primary,0,0,1,0,0,0,1310,1,0,2.6179938,0,0,0,0,0,9,0,99,1328
primary,0,0,2,0,0,0,1311,1,0,2.6179938,0,0,0,0,0,15,0,99,1329
primary,0,0,0,0,0,0,1312,1,0,0,0,0,0,0,0,8,0,99,1330
primary,0,0,1.2,0,0,-1.5,1313,1,0,2.6179938,0,0,0.17453292,0,0,20,0,99,1331
primary,0,0,2,0,0,0,1314,1,0,2.6179938,0,0,0,0,0,20,0,99,1332
primary,0,0,0,0,0,0,1323,1,0,1.0471976,0,0,0,0,0,8,8,8,1341
primary,0,0,0,0,0,0,1324,1,0,1.0471976,0,0,0,0,0,8,8,8,1342
primary,0,0,0.2,0,0,0,1325,1,0,1.0471976,0,0,0,0,0,8,8,8,1343
primary,0,0,3.5,0,0,0,1344,1,0,2.6179938,0,0,0,0,0,25,0,99,1362
primary,0.02,0.61,0.01,0,0,0,1356,1,0,0,0,0,0,0,0,15.01,0.02,99.02,1375
primary,0.02,0.61,0.01,0,0,0,1357,1,0,0,0,0,0,0,0,15.01,0.02,99.02,1376
primary,0,0,1.5,0,0,0,1358,1,0,2.6179938,0,0,0,0,0,5,0,99,1377
primary,0,0,1,0,0,0,1359,1,0,2.6179938,0,0,0,0,0,6,0,99,1378
primary,0,0,2,0,0,0,1360,1,0,2.6179938,0,0,0,0,0,15,0,99,1379
primary,0,0,4,0,0,0,1363,1,0,2.6179938,0,0,0,0,0,22,0,99,1382
primary,0,0,2.5,0,0,0,1364,1,0,2.443461,0,0,0.17453292,0,0,18,0,99,1383
primary,0,-1.5,3.5,0,0,-1.5,1365,1,0,2.443461,0,0,0.17453292,0,0,20,0,99,1384
primary,0,0,3.5,0,0,0,1366,1,0,2.6179938,0,0,0,0,0,24,0,99,1385
primary,0,0,1,0,0,0,1367,1,0,2.6179938,0,0,0,0,0,13,0,99,1386
primary,0,-1,3,0,0,0,1368,1,0,2.6179938,0,0,0,0,0,35,1,99,1387
primary,0,-1,1,0,0,0,1369,1,0,2.6179938,0,0,0,0,0,20,0,99,1388
primary,0,-1,3,0,0,0,1370,1,0,2.6179938,0,0,0,0,0,40,1,99,1389
primary,0,0,0.1,0,0,0,1371,1,0,2.6179938,0,0,0,0,0,2.5,0,99,1390
primary,0,0,0.5,0,0,0,1372,1,0,2.6179938,0,0,0,0,0,7,0,99,1391
primary,0,0,0.5,0,0,0,1373,1,0,2.6179938,0,0,0,0,0,7,0,99,1392
primary,0,0,1,0,0,0,1374,1,0,2.6179938,0,0,0,0,0,10,0,99,1393
primary,0,0,1.25,0,0,0,1375,1,0,2.6179938,0,0,0,0,0,9,0,99,1394
override,0,0,1,0,0,0,1376,1,0,2.6179938,0,0,0,0,0,10,1,99,1395
primary,0,0,2,0,0,0,1377,1,0,2.6179938,0,0,0,0,0,15,0,99,1396
primary,0,-0.5,0,0,0,0,1378,1,0,0,0,0,0,0,0,10,1,100,1397
primary,0,0,0,0,0,0,1379,1,0,0,0,0,0,0,0,8,1,100,1398
primary,0,0,3.5,0,0,-1.5,1381,1,0,2.443461,0,0,0.17453292,0,0,20,0,99,1400
primary,0,0,2.5,0,0,0,1382,1,0,2.6179938,0,0,0,0,0,24,0,99,1401
primary,0,0,3.5,0,0,-1.5,1383,1,0,2.443461,0,0,0.17453292,0,0,20,0,99,1402
primary,0,0,3.5,0,0,0,1384,1,0,2.6179938,0,0,0,0,0,24,0,99,1403
primary,0,-1.5,3.5,0,0,-1.5,1385,1,0,2.443461,0,0,0.17453292,0,0,20,0,99,1404
primary,0,0,-1,0,0,0,1386,1,0,2.6179938,0,0,0,0,0,24,0,99,1405
primary,0,0,0.5,0,0,0,1387,1,0,2.6179938,0,0,0,0,0,7,0,99,1406
override,0,0,1,0,0,0,1388,1,0,2.6179938,0,0,0,0,0,10,1,99,1407
override,0,0,0.7,0,0,0,1391,0,0,1.8325957,0,0,0,0,0,4.5,1,99,1410
override,0,0,1,0,0,0,1392,1,0,1.8,0,0,0,0,0,1,6.5,99,1411
