ID,Name,Texture[0],Texture[1],Texture[2],Texture[3],Texture[4],Texture[5],Flags,SoundBank,SoundID,SpellID,MaxDarkenDepth,FogDarkenIntensity,AmbDarkenIntensity,DirDarkenIntensity,LightID,ParticleScale,ParticleMovement,ParticleTexSlots,MaterialID,MinimapStaticCol,FrameCountTexture[0],FrameCountTexture[1],FrameCountTexture[2],FrameCountTexture[3],FrameCountTexture[4],FrameCountTexture[5],Color[0],Color[1],Color[2],Float[0],Float[1],Float[2],Float[3],Float[4],Float[5],Float[6],Float[7],Float[8],Float[9],Float[10],Float[11],Float[12],Float[13],Float[14],Float[15],Float[16],Float[17],Float[18],Float[19],Float[20],Float[21],Float[22],Float[23],Float[24],Float[25],Float[26],Float[27],Float[28],Float[29],Float[30],Float[31],Float[32],Float[33],Float[34],Float[35],Float[36],Float[37],Int[0],Int[1],Int[2],Int[3],Coefficient[0],Coefficient[1],Coefficient[2],Coefficient[3]
1320,PBRWater - Teldrassil - City,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,15,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-10635564,-7880961,-13990463,60.12,0.62,1.42,20,20,1.5,100,0.5,40,2,0.01,0.35,36,1,0.015,1.1,16,20,15,0.001,1.1,0.03,0.001,-0.14,0,0.75,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1323,PBRWater - Winterspring - Hotspring1,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-6564107,0,0,0,0,0,0,-9070872,-11032065,-10115621,0.15,0.629,0.335,50,0.557,4,20,1,26,15,0.01,0,36,1.6,0.005,1.5,16,20,15,0.001,1,0.03,0.001,-0.146,0.03,0.4,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1324,PBRWater - Generic - Lake - Forest,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-10635564,-7880961,-13990463,0.3,0.5,4,20,0.5,1,80,0.826,26,1,0.01,0.35,36,1.6,0.015,1.1,20,18,16,0.001,1.1,0.03,0.001,-0.146,0,0.3,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1325,PBRWater - Generic - Lake - Large,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-10635564,-7880961,-13990463,0.3,0.5,2,20,0.5,1,80,0.826,26,1,0.01,0.35,36,1.6,0.015,1.1,20,18,16,0.001,1.1,0.03,0.001,-0.146,0,0.9,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1337,PBRWater - Feralas,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,15,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-6174501,-11489410,-13798561,0.14,0.5,4,20,1,1,2,0.826,26,1,0.01,0.3,36,1,0.015,0.699,20,18,16,0.001,1.1,0.03,0.001,-0.146,0.03,0.4,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1338,PBRWater - Tanaris - Sandy Puddle,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,527,0,1111,0,0,0,0,0,0,1,0,0,130,-7447257,0,0,0,0,0,0,-2304058,-1454670,-2775428,1.6,0.5,1.5,3,0.5,0.85,1,0.5,8,1.4,0.003,0.3,36,1,0.002,0,80,75,70,0.001,1.1,0.03,0.001,-0.146,0,0.3,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1339,PBRWater - Desolace - Puddle,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,15,0,1111,0,0,0,0,0,0,1,0,0,130,-7447257,0,0,0,0,0,0,-2304058,-7312312,-3898045,1,0.5,0.3,20,0.5,1.4,1,0.5,8,1.4,0.003,0.27,36,1,0.002,0,80,75,70,0.001,1.1,0.03,0.001,-0.146,0,0.3,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1340,PBRWater - Generic - Lake - Dirty,xtextures\12_water\dirty\12fx_water_muddy_foam_rim.blp,xtextures\12_water\dirty\12fx_water_muddy_foam_rim.blp,xtextures\12_water\dirty\12fx_water_muddy_foam_rim.blp,xtextures\12_water\dirty\12fx_water_muddy_foam_rim.blp,xtextures\12_water\dirty\12fx_water_muddy_foam_rim.blp,xtextures\12_water\dirty\12fx_water_muddy_foam_rim.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-5603524,0,0,0,0,0,0,-2304058,-7312312,-3898045,0.55,0.5,4,20,0.5,1.7,80,1.4,20,1,0.01,0.6,25,1.6,0.015,2,20,18,16,0.001,1.5,0.03,0.001,-0.146,0,0.5,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1341,PBRWater - Fel Tainted - Lake,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-16744695,0,0,0,0,0,0,-14922717,-16711917,-10332903,0.6,0.72,0.7,1,0.6,0.65,0.35,0.826,26,1,0.01,0.35,36,1.6,0.015,0.692,20,18,16,0.001,1.1,0.03,0.001,-0.146,0,0.2,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1343,PBRWater - Generic - SpringWater - ClearSkies,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-10635564,-7880961,-13990463,0.16,0.62,2.5,50,20,1,100,0.8,40,2,0.01,0.35,36,1,0.015,1.1,16,20,15,0.001,1.1,0.03,0.001,-0.146,0,0.75,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
