ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
371,Inflicts $s@effectindex Chaos damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Chaos damage inflicted every $t@effectindex sec.,6,3,1,5,127,50,50
372,Inflicts $s@effectindex Arcane damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Arcane damage inflicted every $t@effectindex sec.,6,3,1,5,64,50,50
373,Inflicts $s@effectindex Frost damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Frost damage inflicted every $t@effectindex sec.,6,3,1,5,16,50,50
374,Inflicts $s@effectindex Nature damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Nature damage inflicted every $t@effectindex sec.,6,3,1,5,8,50,50
375,Inflicts $s@effectindex Fire damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Fire damage inflicted every $t@effectindex sec.,6,3,1,5,4,50,50
376,Inflicts $s@effectindex Holy damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Holy damage inflicted every $t@effectindex sec.,6,3,1,5,2,50,50
377,Inflicts $s@effectindex Physical damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Physical damage inflicted every $t@effectindex sec.,6,3,1,5,1,50,50
378,Inflicts $s@effectindex Shadow damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Shadow damage inflicted every $t@effectindex sec.,6,3,1,5,32,50,50
379,Inflicts $s@effectindex Shadow damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Shadow damage inflicted every $t@effectindex sec.,6,3,1,9,32,50,50
380,Inflicts $s@effectindex Physical damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Physical damage inflicted every $t@effectindex sec.,6,3,1,9,1,50,50
381,Inflicts $s@effectindex Holy damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Holy damage inflicted every $t@effectindex sec.,6,3,1,9,2,50,50
382,Inflicts $s@effectindex Fire damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Fire damage inflicted every $t@effectindex sec.,6,3,1,9,4,50,50
383,Inflicts $s@effectindex Nature damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Nature damage inflicted every $t@effectindex sec.,6,3,1,9,8,50,50
384,Inflicts $s@effectindex Frost damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Frost damage inflicted every $t@effectindex sec.,6,3,1,9,16,50,50
385,Inflicts $s@effectindex Arcane damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Arcane damage inflicted every $t@effectindex sec.,6,3,1,9,64,50,50
386,Inflicts $s@effectindex Chaos damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Chaos damage inflicted every $t@effectindex sec.,6,3,1,9,127,50,50
387,Disorients enemies within $A@effectindex yards of the caster for $d.,Disoriented.,6,5,0,7,0,0,0
388,Inflicts Physical damage to all enemies within $A@effectindex yards every $t@effectindex sec for $d.,Physical damage inflicted every $t@effectindex sec.,6,70,1,7,1,50,50
389,Inflicts Holy damage to all enemies within $A@effectindex yards every $t@effectindex sec for $d.,Holy damage inflicted every $t@effectindex sec.,6,70,1,7,2,50,50
390,Inflicts Fire damage to all enemies within $A@effectindex yards every $t@effectindex sec for $d.,Fire damage inflicted every $t@effectindex sec.,6,70,1,7,4,50,50
395,Inflicts Frost damage to all enemies within $A@effectindex yards every $t@effectindex sec for $d.,Frost damage inflicted every $t@effectindex sec.,6,70,1,7,16,50,50
396,Inflicts Arcane damage to all enemies within $A@effectindex yards every $t@effectindex sec for $d.,Arcane damage inflicted every $t@effectindex sec.,6,70,1,7,64,50,50
397,Knocks all enemies in front of the caster back.,,144,0,1,9,0,0,0
398,Knocks all enemies within $A@effectindex yards of the caster back.,,144,0,1,7,0,0,0
399,Knocks all enemies within $A@effectindex yards of the impact back.,,144,0,1,5,0,0,0
400,Knocks an enemy back.,,144,0,1,3,0,0,0
401,Knocks an enemy back.,,144,0,1,1,0,0,0
402,Knocks all enemies in front of the caster back.,,138,0,1,9,0,0,0
403,Knocks all enemies within $A@effectindex yards of the caster back.,,138,0,1,7,0,0,0
404,Knocks all enemies within $A@effectindex yards of the impact back.,,138,0,1,5,0,0,0
405,Knocks an enemy back.,,138,0,1,3,0,0,0
406,Knocks an enemy back.,,138,0,1,1,0,0,0
407,Fears the target for $d.,Feared.,6,7,0,3,0,0,0
408,Fears enemies within $A@effectindex yards of the impact for $d.,Feared.,6,7,0,5,0,0,0
409,Fears enemies within $A@effectindex yards of the caster for $d.,Feared.,6,7,0,7,0,0,0
410,Fears all enemies in front of the caster for $d.,Feared.,6,7,0,9,0,0,0
411,Causes an enemy to take $s@effectindex% increased Fire damage for $d.,Fire damage taken increased by $s@effectindex%.,6,87,1,1,4,0,0
412,Causes an enemy to take $s@effectindex% increased Physical damage for $d.,Physical damage taken increased by $s@effectindex%.,6,87,1,1,1,0,0
413,Causes an enemy to take $s@effectindex% increased Holy damage for $d.,Holy damage taken increased by $s@effectindex%.,6,87,1,1,2,0,0
414,Causes an enemy to take $s@effectindex% increased Frost damage for $d.,Frost damage taken increased by $s@effectindex%.,6,87,1,1,16,0,0
415,Causes an enemy to take $s@effectindex% increased Shadow damage for $d.,Shadow damage taken increased by $s@effectindex%.,6,87,1,1,32,0,0
416,Causes an enemy to take $s@effectindex% increased Arcane damage for $d.,Arcane damage taken increased by $s@effectindex%.,6,87,1,1,64,0,0
417,Causes an enemy to take $s@effectindex% increased Nature damage for $d.,Nature damage taken increased by $s@effectindex%.,6,87,1,1,8,0,0
418,Causes an enemy to take $s@effectindex% increased damage for $d.,Damage taken increased by $s@effectindex%.,6,87,1,1,127,0,0
419,Reduces the max health of the target by $s@effectindex% for $d.,Maximum health reduced by $s@effectindex%.,6,133,2,3,0,0,0
420,Reduces the max health of all enemies in front of the caster by $s@effectindex% for $d.,Maximum health reduced by $s@effectindex%.,6,133,2,9,0,0,0
421,Reduces the max health of all enemies within $A@effectindex yards of the caster by $s@effectindex% for $d.,Maximum health reduced by $s@effectindex%.,6,133,2,7,0,0,0
422,Reduces the max health of all enemies within $A@effectindex yards of the impact by $s@effectindex% for $d.,Maximum health reduced by $s@effectindex%.,6,133,2,5,0,0,0
423,Reduces the attack speed of all enemies within $A@effectindex yards of the impact by $s@effectindex% for $d.,Attack speed reduced by $s@effectindex%.,6,138,2,5,0,0,0
424,Reduces the attack speed of all enemies within $A@effectindex yards of the caster by $s@effectindex% for $d.,Attack speed reduced by $s@effectindex%.,6,138,2,7,0,0,0
425,Reduces the attack speed of all enemies in front of the caster by $s@effectindex% for $d.,Attack speed reduced by $s@effectindex%.,6,138,2,9,0,0,0
426,Reduces the attack speed of the target by $s@effectindex% for $d.,Attack speed reduced by $s@effectindex%.,6,138,2,3,0,0,0
427,Inflicts Arcane damage to all enemies in a cone in front of the caster.,,165,0,1,9,64,50,50
428,Inflicts Frost damage to all enemies in a cone in front of the caster.,,165,0,1,9,16,50,50
429,Inflicts Nature damage to all enemies in a cone in front of the caster.,,165,0,1,9,8,50,50
430,Inflicts Fire damage to all enemies in a cone in front of the caster.,,165,0,1,9,4,50,50
431,Inflicts Holy damage to all enemies in a cone in front of the caster.,,165,0,1,9,2,50,50
432,Inflicts Physical damage to all enemies in a cone in front of the caster.,,165,0,1,9,1,50,50
435,Inflicts $s@effectindex Shadowflame damage to enemies within $A@effectindex yards.,,2,0,1,7,36,50,50
436,Inflicts $s@effectindex Shadowflame damage to enemies within $A@effectindex yards of the impact.,,2,0,1,5,36,50,50
437,Inflicts $s@effectindex Shadowflame damage to an enemy.,,2,0,1,3,36,50,50
438,Inflicts $s@effectindex Shadowflame damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Shadowflame damage inflicted every $t@effectindex sec.,6,3,1,3,36,50,50
439,Inflicts $s@effectindex Shadowflame damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Shadowflame damage inflicted every $t@effectindex sec.,6,3,1,1,36,50,50
440,Inflicts $s@effectindex Shadowflame damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Shadowflame damage inflicted every $t@effectindex sec.,6,3,1,5,36,50,50
441,Inflicts $s@effectindex Shadowflame damage to all enemies within $A@effectindex yards of the caster every $t@effectindex sec for $d.,$s@effectindex Shadowflame damage inflicted every $t@effectindex sec.,6,3,1,7,36,50,50
442,Inflicts $s@effectindex Shadowflame damage to all enemies in front of the caster.,,2,0,1,9,36,50,50
443,Inflicts $s@effectindex Shadowflame damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Shadowflame damage inflicted every $t@effectindex sec.,6,3,1,9,36,50,50
444,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Shadow damage.,Absorbs $s@effectindex Shadow damage.,6,69,1,3,32,0,0
445,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Physical damage.,Absorbs $s@effectindex Physical damage.,6,69,1,3,1,0,0
446,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex of all damage.,Absorbs $s@effectindex damage.,6,69,1,3,127,0,0
447,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Nature damage.,Absorbs $s@effectindex Nature damage.,6,69,1,3,8,0,0
448,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Holy damage.,Absorbs $s@effectindex Holy damage.,6,69,1,3,2,0,0
449,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Frost damage.,Absorbs $s@effectindex Frost damage.,6,69,1,3,16,0,0
450,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Fire damage.,Absorbs $s@effectindex Fire damage.,6,69,1,3,4,0,0
451,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Arcane damage.,Absorbs $s@effectindex Arcane damage.,6,69,1,3,64,0,0
452,Increases the caster's attack speed by $s@effectindex% for $d.,Attack speed increased by $s@effectindex%.,6,138,1,1,0,10,0
460,Heals the caster and all allies within $A@effectindex yards for $s@effectindex% of maximum health.,,136,0,1,6,0,0,0
461,Heals the caster and all allies within $A@effectindex yards for $s@effectindex% of maximum health.,,136,0,1,4,0,0,0
462,Transfers health from the caster to the target every $t@effectindex sec.,Transfers health every $t@effectindex sec.,6,62,1,2,0,0,0
464,Causes the caster to inflict $s@effectindex% increased Fire damage.,Fire damage done increased by $s@effectindex%.,6,79,1,1,4,30,30
465,Causes the caster to inflict $s@effectindex% increased Holy damage.,Holy damage done increased by $s@effectindex%.,6,79,1,1,2,30,30
466,Causes the caster to inflict $s@effectindex% increased Nature damage.,Nature damage done increased by $s@effectindex%.,6,79,1,1,8,30,30
467,Causes the caster to inflict $s@effectindex% increased Frost damage.,Frost damage done increased by $s@effectindex%.,6,79,1,1,16,30,30
468,Causes the caster to inflict $s@effectindex% increased Shadow damage.,Shadow damage done increased by $s@effectindex%.,6,79,1,1,32,30,30
469,Causes the caster to inflict $s@effectindex% increased Arcane damage.,Arcane damage done increased by $s@effectindex%.,6,79,1,1,64,30,30
470,Reduces the healing received of an enemy by $s@effectindex% for $d.,Healing received reduced by $s@effectindex%.,6,118,2,3,127,0,0
471,Causes an enemy to inflict $s@effectindex% decreased Arcane damage.,Arcane damage done decreased by $s@effectindex%.,6,79,2,3,64,20,20
472,Causes an enemy to inflict $s@effectindex% decreased Shadow damage.,Shadow damage done decreased by $s@effectindex%.,6,79,2,3,32,20,20
473,Causes an enemy to inflict $s@effectindex% decreased Frost damage.,Frost damage done decreased by $s@effectindex%.,6,79,2,3,16,20,20
474,Causes an enemy to inflict $s@effectindex% decreased Nature damage.,Nature damage done decreased by $s@effectindex%.,6,79,2,3,8,20,20
475,Causes an enemy to inflict $s@effectindex% decreased Fire damage.,Fire damage done decreased by $s@effectindex%.,6,79,2,3,4,20,20
476,Causes an enemy to inflict $s@effectindex% decreased Holy damage.,Holy damage done decreased by $s@effectindex%.,6,79,2,3,2,20,20
477,Causes an enemy to inflict $s@effectindex% decreased Physical damage.,Physical damage done decreased by $s@effectindex%.,6,79,2,3,1,20,20
478,Causes the caster to inflict $s@effectindex% increased Physical damage.,Physical damage done increased by $s@effectindex%.,6,79,1,1,1,30,30
479,"Stuns the caster, rendering it unable to move or attack for $d.",Stunned.,6,12,0,1,0,0,0
480,Reduces the healing received of all enemies in a cone in front of the caster by $s@effectindex% for $d.,Healing received reduced by $s@effectindex%.,6,118,2,9,32,0,0
481,Reduces the movement speed of the target by $s@effectindex% for $d.,Movement speed reduced by $s@effectindex%.,6,33,2,1,0,0,0
482,Chance to dodge attacks increased by $s@effectindex% for $d.,Dodge chance increased by $s@effectindex%.,6,49,1,1,0,0,0
483,Chance to resist harmful spells increased by $s@effectindex% for $d.,Chance to resist harmful spells increased by $s@effectindex%.,6,287,1,1,0,0,0
484,Causes all enemies within $A@effectindex yards of the impact to inflict $s@effectindex% reduced damage for $d.,Damage done reduced by $s@effectindex%.,6,79,2,5,127,20,20
485,Causes all enemies within $A@effectindex yards to inflict $s@effectindex% reduced damage for $d.,Damage done reduced by $s@effectindex%.,6,79,2,7,127,20,20
486,Increases the max health of all allies within $A@effectindex yards of the impact by $s@effectindex% for $d.,Maximum health increased by $s@effectindex%.,6,133,1,4,0,0,0
487,Increases the max health of all allies within $A@effectindex yards of the caster by $s@effectindex% for $d.,Maximum health increased by $s@effectindex%.,6,133,1,6,0,0,0
488,Increases the max health of all allies in front of the caster by $s@effectindex% for $d.,Maximum health increased by $s@effectindex%.,6,133,1,8,0,0,0
489,Increases the max health of the target by $s@effectindex% for $d.,Maximum health increased by $s@effectindex%.,6,133,2,2,0,0,0
490,Increases the attack speed of the target by $s@effectindex% for $d.,Attack speed increased by $s@effectindex%.,6,9,1,2,0,0,0
491,Increases the attack speed of all allies in front of the caster by $s@effectindex% for $d.,Attack speed increased by $s@effectindex%.,6,9,1,8,0,0,0
492,Increases the attack speed of all allies within $A@effectindex yards of the caster by $s@effectindex% for $d.,Attack speed increased by $s@effectindex%.,6,9,1,6,0,0,0
493,Increases the attack speed of all allies within $A@effectindex yards of the impact by $s@effectindex% for $d.,Attack speed increased by $s@effectindex%.,6,9,1,4,0,0,0
494,Increases the caster's attack speed by $s@effectindex% for $d.,Attack speed increased by $s@effectindex%.,6,9,1,1,0,10,0
495,Reduces attack speed by $s@effectindex% for $d.,Attack speed reduced by $s@effectindex%.,6,9,2,1,0,0,0
498,Reduces attack speed by $s@effectindex% for $d.,Attack speed reduced by $s@effectindex%.,6,9,2,3,0,0,0
499,Decreases the attack speed of all enemies in front of the caster by $s@effectindex% for $d.,Attack speed decreased by $s@effectindex%.,6,9,2,9,0,0,0
500,Decreases the attack speed of all enemies within $A@effectindex yards of the caster by $s@effectindex% for $d.,Attack speed decreased by $s@effectindex%.,6,9,2,7,0,0,0
501,Decreases the attack speed of all enemies within $A@effectindex yards of the impact by $s@effectindex% for $d.,Attack speed decreased by $s@effectindex%.,6,9,2,5,0,0,0
502,Decreases the spell haste of all enemies within $A@effectindex yards of the impact by $s@effectindex% for $d.,Spell haste decreased by $s@effectindex%.,6,65,2,5,0,0,0
503,Decreases the spell haste of all enemies within $A@effectindex yards of the caster by $s@effectindex% for $d.,Spell haste decreased by $s@effectindex%.,6,65,2,7,0,0,0
504,Decreases the spell haste of all enemies in front of the caster by $s@effectindex% for $d.,Spell haste decreased by $s@effectindex%.,6,65,2,9,0,0,0
505,Reduces spell haste by $s@effectindex% for $d.,Spell haste reduced by $s@effectindex%.,6,65,2,3,0,0,0
506,Reduces spell haste by $s@effectindex% for $d.,Spell haste reduced by $s@effectindex%.,6,65,2,1,0,0,0
507,Increases the spell haste of all allies in front of the caster by $s@effectindex% for $d.,Spell haste increased by $s@effectindex%.,6,65,1,8,0,0,0
508,Increases the spell haste of all allies within $A@effectindex yards of the caster by $s@effectindex% for $d.,Spell haste increased by $s@effectindex%.,6,65,1,6,0,0,0
509,Increases the spell haste of all allies within $A@effectindex yards of the impact by $s@effectindex% for $d.,Spell haste increased by $s@effectindex%.,6,65,1,4,0,0,0
510,Increases the spell haste of the target by $s@effectindex% for $d.,Spell haste increased by $s@effectindex%.,6,65,1,2,0,0,0
511,Increases the caster's spell haste by $s@effectindex% for $d.,Spell haste increased by $s@effectindex%.,6,65,1,1,0,10,0
512,Increases Arcane damage taken by $s@effectindex% for $d.,Arcane damage taken increased by $s@effectindex%.,6,101,2,3,64,1,1
513,Causes all enemies within $A@effectindex yards to miss $s@effectindex% of attacks for $d.,Chance to hit reduced by $s@effectindex%.,6,54,2,7,0,0,0
514,Causes all enemies within $A@effectindex yards to miss $s@effectindex% of spells for $d.,Chance to hit with spells reduced by $s@effectindex%.,6,55,2,7,0,0,0
515,Heals an ally for $s@effectindex% of their maximum health every $T@effectindex sec for $D.,Healing for $s@effectindex% of maximum health every $T@effectindex sec.,6,20,1,2,0,0,0
516,Causes the caster to take $s@effectindex% reduced Physical damage for $d.,Physical damage taken reduced by $s@effectindex%.,6,87,2,1,1,0,0
517,"Stuns all enemies in front of the caster, rendering them unable to move or attack for $d.",Stunned.,6,298,0,9,0,0,0
518,"Stuns an enemy, rendering it unable to move or attack for $d.",Stunned.,6,298,0,3,0,0,0
519,"Stuns the caster, rendering it unable to move or attack for $d.",Stunned.,6,298,0,1,0,0,0
520,"Stuns all enemies within $A@effectindex yards, rendering them unable to move or attack for $d.",Stunned.,6,298,0,7,0,0,0
521,"Stuns all enemies within $A@effectindex yards of the impact, rendering them unable to move or attack for $d.",Stunned.,6,298,0,5,0,0,0
522,Inflicts $s@effectindex Flamestrike damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Flamestrike damage inflicted every $t@effectindex sec.,6,3,1,9,5,50,50
523,Inflicts $s@effectindex Flamestrike damage to all enemies within $A@effectindex yards of the caster every $t@effectindex sec for $d.,$s@effectindex Flamestrike damage inflicted every $t@effectindex sec.,6,3,1,7,5,50,50
524,Inflicts $s@effectindex Flamestrike damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Flamestrike damage inflicted every $t@effectindex sec.,6,3,1,5,5,50,50
525,Inflicts $s@effectindex Flamestrike damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Flamestrike damage inflicted every $t@effectindex sec.,6,3,1,3,5,50,50
526,Inflicts $s@effectindex Flamestrike damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Flamestrike damage inflicted every $t@effectindex sec.,6,3,1,1,5,50,50
527,Inflicts $s@effectindex Shadowstrike damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Shadowstrike damage inflicted every $t@effectindex sec.,6,3,1,9,33,50,50
528,Inflicts $s@effectindex Shadowstrike damage to all enemies within $A@effectindex yards of the caster every $t@effectindex sec for $d.,$s@effectindex Shadowstrike damage inflicted every $t@effectindex sec.,6,3,1,7,33,50,50
529,Inflicts $s@effectindex Shadowstrike damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Shadowstrike damage inflicted every $t@effectindex sec.,6,3,1,5,33,50,50
530,Inflicts $s@effectindex Shadowstrike damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Shadowstrike damage inflicted every $t@effectindex sec.,6,3,1,3,33,50,50
531,Inflicts $s@effectindex Shadowstrike damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Shadowstrike damage inflicted every $t@effectindex sec.,6,3,1,1,33,50,50
532,Immobilizes an enemy for up to $d.,Immobilized.,6,455,0,1,0,20,0
533,Immobilizes all enemies within $A@effectindex yards of the caster for $d.,Immobilized.,6,455,0,7,0,20,0
534,Immobilizes all enemies within $A@effectindex yards of the impact for $d.,Immobilized.,6,455,0,5,0,20,0
535,Immobilizes all enemies in front of the caster for $d.,Immobilized.,6,455,0,9,0,20,0
536,Immobilizes an enemy for up to $d.,Immobilized.,6,455,0,3,0,20,0
537,Increases the movement speed of the caster by $s@effectindex% for $d.,Movement speed increased by $s@effectindex%.,6,129,1,1,0,10,0
538,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.,6,8,0,1,1,0,0
539,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.,6,8,0,1,2,0,0
540,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.,6,8,0,1,4,0,0
541,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.,6,8,0,1,8,0,0
542,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.,6,8,0,1,16,0,0
543,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.,6,8,0,1,32,0,0
544,Causes the caster to heal $s@effectindex health every $t@effectindex sec for $d.,$s@effectindex health healed every $t@effectindex sec.,6,8,0,1,64,0,0
545,Inflicts $s@effectindex Cosmic damage to all enemies within $A@effectindex yards of the caster every $t@effectindex sec for $d.,$s@effectindex Cosmic damage inflicted every $t@effectindex sec.,6,3,1,7,106,50,50
546,Inflicts $s@effectindex Cosmic damage to all enemies in front of the caster every $t@effectindex sec for $d.,$s@effectindex Cosmic damage inflicted every $t@effectindex sec.,6,3,1,9,106,50,50
547,Inflicts $s@effectindex Cosmic damage to all enemies within $A@effectindex yards of the impact every $t@effectindex sec for $d.,$s@effectindex Cosmic damage inflicted every $t@effectindex sec.,6,3,1,5,106,50,50
548,Inflicts $s@effectindex Cosmic damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Cosmic damage inflicted every $t@effectindex sec.,6,3,1,3,106,50,50
549,Inflicts $s@effectindex Cosmic damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Cosmic damage inflicted every $t@effectindex sec.,6,3,1,1,106,50,50
550,Pacifies an enemy preventing attacks for $d.,Unable to attack.,6,25,0,3,0,30,0
551,"Pacifies all enemies within $A@effectindex yards, preventing them from attacking for $d.",Unable to attack.,6,25,0,7,0,0,0
552,Silences and pacifies an enemy preventing attacking and spell casting for $d.,Unable to attack or cast spells.,6,60,0,3,0,30,0
553,"Silences and pacifies all enemies within $A@effectindex yards, preventing them from attacking or casting spells for $d.",Unable to attack or cast spells.,6,60,0,7,0,0,0
554,Silences an enemy preventing spell casting for $d.,Unable to cast spells.,6,27,0,1,0,30,0
555,Pacifies an enemy preventing attacks for $d.,Unable to attack.,6,25,0,1,0,30,0
556,Silences and pacifies an enemy preventing attacking and spell casting for $d.,Unable to attack or cast spells.,6,60,0,1,0,30,0
557,Inflicts $s@effectindex Shadowflame damage to an enemy.,,2,0,1,1,36,50,50
558,Inflicts Shadowflame damage to all enemies in a cone in front of the caster.,,165,0,1,9,36,50,50
559,Inflicts Shadowflame damage to enemies within $A@effectindex yards of the impact.,,165,0,1,5,36,50,50
560,Inflicts Shadowflame damage to all enemies in front of the caster.,,31,0,1,9,36,50,50
561,Inflicts Shadowflame damage to all enemies within $A@effectindex yards.,,31,0,1,7,36,50,50
562,Inflicts Shadowflame damage to all enemies within $A@effectindex yards of the impact.,,31,0,1,5,36,50,50
563,Inflicts Shadowflame damage to an enemy.,,31,0,1,3,36,50,50
564,Inflicts $s@effectindex% of maximum health as Shadowflame damage to an enemy every $t@effectindex sec for $d.,$s@effectindex% of maximum health inflicted as Shadowflame damage inflicted every $t@effectindex sec.,6,89,1,1,36,20,20
565,Causes all enemies within $A@effectindex yards to take $s@effectindex% increased Shadowflame damage for $d.,Shadowflame damage taken increased by $s@effectindex%.,6,87,1,7,36,0,0
566,Causes all enemies within $A@effectindex yards of the impact to take $s@effectindex% increased Shadowflame damage for $d.,Shadowflame damage taken increased by $s@effectindex%.,6,87,1,5,36,10,10
567,Causes an enemy to take $s@effectindex% increased Shadowflame damage for $d.,Shadowflame damage taken increased by $s@effectindex%.,6,87,1,3,36,0,0
568,Causes an enemy to take $s@effectindex% increased Shadowflame damage for $d.,Shadowflame damage taken increased by $s@effectindex%.,6,87,1,1,36,0,0
569,Causes an enemy to inflict $s@effectindex% decreased Shadowflame damage.,Shadowflame damage done decreased by $s@effectindex%.,6,79,2,3,36,20,20
570,Causes the caster to inflict $s@effectindex% increased Shadowflame damage.,Shadowflame damage done increased by $s@effectindex%.,6,79,1,1,36,30,30
571,Inflicts Shadowflame damage to all enemies in front of the caster every $t@effectindex sec for $d.,Shadowflame damage inflicted every $t@effectindex sec.,6,70,1,9,36,50,50
572,Inflicts Shadowflame damage to all enemies within $A@effectindex yards every $t@effectindex sec for $d.,Shadowflame damage inflicted every $t@effectindex sec.,6,70,1,7,36,50,50
573,Causes all enemies within $A@effectindex yards of the impact to take Shadowflame damage every $t@effectindex sec for $d.,Shadowflame damage inflicted every $t@effectindex sec.,6,70,1,5,36,50,50
574,Inflicts Shadowflame damage to an enemy every $t@effectindex sec for $d.,Shadowflame damage inflicted every $t@effectindex sec.,6,70,1,3,36,50,50
575,Inflicts Shadowflame damage to an enemy every $t@effectindex sec for $d.,Shadowflame damage inflicted every $t@effectindex sec.,6,70,1,1,36,50,50
576,Surrounds the target with a shield that lasts $d and can absorb up to $s@effectindex Shadowflame damage.,Absorbs $s@effectindex Shadowflame damage.,6,69,1,3,36,0,0
577,Surrounds the caster with a shield that lasts $d and can absorb up to $s@effectindex Shadowflame damage.,Absorbs $s@effectindex Shadowflame damage.,6,69,1,1,36,0,0
578,Inflicts Frost damage to enemies within $A@effectindex yards of the impact.,,165,0,1,5,16,50,50
579,Inflicts $s@effectindex Cosmic damage to all enemies in front of the caster.,,2,0,1,9,106,50,50
580,Inflicts $s@effectindex Cosmic damage to enemies within $A@effectindex yards.,,2,0,1,7,106,50,50
581,Inflicts $s@effectindex Cosmic damage to enemies within $A@effectindex yards of the impact.,,2,0,1,5,106,50,50
582,Inflicts $s@effectindex Cosmic damage to an enemy.,,2,0,1,3,106,50,50
583,Inflicts $s@effectindex Cosmic damage to an enemy.,,2,0,1,1,106,50,50
584,Inflicts Cosmic damage to all enemies in a cone in front of the caster.,,165,0,1,9,106,50,50
585,Inflicts Cosmic damage to enemies within $A@effectindex yards of the impact.,,165,0,1,5,106,50,50
586,Inflicts Cosmic damage to all enemies in front of the caster.,,31,0,1,9,106,50,50
587,Inflicts Cosmic damage to all enemies within $A@effectindex yards.,,31,0,1,7,106,50,50
588,Inflicts Cosmic damage to all enemies within $A@effectindex yards of the impact.,,31,0,1,5,106,50,50
589,Inflicts Cosmic damage to an enemy.,,31,0,1,3,106,50,50
590,Inflicts $s@effectindex% of maximum health as Cosmic damage to an enemy every $t@effectindex sec for $d.,$s@effectindex% of maximum health inflicted as Cosmic damage inflicted every $t@effectindex sec.,6,89,1,1,106,20,20
591,Causes all enemies within $A@effectindex yards to take $s@effectindex% increased Cosmic damage for $d.,Cosmic damage taken increased by $s@effectindex%.,6,87,1,7,106,0,0
592,Causes all enemies within $A@effectindex yards of the impact to take $s@effectindex% increased Cosmic damage for $d.,Cosmic damage taken increased by $s@effectindex%.,6,87,1,5,106,10,10
593,Causes an enemy to take $s@effectindex% increased Cosmic damage for $d.,Cosmic damage taken increased by $s@effectindex%.,6,87,1,3,106,0,0
594,Causes an enemy to take $s@effectindex% increased Cosmic damage for $d.,Cosmic damage taken increased by $s@effectindex%.,6,87,1,1,106,0,0
595,Causes an enemy to inflict $s@effectindex% decreased Cosmic damage.,Cosmic damage done decreased by $s@effectindex%.,6,79,2,3,106,20,20
