ID,Field_10_0_2_45779_000,Field_10_0_2_45779_001,Field_10_0_2_45779_002,Field_10_0_2_45779_003,Field_10_0_2_45779_004
331,SFX - Player - Class - Priest - Voidweaver,Voidweaver,197,50,1
332,SFX - Player - Class - Priest - Archon,Archon,197,50,1
333,SFX - Player - Class - Priest - Oracle,Oracle,197,50,1
334,SFX - Player - Class - Warlock - Hellcaller,Hellcaller,197,52,1
335,SFX - Player - Class - Demon Hunter - Fel Scarred,Fel Scarred,197,43,1
336,SFX - Player - Class - Demon Hunter - Aldrachi Reaver,Aldrachi Reaver,197,43,1
337,SFX - Player - Class - Warlock - Diabolist,Diabolist,197,52,1
338,SFX - Player - Class - Warlock - Soul Harvester,Soul Harvester,197,52,1
339,SFX - Ambience - The War Within - Raids,Raids,197,264,1
340,SFX - Ambience - The War Within - Raids - 11.0 Nerub-ar Palace,11.0 Nerub-ar Palace,197,339,1
341,SFX - Ambience - The War Within - Raids - 11.0 Nerub-ar Palace - Zone Tone,Zone Tone,197,340,1
343,SFX - Ambience - The War Within - Raids - 11.0 Nerub-ar Palace - Periodic,Periodic,197,340,1
344,SFX - Ambience - The War Within - Raids - 11.0 Nerub-ar Palace - Emitter,Emitter,197,340,1
345,SFX - RTC - The War Within,The War Within,197,216,1
346,SFX - RTC - The War Within - 11.0,11.0,197,345,1
347,SFX - RTC - The War Within - 11.0 - HFR,HFR,197,346,1
348,SFX - RTC - The War Within - 11.0 - ALR,ALR,197,346,1
349,SFX - RTC - The War Within - 11.0 - ADF,ADF,197,346,1
350,SFX - RTC - The War Within - 11.0 - TCC,TCC,197,346,1
351,SFX - RTC - The War Within - 11.0 - AIL,AIL,197,346,1
352,SFX - RTC - The War Within - 11.0 - EPE,EPE,197,346,0.63095737
353,SFX - RTC - The War Within - 11.0 - MDD,MDD,197,346,0.7943282
354,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 1. Ulgrax the Devourer,11.0 Nerub-ar Palace - 1. Ulgrax the Devourer,197,316,1
355,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 2. The Bloodbound Horror,11.0 Nerub-ar Palace - 2. The Bloodbound Horror,197,316,1
356,"SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 3. Sikran, Captain of the Sureki","11.0 Nerub-ar Palace - 3. Sikran, Captain of the Sureki",197,316,1
357,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 4. Rasha'nan,11.0 Nerub-ar Palace - 4. Rasha'nan,197,316,1
358,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 5. Broodtwister Ovi'nax,11.0 Nerub-ar Palace - 5. Broodtwister Ovi'nax,197,316,0.70794576
359,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 6. Nexus-Princess Ky'veza,11.0 Nerub-ar Palace - 6. Nexus-Princess Ky'veza,197,316,0.70794576
360,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 7. The Silken Court,11.0 Nerub-ar Palace - 7. The Silken Court,197,316,1
361,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 7. The Silken Court - Anub'arash,Anub'arash,197,360,1
362,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 7. The Silken Court - Takazj,Takazj,197,360,1
363,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 8. Queen Ansurek,11.0 Nerub-ar Palace - 8. Queen Ansurek,197,316,1
364,SFX - Raid - The War Within - Trash,Trash,197,316,1
365,SFX - Ambience - The War Within - 11.0 Dungeons - Foundry,The War Within - 11.0 Dungeons - Foundry,197,189,1
366,SFX - Ambience - The War Within - 11.0 Dungeons - Priory of the Sacred Flame,Priory of the Sacred Flame,197,325,1
367,SFX - Ambience - The War Within - 11.0 Dungeons - Priory of the Sacred Flame - Ambience Beds,Ambience Beds,197,366,1
368,SFX - Ambience - The War Within - 11.0 Dungeons - Priory of the Sacred Flame - Periodic,Periodic,197,366,1
369,SFX - Dungeon - The War Within,The War Within,197,127,1
370,SFX - Dungeon - The War Within - 11.0 Priory of the Sacred Flame,11.0 Priory of the Sacred Flame,197,369,1
371,SFX - Dungeon - The War Within - 11.0 Priory of the Sacred Flame - 1. Captain Dailcry,1. Captain Dailcry,197,370,1
372,SFX - Dungeon - The War Within - 11.0 Priory of the Sacred Flame - 2. Baron Braunpyke,2. Baron Braunpyke,197,370,1
373,SFX - Dungeon - The War Within - 11.0 Priory of the Sacred Flame - 3. Prioress Murrpray,3. Prioress Murrpray,197,370,1
374,SFX - Dungeon - The War Within - 11.0 Priory of the Sacred Flame - Trash,Trash,197,370,1
375,SFX - Dungeon - The War Within - 11.0 Priory of the Sacred Flame - Mini Boss,Mini Boss,197,370,1
376,SFX - RTC - The War Within - 11.0 - AL1,AL1,197,346,1
377,SFX - RTC - The War Within - 11.0 - AL2,AL2,197,346,1
378,SFX - RTC - The War Within - 11.0 - AL3,AL3,197,346,1
379,SFX - RTC - The War Within - 11.0 - AL4,AL4,197,346,1
380,SFX - RTC - The War Within - 11.0 - AL5,AL5,197,346,1
381,SFX - RTC - The War Within - 11.0 - NSF,NSF,197,346,1
382,SFX - RTC - The War Within - 11.0 - CRR,CRR,197,346,1
383,SFX - RTC - The War Within - 11.0 - TJR,TJR,197,346,1
384,SFX - RTC - The War Within - 11.0 - BAA,BAA,197,346,1
385,SFX - RTC - The War Within - 11.0 - QAR,QAR,197,346,1
386,SFX - RTC - The War Within - 11.0 - STM,STM,197,346,1
387,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 7. The Silken Court - Anub'arash - Impacts,Impacts,197,361,0.7943282
388,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 7. The Silken Court - Takazj - Impacts,Impacts,197,362,0.7943282
389,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 7. The Silken Court - Whisper impacts,Whisper impacts,197,360,0.56234133
390,SFX - RTC - The War Within - 11.0 - SRA,SRA,197,346,1
391,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 8. Queen Ansurek - Phase 1,Phase 1,197,363,1
392,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 8. Queen Ansurek - Phase 2 ,Phase 2 ,197,363,1
393,SFX - Raid - The War Within - 11.0 Nerub-ar Palace - 8. Queen Ansurek - Phase 3,Phase 3,197,363,1
394,SFX - RTC - The War Within - 11.0 - MTS,MTS,197,346,1
395,SFX - RTC - The War Within - 11.0 - BSC,BSC,197,346,1
396,SFX - RTC - The War Within - 11.0 - FRS,FRS,197,346,1
397,SFX - RTC - The War Within - 11.0 - MDD - Azerite,Azerite,197,353,0.56234133
398,SFX - Ambience - The War Within - 11.0 Azj-Kahet - Zone Tone - Old God,Old God,197,274,1
399,SFX - Ambience - The War Within - 11.0 Azj-Kahet - Zone Tone - Cave,Cave,197,274,1
400,SFX - Reuse - Ability,Ability,197,220,1
401,SFX - Reuse - Amber,Amber,197,220,1
402,SFX - Reuse - Anima,Anima,197,220,1
403,SFX - Reuse - Anima - Ardenweald,Ardenweald,197,402,1
404,SFX - Reuse - Anima - Bastion,Bastion,197,402,1
405,SFX - Reuse - Anima - Maldraxxus,Maldraxxus,197,402,1
406,SFX - Reuse - Anima - Maw,Maw,197,402,1
407,SFX - Reuse - Anima - Revendreth,Revendreth,197,402,1
408,SFX - Reuse - Arcane,Arcane,197,220,1
410,SFX - Reuse - Broker,Broker,197,220,1
411,SFX - Reuse - Death,Death,197,220,1
412,SFX - Reuse - Decay,Decay,197,220,1
413,SFX - Reuse - Devourer,Devourer,197,220,1
414,SFX - Reuse - Dragon,Dragon,197,220,1
415,SFX - Reuse - Dragon - Blue,Blue,197,414,1
416,SFX - Reuse - Dragon - Bronze,Bronze,197,414,1
417,SFX - Reuse - Dragon - Green,Green,197,414,1
418,SFX - Reuse - Dragon - Red,Red,197,414,1
419,SFX - Reuse - Earth,Earth,197,220,1
420,SFX - Reuse - Explosions,Explosions,197,220,1
421,SFX - Reuse - Fel,Fel,197,220,1
422,SFX - Reuse - Fire,Fire,197,220,1
425,SFX - Reuse - Foley,Foley,197,220,1
426,SFX - Reuse - Frost,Frost,197,220,1
427,SFX - Reuse - Holy,Holy,197,220,1
428,SFX - Reuse - Insects,Insects,197,220,1
429,SFX - Reuse - Lava,Lava,197,220,1
430,SFX - Reuse - Lightning,Lightning,197,220,1
431,SFX - Reuse - Madness,Madness,197,220,1
432,SFX - Reuse - Nature,Nature,197,220,1
433,SFX - Reuse - Necromancy,Necromancy,197,220,1
434,SFX - Reuse - Nightmare,Nightmare,197,220,1
435,SFX - Reuse - Physical,Physical,197,220,1
436,SFX - Reuse - Progenitor,Progenitor,197,220,1
437,SFX - Reuse - Sand,Sand,197,220,1
438,SFX - Reuse - Shadow,Shadow,197,220,1
439,SFX - Reuse - Sonic,Sonic,197,220,1
440,SFX - Reuse - Steam,Steam,197,220,1
441,SFX - Reuse - Storm,Storm,197,220,1
442,SFX - Reuse - Titan,Titan,197,220,1
443,SFX - Reuse - Toxic,Toxic,197,220,1
444,SFX - Reuse - Toxic - Gas,Gas,197,443,1
445,SFX - Reuse - Slime,Slime,197,220,1
446,SFX - Reuse - Tradeskills,Tradeskills,197,220,1
447,SFX - Reuse - Water,Water,197,220,1
448,SFX - Reuse - Wax,Wax,197,220,1
449,SFX - Reuse - Weapons,Weapons,197,220,1
450,SFX - Reuse - Web,Web,197,220,1
451,SFX - Reuse - Whoosh,Whoosh,197,220,1
452,SFX - Reuse - Wind,Wind,197,220,1
453,SFX - Mount - Bird,Bird,197,54,1
454,SFX - Mount - Bird - Coldflame Tempest (Blizzard Phoenix),Coldflame Tempest (Blizzard Phoenix),197,453,0.70794576
455,SFX - Ambience - The War Within - 11.1 Undermine - The Verdant Gutters,The Verdant Gutters,197,507,1
456,SFX - Ambience - The War Within - 11.1 Undermine - The Verdant Gutters - Zone Tone,Zone Tone,197,455,0.03981072
457,SFX - Ambience - The War Within - 11.1 Undermine - The Verdant Gutters - Periodic,Periodic,197,455,0.07943282
458,SFX - Reuse - Gold,Gold,197,220,1
459,SFX - Reuse - Energy - Goblin,Energy - Goblin,197,220,1
460,SFX - Ambience - The War Within - 11.1 Dungeons,11.1 Dungeons,197,264,1
461,SFX - Ambience - The War Within - 11.1 Dungeons - The Waterworks,The Waterworks,197,460,1
462,SFX - Ambience - The War Within - 11.1 Dungeons - The Waterworks - ZoneTone,ZoneTone,197,461,0.056234132
463,SFX - Ambience - The War Within - 11.1 Dungeons - The Waterworks - Periodic,Periodic,197,461,0.07943282
464,SFX - RTC - The War Within - 11.0.7,11.0.7,197,345,1
465,SFX - RTC - The War Within - 11.0.7 - GWR,GWR,197,464,1
467,SFX - Ambience - The War Within - 11.1 Dungeons - The Waterworks - Emitter,Emitter,197,461,1
468,SFX - Dungeon - The War Within - 11.1 The Waterworks,11.1 The Waterworks,197,369,1
469,SFX - Dungeon - The War Within - 11.1 The Waterworks - 1. Big M.O.M.M.A,1. Big M.O.M.M.A,197,468,0.7943282
470,SFX - Reuse - Machines,Machines,197,220,1
471,SFX - Ambience - The War Within - Raids - 11.1 Undermine,11.1 Undermine,197,339,1
472,SFX - Ambience - The War Within - Raids - 11.1 Undermine - Emitter,Emitter,197,471,1
473,SFX - Ambience - The War Within - Raids - 11.1 Undermine - Periodic,Periodic,197,471,1
474,SFX - Ambience - The War Within - Raids - 11.1 Undermine - Zone Tone,Zone Tone,197,471,1
475,SFX - Ambience - The War Within - Raids - 11.1 Undermine - Periodic - The Gallagio,The Gallagio,197,473,1
476,SFX - RTC - The War Within - 11.0.7 - OHG,OHG,197,464,1
477,SFX - Dungeon - The War Within - 11.1 The Waterworks - 2. Keeza Quickfuse and Bront ,2. Keeza Quickfuse and Bront ,197,468,1
478,SFX - Mount - Mechanical - Airship - Delver's Gob-Trotter,Delver's Gob-Trotter,197,321,0.63095737
479,SFX - Dungeon - The War Within - 11.1 The Waterworks - 3. Swampface,3. Swampface,197,468,1
480,SFX - Dungeon - The War Within - 11.1 The Waterworks - 4. Geezle,4. Geezle,197,468,1
481,SFX - Ambience - The War Within - Raids - 11.1 Undermine - 6. The One Armed Bandit,6. The One Armed Bandit,197,471,1
482,SFX - Ambience - The War Within - 11.1 Undermine - Riot Phase,Riot Phase,197,507,1
483,SFX - Ambience - The War Within - 11.1 Undermine - Riot Phase - ZoneTone,ZoneTone,197,482,1
484,SFX - Ambience - The War Within - 11.1 Undermine - Riot Phase - Periodic,Periodic,197,482,1
485,SFX - Dungeon - The War Within - 11.1 The Waterworks - Trash,Trash,197,468,1
486,SFX - Dungeon - The War Within - 11.1 The Waterworks - Mini Boss,Mini Boss,197,468,1
487,SFX - Item,Item,197,197,1
488,SFX - Item - 11.1,11.1,197,487,1
489,SFX - Item - 11.1 - House Of Cards,House Of Cards,197,488,0.56234133
490,SFX - Raid - The War Within - 11.1 Liberation of Undermine - 4. Stixbunkjunker,4. Stixbunkjunker,197,497,1
491,SFX - Raid - The War Within - 11.1 Liberation of Undermine - 7. Mug'Zee,7. Mug'Zee,197,497,1
493,SFX - Raid - The War Within - 11.1 Liberation of Undermine - 5. Sprocketmonger Lockenstock,5. Sprocketmonger Lockenstock,197,497,1
494,SFX - Ambience - The War Within - 11.1 Undermine - Gallagio,Gallagio,197,507,1
495,SFX - Ambience - The War Within - 11.1 Undermine - Gallagio - Casino Entrance Emitter,Casino Entrance Emitter,197,494,0.8912509
496,SFX - Ambience - The War Within - 11.1 Undermine - Gallagio - Casino Closed Door Emitter,Casino Closed Door Emitter,197,494,0.70794576
497,SFX - Raid - The War Within - 11.1 Liberation of Undermine,11.1 Liberation of Undermine,197,316,0.70794576
498,SFX - Raid - The War Within - 11.1 Liberation of Undermine - 1. Vexie and the Geargrinders,1. Vexie and the Geargrinders,197,497,1
499,SFX - Raid - The War Within - 11.1 Liberation of Undermine - 2. Cauldron of Carnage,2. Cauldron of Carnage,197,497,1
500,SFX - Raid - The War Within - 11.1 Liberation of Undermine - 3. Rik Reverb,3. Rik Reverb,197,497,1
501,SFX - Raid - The War Within - 11.1 Liberation of Undermine - 6. The One-Armed Bandit,6. The One-Armed Bandit,197,497,1
502,SFX - Raid - The War Within - 11.1 Liberation of Undermine - 8. Gallywix,8. Gallywix,197,497,1
503,SFX - Raid - The War Within - 11.1 Liberation of Undermine - Trash,Trash,197,497,1
504,SFX - Reuse - Oil,Oil,197,220,1
505,SFX - Mount - Mechanical - Airship - Delver's Dirigible (Void),Delver's Dirigible (Void),197,321,0.7943282
506,SFX - Mount - Mechanical - Airship - Delver's Gob Trotter (Gold),Delver's Gob Trotter (Gold),197,321,0.70794576
507,SFX - Ambience - The War Within - 11.1 Undermine,11.1 Undermine,197,264,1
508,SFX - Ambience - The War Within - 11.1 Undermine - Traffic,Traffic,197,507,0.63095737
509,SFX - Ambience - The War Within - 11.1 Undermine - Rocket Taxi,Rocket Taxi,197,507,0.31622776
510,SFX - Ambience - The War Within - 11.1 Undermine - Flavor,Flavor,197,507,1
511,SFX - Ambience - The War Within - 11.1 Undermine - Flavor - Dig Through Trash,Dig Through Trash,197,510,0.4466836
512,SFX - Ambience - The War Within - 11.1 Undermine - Flavor - Oil Pipes,Oil Pipes,197,510,0.4466836
513,SFX - Ambience - The War Within - 11.2,11.2,197,264,1
514,SFX - Ambience - The War Within - 11.2 - K'aresh EXT,K'aresh EXT,197,513,1
515,SFX - Ambience - The War Within - 11.2 - K'aresh EXT - Zone Tone,Zone Tone,197,514,1
516,SFX - Ambience - The War Within - 11.2 - K'aresh EXT - Periodic,Periodic,197,514,1
517,SFX - Ambience - The War Within - 11.2 - K'aresh EXT - Emitter - Blue Glass Cracks,Blue Glass Cracks,197,518,0.70794576
518,SFX - Ambience - The War Within - 11.2 - K'aresh EXT - Emitter,Emitter,197,514,1
519,SFX - Ambience - The War Within - 11.2 - K'aresh EXT - Emitter - Windy Dock,Windy Dock,197,518,0.56234133
520,SFX - Ambience - The War Within - 11.2 - K'aresh EXT - Altitude Wind,Altitude Wind,197,514,1
521,SFX - Ambience - The War Within - 11.2 - K'aresh EXT - Emitter - Empty World Soul Emitter,Empty World Soul Emitter,197,518,1
522,SFX - Ambience - The War Within - 11.2 - K'aresh EXT - Eco Dome,Eco Dome,197,514,1
523,SFX - Ambience - The War Within - 11.2 - K'aresh EXT - Eco Dome - Outer Shield,Outer Shield,197,522,0.4466836
524,SFX - Ambience - The War Within - 11.2 - K'aresh EXT - Emitter - Broker Wagon,Broker Wagon,197,518,1
525,SFX - Ambience - The War Within - 11.2.7,11.2.7,197,264,1
526,SFX - Dungeon - The War Within - 11.2 Eco Dome Al'dani,11.2 Eco Dome Al'dani,197,369,1
527,SFX - Dungeon - The War Within - 11.2 Eco Dome Al'dani - Ambience,Ambience,197,526,1
528,SFX - Player - Class - Demon Hunter - Devourer,Devourer,197,43,1
552,SFX - Ambience - Midnight - 12.0 Voidstorm,Midnight - 12.0 Voidstorm,197,189,0.70794576
553,SFX - Ambience - Midnight - 12.0 Voidstorm - ZoneTone,ZoneTone,197,552,1
554,SFX - Ambience - Midnight - 12.0 Voidstorm - Periodics,Periodics,197,552,1
555,SFX - Ambience - Midnight - 12.0 Voidstorm - RoomTone - Cave,RoomTone - Cave,197,552,1
556,SFX - RTC - Legion,Legion,197,216,1
557,SFX - RTC - Legion - 7.3.5,7.3.5,197,556,1
558,SFX - RTC - Legion - 7.3.5 - AWR (SAO),AWR (SAO),197,557,0.56234133
559,SFX - RTC - Battle For Azeroth,Battle For Azeroth,197,216,1
560,SFX - RTC - Battle For Azeroth - 8.1.5,8.1.5,197,559,1
561,SFX - RTC - Battle For Azeroth - 8.1.5 - RON,RON,197,560,0.70794576
562,SFX - Dungeon - The War Within - 11.2 Eco Dome Al'dani - Boss 1,Boss 1,197,526,0.7943282
563,SFX - Dungeon - The War Within - 11.2 Eco Dome Al'dani - Boss 2,Boss 2,197,526,1
564,SFX - Dungeon - The War Within - 11.2 Eco Dome Al'dani - Boss 3,Boss 3,197,526,1
565,SFX - Dungeon - The War Within - 11.2 Eco Dome Al'dani - Trash,Trash,197,526,1
599,SFX - Raid - The War Within - 11.2 Manaforge Omega,11.2 Manaforge Omega,197,316,0.70794576
600,SFX - Raid - The War Within - 11.2 Manaforge Omega - 1. Plexus Sentinel,1. Plexus Sentinel,197,599,0.4466836
601,SFX - Raid - The War Within - 11.2 Manaforge Omega - 3. Soulbinder Naazindhri,3. Soulbinder Naazindhri,197,599,0.56234133
602,SFX - Raid - The War Within - 11.2 Manaforge Omega - Trash,Trash,197,599,1
603,SFX - Raid - The War Within - 11.2 Manaforge Omega - 2. Loom'ithar,2. Loom'ithar,197,599,0.5011872
604,SFX - Raid - The War Within - 11.2 Manaforge Omega - 4. Forgeweaver Araz,4. Forgeweaver Araz,197,599,0.56234133
605,SFX - Raid - The War Within - 11.2 Manaforge Omega - 5. The Soul Hunters,5. The Soul Hunters,197,599,1
606,SFX - Raid - The War Within - 11.2 Manaforge Omega - 6. Fractillus,6. Fractillus,197,599,1
607,SFX - Raid - The War Within - 11.2 Manaforge Omega - 7. Nexus-King Salhadaar,7. Nexus-King Salhadaar,197,599,1
608,"SFX - Raid - The War Within - 11.2 Manaforge Omega - 8. Dimensius, the All-Devouring - Dimensius - Dimensius",Dimensius,197,614,1
609,SFX - Ambience - Midnight - 12.0 Voidstorm - Voidspire - Emitter Electrical Loops and Periodics,Voidspire - Emitter Electrical Loops and Periodics,197,552,0.70794576
614,"SFX - Raid - The War Within - 11.2 Manaforge Omega - 8. Dimensius, the All-Devouring","8. Dimensius, the All-Devouring",197,599,1
615,"SFX - Raid - The War Within - 11.2 Manaforge Omega - 8. Dimensius, the All-Devouring - Xal'atath",Xal'atath,197,614,1
616,"SFX - Raid - The War Within - 11.2 Manaforge Omega - 8. Dimensius, the All-Devouring - RP",RP,197,614,1
617,SFX - Bestiary - The War Within - 11.2,11.2,197,310,1
618,SFX - Bestiary - The War Within - 11.2 - Karesh Flyer,Karesh Flyer,197,617,1
619,SFX - Bestiary - The War Within - 11.2 - Karesh Fox,Karesh Fox,197,617,1
620,SFX - Bestiary - The War Within - 11.2.5,11.2.5,197,310,1
625,SFX - Raid - The War Within - 11.2 Manaforge Omega - 6. Fractillus - Vocalizations/Foley,Vocalizations/Foley,197,606,0.7943282
626,SFX - Raid - The War Within - 11.2 Manaforge Omega - 6. Fractillus - Spells,Spells,197,606,0.70794576
627,SFX - Bestiary - The War Within - 11.2.7,11.2.7,197,310,1
628,SFX - Bestiary - The War Within - 11.2.7 - Twilight Ogre,Twilight Ogre,197,627,1
629,SFX - Bestiary - Midnight,Midnight,197,237,1
630,SFX - Bestiary - Midnight - 12.0,12.0,197,629,1
631,SFX - Bestiary - Midnight - 12.0 - Twilight Elemental,Twilight Elemental,197,630,1
633,SFX - Bestiary - Midnight - 12.0 - Snaplizard,Snaplizard,197,630,0.7943282
634,SFX - Ambience - Midnight - 12.0 Voidstorm - RoomTone - Structures,RoomTone - Structures,197,552,1
635,SFX - Bestiary - Midnight - 12.0 - Pangolin,Pangolin,197,630,1
636,"SFX - Raid - The War Within - 11.2 Manaforge Omega - 8. Dimensius, the All-Devouring - RP - Portal Charging",Portal Charging,197,616,0.12589255
638,SFX - Bestiary - Midnight - 12.0 - Haranir Wolverine,Haranir Wolverine,197,630,1
639,SFX - Ambience - Midnight - 12.0 Eversong Woods,Midnight - 12.0 Eversong Woods,197,189,1
640,SFX - Ambience - Midnight - 12.0 Eversong Woods - Zone Tones,Zone Tones,197,639,1
641,SFX - Ambience - Midnight - 12.0 Eversong Woods - Periodics,Periodics,197,639,1
642,SFX - Ambience - Midnight - 12.0 Eversong Woods - Interiors,Interiors,197,639,1
643,SFX - Ambience - Midnight - 12.0 Zul'Aman,Midnight - 12.0 Zul'Aman,197,189,1
644,SFX - Ambience - Midnight - 12.0 Zul'Aman - ZoneTone,ZoneTone,197,643,1
645,SFX - Ambience - Midnight - 12.0 Zul'Aman - Periodics,Periodics,197,643,1
646,SFX - Ambience - Midnight - 12.0 Zul'Aman - RoomTone - Cave,RoomTone - Cave,197,643,1
647,SFX - Ambience - Midnight - 12.0 Zul'Aman - RoomTone - Structures,RoomTone - Structures,197,643,1
648,SFX - Bestiary - Midnight - 12.0 - Twilight Ogre - Mor'duun,Twilight Ogre - Mor'duun,197,630,1
649,SFX - Bestiary - Midnight - 12.0 - Haranir Ferret,Haranir Ferret,197,630,1
650,SFX - Ambience - Midnight - 12.0 Zul'Aman - Emitter - Shrine,Emitter - Shrine,197,643,1
654,SFX - Bestiary - Midnight - 12.0 - Pangolin Loa,Pangolin Loa,197,630,1
655,SFX - Bestiary - Midnight - 12.0 - Snaplizard Baby,Snaplizard Baby,197,630,0.7943282
656,SFX - Ambience - Midnight - 12.0 Rootlands - Zone Tones,Zone Tones,197,826,0.63095737
657,SFX - Bestiary - Midnight - 12.0 - Amani Lynx,Amani Lynx,197,630,1
658,SFX - Bestiary - Midnight - 12.0 - Haranir Bear,Haranir Bear,197,630,1
659,SFX - Bestiary - Midnight - 12.0 - Haranir Cat - Grimlynx,Haranir Cat - Grimlynx,197,630,1
660,SFX - Reuse - Spore - Biolum,Biolum,197,661,1
661,SFX - Reuse - Spore,Spore,197,220,1
662,SFX - Reuse - Spore - Jungle,Jungle,197,661,1
663,SFX - Reuse - Spore - Regular,Regular,197,661,1
664,SFX - Reuse - Spore - Tonal,Tonal,197,661,1
665,SFX - Legion Remix,Legion Remix,197,197,1
666,SFX - Legion Remix - Artifact Infinite Traits,Artifact Infinite Traits,197,665,1
667,SFX - Legion Remix - Artifact Infinite Traits - Shared Tier,Shared Tier,197,666,1
668,SFX - Legion Remix - Artifact Infinite Traits - Nature Tier,Nature Tier,197,666,1
669,SFX - Legion Remix - Artifact Infinite Traits - Fel Tier,Fel Tier,197,666,1
670,SFX - Legion Remix - Artifact Infinite Traits - Arcane Tier,Arcane Tier,197,666,1
671,SFX - Legion Remix - Artifact Infinite Traits - Holy Tier,Holy Tier,197,666,1
672,SFX - Legion Remix - Artifact Infinite Traits - Storm Tier,Storm Tier,197,666,1
673,SFX - Bestiary - Midnight - 12.0 - Haranir Tree,Haranir Tree,197,630,1
674,SFX - Bestiary - Midnight - 12.0 - Haranir Moonkin,Haranir Moonkin,197,630,1
675,SFX - Bestiary - Midnight - 12.0 - Baby Amani Eagle,Baby Amani Eagle,197,630,1
676,SFX - Bestiary - Midnight - 12.0 - Poison Dart Frog,Poison Dart Frog,197,630,1
680,SFX - Dungeon - Midnight - 12.0,Midnight - 12.0,197,127,1
681,SFX - Dungeon - Midnight - 12.0 - Windrunner Spire,Windrunner Spire,197,680,1
682,SFX - UI - Shop 2.0,Shop 2.0,197,23,0.56234133
683,SFX - GameObject - Global,Global,197,312,1
684,"SFX - GameObject - Global - Bird, Living World","Bird, Living World",197,683,0.39810717
685,SFX - Housing,Housing,197,197,1
686,SFX - Housing - Ambience,Ambience,197,685,1
687,SFX - Housing - Ambience - ZoneTone,ZoneTone,197,686,1
688,SFX - Bestiary - The War Within - 11.2.7 - Voidcaller Uprez,Voidcaller Uprez,197,627,1
689,SFX - Bestiary - The War Within - 11.2.7 - Void Revenant,Void Revenant,197,627,1
696,SFX - Housing - Decor,Decor,197,685,0.5011872
697,SFX - UI - Customization,Customization,197,23,1
698,SFX - UI - Customization - Animals,Animals,197,697,1
699,SFX - UI - Customization - Warcraft 2,Warcraft 2,197,697,1
700,SFX - UI - Customization - Warcraft 3,Warcraft 3,197,697,1
701,SFX - UI - Customization - Unused,Unused,197,697,1
702,SFX - UI - Customization - Devices,Devices,197,697,1
703,SFX - UI - Customization - Instruments,Instruments,197,697,1
704,SFX - UI - Customization - Impacts,Impacts,197,697,1
709,SFX - Ambience - Midnight - 12.0 Lightbloom Dungeon,Midnight - 12.0 Lightbloom Dungeon,197,189,0.56234133
718,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena,Voidscar Arena,197,680,1
719,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Ambience,Ambience,197,718,1
720,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Ambience - ZoneTones,ZoneTones,197,719,1
721,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Ambience - Periodics,Periodics,197,719,1
722,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Ambience - Emitters,Emitters,197,719,1
726,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Bosses,Bosses,197,718,1
727,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Bosses - Arena Boss,Arena Boss,197,726,1
728,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Bosses - Arena Boss - 1. Chitigoth,1. Chitigoth,197,727,1
729,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Bosses - Arena Boss - 2. Brutok,2. Brutok,197,727,1
730,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Bosses - Main Boss,Main Boss,197,726,1
731,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Bosses - Main Boss - 1. Taz'Rah,1. Taz'Rah,197,730,1
732,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Bosses - Main Boss - 2. Atroxus,2. Atroxus,197,730,1
733,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Bosses - Main Boss - 3. Charonus,3. Charonus,197,730,1
734,SFX - Dungeon - Midnight - 12.0 - Voidscar Arena - Ambience - RoomTones,RoomTones,197,719,1
735,SFX - Dungeon - Midnight - 12.0 - Windrunner Spire - Ambience,Ambience,197,681,1
736,SFX - Dungeon - Midnight - 12.0 - Windrunner Spire - Ambience - Zone Tones,Zone Tones,197,735,1
737,SFX - Dungeon - Midnight - 12.0 - Windrunner Spire - Ambience - Periodics,Periodics,197,735,1
