Name_lang,Description_lang,ID,Rarity,SpellID,ResearchBranchID,NumSockets,TextureFileID,RequiredWeight
Puzzle Box of Yogg-Saron,Each of the fragments of this artifact emits a nonsense whisper that blends into a maddening susurrus as you accumulate more objects. You hope that you know what you're doing.,297,1,91215,5,3,458944,140
Silver Kris of Korl,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",301,0,91219,1,2,426727,45
Warmaul of Burningeye,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",303,0,91221,1,2,426727,45
Spiked Gauntlets of Anvilrage,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",305,0,91223,1,2,426727,45
Word of Empress Zoe,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",307,0,91224,1,2,426727,45
Scepter of Bronzebeard,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",309,0,91225,1,2,426727,45
The Innkeeper's Daughter,This small stone resembles a Hearthstone. It is warm to the touch and makes very faint giggling noises at inopportune moments.,313,1,91226,1,3,458960,150
Staff of Sorcerer-Thane Thaurissan,The pieces of this staff still crackle with energy. Yet it also appears to have suffered extensive fire damage.,315,1,91227,1,3,458959,150
Tyrande's Favorite Doll,"This is a simple night elven doll. The hands and feet are of porcelain, painted with flaking purple. The garments are fine but fraying. The doll's long tresses are the most remarkable and could possibly be real night elf hair.",317,1,91757,4,3,458963,150
Bones of Transformation,"These bones show a curious mixture of humanoid arms and serpentine tail, convincing you that they are probably from a naga. What is more interesting is that the skeleton has been articulated and posed as if it was once displayed in a museum.",319,1,91761,4,3,458942,150
Carcanet of the Hundred Magi,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",323,0,91762,4,2,426727,45
Silver Scroll Case,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne, the upper class of the elves unleashed dangerous magic that brought the Burning Legion into the world and resulted in the death uncounted.",325,0,91766,4,2,426727,45
Umbra Crescent,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",327,0,91769,4,2,426727,45
Wisp Amulet,"This beautiful amulet is formed of loops and angles of bright gold, framing a large tear-drop emerald.  Within the depths of the emerald you can see a small glowing sphere with a vaguely night elf face.  The sphere seems to move about within the emerald, not trapped exactly as much as flitting about like an insect.",329,1,91773,4,3,458964,150
Castle of Sand,"The tol'vir were originally stone constructs created by the titans to safeguard the secrets of Uldum.  They possess feline lower bodies and heads as well as human torsos.  Like many other titan creations, the tol'vir succumbed to the curse of flesh.  Three tribes exist in the present day: Ramkahen, Orsis (nearly wiped out) and Neferset.  The latter tribe has allied with Deathwing in order to regain the tol'vir's stone form.",331,0,91775,7,2,426727,45
Cat Statue with Emerald Eyes,"The tol'vir were originally stone constructs created by the titans to safeguard the secrets of Uldum.  They possess feline lower bodies and heads as well as human torsos.  Like many other titan creations, the tol'vir succumbed to the curse of flesh.  Three tribes exist in the present day: Ramkahen, Orsis (nearly wiped out) and Neferset.  The latter tribe has allied with Deathwing in order to regain the tol'vir's stone form.",333,0,91779,7,2,426727,45
Soapstone Scarab Necklace,"The tol'vir were originally stone constructs created by the titans to safeguard the secrets of Uldum.  They possess feline lower bodies and heads as well as human torsos.  Like many other titan creations, the tol'vir succumbed to the curse of flesh.  Three tribes exist in the present day: Ramkahen, Orsis (nearly wiped out) and Neferset.  The latter tribe has allied with Deathwing in order to regain the tol'vir's stone form.",335,0,91780,7,2,426727,45
Tiny Oasis Mosaic,"The tol'vir were originally stone constructs created by the titans to safeguard the secrets of Uldum.  They possess feline lower bodies and heads as well as human torsos.  Like many other titan creations, the tol'vir succumbed to the curse of flesh.  Three tribes exist in the present day: Ramkahen, Orsis (nearly wiped out) and Neferset.  The latter tribe has allied with Deathwing in order to regain the tol'vir's stone form.",339,0,91782,7,2,426727,45
Engraved Scimitar Hilt,"The tol'vir were originally stone constructs created by the titans to safeguard the secrets of Uldum.  They possess feline lower bodies and heads as well as human torsos.  Like many other titan creations, the tol'vir succumbed to the curse of flesh.  Three tribes exist in the present day: Ramkahen, Orsis (nearly wiped out) and Neferset.  The latter tribe has allied with Deathwing in order to regain the tol'vir's stone form.",341,0,91785,7,2,426727,45
Canopic Jar,"The tol'vir were originally stone constructs created by the titans to safeguard the secrets of Uldum.  They possess feline lower bodies and heads as well as human torsos.  Like many other titan creations, the tol'vir succumbed to the curse of flesh.  Three tribes exist in the present day: Ramkahen, Orsis (nearly wiped out) and Neferset.  The latter tribe has allied with Deathwing in order to regain the tol'vir's stone form.",343,0,91790,7,2,426727,45
Sketch of a Desert Palace,"The tol'vir were originally stone constructs created by the titans to safeguard the secrets of Uldum.  They possess feline lower bodies and heads as well as human torsos.  Like many other titan creations, the tol'vir succumbed to the curse of flesh.  Three tribes exist in the present day: Ramkahen, Orsis (nearly wiped out) and Neferset.  The latter tribe has allied with Deathwing in order to regain the tol'vir's stone form.",345,0,91792,7,2,426727,45
Pipe of Franclorn Forgewright,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",347,0,91793,1,2,426727,45
Mummified Monkey Paw,"This appears as nothing more than the paw of a small primate. A closer inspection shows that the hand has been dried by centuries of exposure to the sands of Uldum. Still, you have no doubt that it is far more than meets the eye.",349,1,92137,7,3,458957,150
Staff of Ammunae,"This is a long staff with a gold head piece. In the center of the head is a green gem of some unknown mineral that allows light to shine through. The staff is warm to the touch and if left too long in one place, plants turn to face it as if facing the sun.",351,1,92139,7,3,458958,150
Pendant of the Scarab Storm,"This is a heavy necklace, almost a piece of armor, covered with small scarabs of stone and bronze instead of chain links. The largest scarab is carved of lapis lazuli set in gold.",353,1,92145,7,3,458952,150
Scepter of Azj'Aqir,"This short baton is set with a clawed amethyst at the crown.  Your are fairly certain that the design is not tol'vir at all, but Qiraji.  Perhaps the proximity to the Temple of Ahn'Qiraj has somehow allowed this artifact into Uldum despite the barrier.",355,1,92148,7,3,458955,150
Scimitar of the Sirocco,This scimitar is fashioned of bronze but inlaid with a great deal of gold. A warm wind seems to cling to it. The blade is sharply curved in the 'sickle sword' design called a khopesh by the tol'vir.,357,1,92163,7,3,458956,150
Ring of the Boy Emperor,This is a ring of gold featuring a scarab fashioned of polished turquoise. The ring itself is quite small and only fits on your fingers with some effort.,359,1,92168,7,3,458954,150
Dwarven Baby Socks,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",371,0,93440,1,0,426727,30
Necklace with Elune Pendant,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",372,0,93441,4,0,426727,30
Shard of Petrified Wood,Fossils are the preserved remains of animals or plants from the ancient past. Typically the living tissues are replaced with minerals that preserve the form of the original organism.,374,0,93442,3,0,426727,30
Strange Velvet Worm,Fossils are the preserved remains of animals or plants from the ancient past. Typically the living tissues are replaced with minerals that preserve the form of the original organism.,378,0,93443,3,0,426727,35
Fine Bloodscalp Dinnerware,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",380,0,93444,8,0,426727,32
Extinct Turtle Shell,"This turtle shell is supernaturally resilient. Perhaps if you collected all the fragments, you could assemble a powerful protective device. ",628,1,98533,3,0,516519,150
Haunted War Drum,"What appears to be an ancient, elaborate troll war drum. The hide is of an unusual color and appears to have been tattooed rather than simply painted or dyed.",633,1,98556,8,3,516517,100
Ancient Amber,A particularly large hunk of petrified tree resin containing what appears to be a small humanoid figure.,635,1,98560,3,0,516515,100
Vrykul Drinking Horn,"A large, sturdy, silver-chased and rune-carved horn.",637,1,98569,27,3,516520,100
Pterrordax Hatchling,Could this fossilized egg still be... alive?!,639,1,98582,3,0,516516,120
Voodoo Figurine,A medium-sized figurine of unusual complexity and troll manufacture.,641,1,98588,8,3,516518,100
