ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
121289,Alterac Valley Honorable Kills,121288,0,0,5507,0,0
121290,,0,0,4,0,0,0
121291,Granite Springs,121290,0,0,4182,0,0
121292,Venture Bay,121290,0,0,4186,0,0
121293,Westfall Brigade Encampment,121290,0,0,4191,0,0
121294,Blue Sky Logging Grounds,121290,0,0,4189,0,0
121295,Camp Oneqwah,121290,0,0,4190,0,0
121296,Voldrune,121290,0,0,4187,0,0
121297,Conquest Hold,121290,0,0,4178,0,0
121298,Drakil'jin Ruins,121290,0,0,4180,0,0
121299,Dun Argol,121290,0,0,4181,0,0
121300,Grizzlemaw,121290,0,0,4183,0,0
121301,Rage Fang Shrine,121290,0,0,4184,0,0
121302,Thor Modan,121290,0,0,4185,0,0
121303,Amberpine Lodge,121290,0,0,4188,0,0
121304,Drak'Tharon Keep,121290,0,0,4179,0,0
121305,,0,0,4,0,0,0
121306,The Broken Front,121305,0,0,5862,0,0
121307,The Fleshwerks,121305,0,0,5863,0,0
121308,Valley of Echoes,121305,0,0,5867,0,0
121309,Ymirheim,121305,0,0,5868,0,0
121310,The Conflagration,121305,0,0,5869,0,0
121311,Jotunheim,121305,0,0,5872,0,0
121312,Scourgeholme,121305,0,0,5873,0,0
121313,Aldur'thar: The Desolation Gate,121305,0,0,5864,0,0
121314,Icecrown Citadel,121305,0,0,5860,0,0
121315,The Shadow Vault,121305,0,0,5874,0,0
121316,Onslaught Harbor,121305,0,0,5861,0,0
121317,The Bombardment,121305,0,0,5859,0,0
121318,Sindragosa's Fall,121305,0,0,5865,0,0
121319,Valhalas,121305,0,0,5866,0,0
121320,Corp'rethar: The Horror Gate,121305,0,0,5871,0,0
121321,,0,0,4,0,0,0
121322,Exalted with Knights of the Ebon Blade,121321,42000,0,4743,0,2
121323,,0,1,8,0,0,0
121324,Arathi Basin,121323,20,0,3369,0,3
121325,Eye of the Storm,121323,20,0,3370,0,3
121326,Warsong Gulch,121323,20,0,3371,0,3
121327,Strand of the Ancients,121323,20,0,7623,0,3
121328,Alterac Valley,121323,20,0,3368,0,3
121329,Isle of Conquest,121323,20,0,12578,0,3
121330,,0,0,4,0,0,0
121331,Total cheers,121330,0,0,3233,0,0
121332,,0,1,8,0,0,0
121333,Alchemy,121332,4,0,5551,0,2
121334,Blacksmithing,121332,4,0,5552,0,2
121335,Herbalism,121332,4,0,5555,0,2
121336,Leatherworking,121332,4,0,5558,0,2
121337,Skinning,121332,4,0,5560,0,2
121338,Jewelcrafting,121332,4,0,5557,0,2
121339,Inscription,121332,4,0,5556,0,2
121340,Mining,121332,4,0,5559,0,2
121341,Enchanting,121332,4,0,5553,0,2
121342,Engineering,121332,4,0,5554,0,2
121343,Tailoring,121332,4,0,5561,0,2
121344,,0,0,4,0,0,0
121345,Catch 100 fish,121344,100,0,5288,0,1
121346,,0,0,6,0,0,0
121347,Outland,121346,0,0,5494,0,0
121348,Northrend,121346,0,0,5495,0,0
121349,Kalimdor,121346,0,0,5493,0,0
121350,Eastern Kingdoms,121346,0,0,5492,0,0
121351,,0,1,8,0,0,0
121352,Metzen saved,121351,1,0,479,0,2
121353,Metzen saved,121351,1,0,478,0,2
121354,,0,0,4,0,0,0
121355,Pick up flag while it's at the base,121354,1,0,5603,0,2
121356,Cap in 75 seconds,121354,1,0,7769,0,2
121357,,0,0,4,0,0,0
121358,Lovely Black Dress,121357,1,0,6293,0,2
121359,,0,0,4,0,0,0
121360,The Black Stalker,121359,1,0,3712,0,2
121361,,0,1,8,0,0,0
121362,Trial of the Naaru: Strength,121361,1,0,4486,0,2
121363,Warlord Kalithresh,121361,1,0,3718,0,2
121364,,0,1,8,0,0,0
121365,Warchief Kargath Bladefist,121364,1,0,3719,0,2
121366,Imprisoned in the Citadel,121364,1,0,4487,0,2
121367,Trial of the Naaru: Mercy,121364,1,0,4489,0,2
121368,Imprisoned in the Citadel,121364,1,0,4488,0,2
121369,,0,0,4,0,0,0
121370,Pathaleon the Calculator,121369,1,0,3720,0,2
121371,,0,1,8,0,0,0
121372,Snowball Cairne Bloodhoof,121371,1,0,5272,0,2
121373,Snowball Cairne Bloodhoof,121371,1,0,9838,0,2
121374,Snowball Cairne Bloodhoof,121371,1,0,9839,0,2
121375,,0,0,4,0,0,0
121376,Darkshore,121375,1,0,1490,0,0
121377,Bloodmyst Isle,121375,1,0,1601,0,0
121378,The Barrens,121375,1,0,1489,0,0
121379,Ashenvale,121375,1,0,1491,0,0
121380,Azshara,121375,1,0,1498,0,0
121381,Un'Goro Crater,121375,1,0,1500,0,0
121382,Azuremyst Isle,121375,1,0,1600,0,0
121383,Durotar,121375,1,0,1486,0,0
121384,Mulgore,121375,1,0,1487,0,0
121385,Dustwallow Marsh,121375,1,0,1495,0,0
121386,Thousand Needles,121375,1,0,1492,0,0
121387,Stonetalon Mountains,121375,1,0,1493,0,0
121388,Feralas,121375,1,0,1496,0,0
121389,Tanaris Desert,121375,1,0,1497,0,0
121390,Silithus,121375,1,0,1502,0,0
121391,Moonglade,121375,1,0,1501,0,0
121392,Felwood,121375,1,0,1499,0,0
121393,Teldrassil,121375,1,0,1488,0,0
121394,Winterspring,121375,1,0,1503,0,0
121395,Desolace,121375,1,0,1494,0,0
121396,,0,0,4,0,0,0
121397,Zangarmarsh,121396,1,0,1783,0,0
121398,Netherstorm,121396,1,0,1787,0,0
121399,Shadowmoon Valley,121396,1,0,1788,0,0
121400,Terokkar Forest,121396,1,0,1784,0,0
121401,Nagrand,121396,1,0,1785,0,0
121402,Blade's Edge Mountains,121396,1,0,1786,0,0
121403,Hellfire Peninsula,121396,1,0,1782,0,0
121404,,0,130,5,0,0,0
121405,Complete 130 quests in Boren Tundra,121404,130,0,74,0,3
121406,Complete 130 quests in Borean Tundra,121404,130,0,5019,0,3
121407,,0,0,4,0,0,0
121408,Complete 115 quests in Dragonblight,121407,115,0,76,0,1
121409,,0,0,4,0,0,0
121410,Complete 100 Zul'Drak Quests,121409,100,0,77,0,1
121411,,0,0,4,0,0,0
121412,Complete 100 Storm Peaks Quests,121411,100,0,79,0,1
121413,,0,0,4,0,0,0
121414,Complete 75 Sholazar Basin quests.,121413,75,0,80,0,1
121415,,0,1,8,0,0,0
121416,Greater Sagefish School,121415,1,0,3861,0,2
121417,Sporefish School,121415,1,0,3870,0,2
121418,Firefin Snapper School,121415,1,0,3860,0,2
121419,Stonescale Eel Swarm,121415,1,0,3864,0,2
121420,Bluefish School,121415,1,0,3866,0,2
121421,Mudfish School,121415,1,0,3867,0,2
121422,School of Darter,121415,1,0,3868,0,2
121423,Teeming Oily Blackmouth School,121415,1,0,3862,0,2
121424,Lesser Oily Blackmouth School,121415,1,0,3853,0,2
121425,Oily Blackmouth School,121415,1,0,3859,0,2
121426,Abundant Oily Blackmouth School,121415,1,0,3851,0,2
121427,Sparse Firefin Snapper School,121415,1,0,3857,0,2
121428,Highland Mixed School,121415,1,0,3869,0,2
121429,Teeming Firefin Snapper School,121415,1,0,3863,0,2
121430,Brackish Mixed School,121415,1,0,3865,0,2
121431,School of Deviate Fish,121415,1,0,3854,0,2
121432,Sagefish School,121415,1,0,3858,0,2
121433,Lesser Sagefish School,121415,1,0,3855,0,2
121434,Sparse Oily Blackmouth School,121415,1,0,3856,0,2
121435,Abundant Firefin Snapper School,121415,1,0,3852,0,2
121436,Glassfin Minnow School,121415,1,0,5283,0,2
121437,Dragonfin Angelfish School,121415,1,0,5280,0,2
121438,Deep Sea Monsterbelly School,121415,1,0,5279,0,2
121439,Fangtooth Herring School,121415,1,0,5281,0,2
121440,Glacial Salmon School,121415,1,0,5282,0,2
121441,Imperial Manta Ray School,121415,1,0,5284,0,2
121442,Nettlefish School,121415,1,0,5287,0,2
121443,Musselback Sculpin School,121415,1,0,5286,0,2
121444,Borean Man O' War School,121415,1,0,5278,0,2
121445,Moonglow Cuttlefish School,121415,1,0,5285,0,2
121446,Barrelhead Goby School,121415,1,0,5276,0,2
121447,,0,0,4,0,0,0
121448,Catch 25 fish,121447,25,0,5288,0,1
121449,,0,0,4,0,0,0
121450,Catch 1000 fish,121449,1000,0,5288,0,1
121451,,0,0,4,0,0,0
121452,Win 1 ranked arena match,121451,1,0,306,0,2
121453,,0,0,4,0,0,0
121454,Win 100 ranked arena matches,121453,100,0,306,0,1
121455,,0,0,4,0,0,0
121456,1750 rating,121455,1750,0,329,0,2
121457,,0,1,8,0,0,0
121458,Amani War Bear,121457,0,0,6170,0,2
121459,,0,0,4,0,0,0
121460,Shoot off 10 Festival Firecrackers in 30 seconds or less,121459,10,0,5755,0,1
121461,,0,0,4,0,0,0
121462,Dwarf,121461,1,0,5776,0,0
121463,Gnome,121461,1,0,5772,0,0
121464,Blood Elf,121461,1,0,5774,0,0
121465,Draenei,121461,1,0,5775,0,0
121466,Human,121461,1,0,5777,0,0
121467,Night Elf,121461,1,0,5778,0,0
121468,Orc,121461,1,0,5779,0,0
121469,Tauren,121461,1,0,5780,0,0
121470,Troll,121461,1,0,5781,0,0
121471,Undead,121461,1,0,5782,0,0
121472,,0,0,4,0,0,0
121473,Duels lost,121472,0,0,3630,0,0
121474,,0,0,5,0,0,0
121475,Thane Korth'azz,121474,0,0,7845,0,0
121476,Anub'Rekhan,121474,0,0,7828,0,0
121477,Gluth,121474,0,0,7829,0,0
121478,Gothik the Harvester,121474,0,0,7830,0,0
121479,Grand Widow Faerlina,121474,0,0,7831,0,0
121480,Grobbulus,121474,0,0,7832,0,0
121481,Instructor Razuvious,121474,0,0,7834,0,0
121482,Loatheb,121474,0,0,7835,0,0
121483,Maexxna,121474,0,0,7836,0,0
121484,Patchwerk,121474,0,0,7838,0,0
121485,Sapphiron,121474,0,0,7840,0,0
121486,Kel'Thuzad,121474,0,0,7841,0,0
121487,Lady Blaymeux,121474,0,0,7842,0,0
121488,Baron Rivendare,121474,0,0,7843,0,0
121489,Sir Zeliek,121474,0,0,7844,0,0
121490,Malygos,121474,0,0,7847,0,0
121491,Noth the Plaguebringer,121474,0,0,7837,0,0
121492,Thaddius,121474,0,0,7839,0,0
121493,Sartharion,121474,0,0,7846,0,0
121494,Heigan the Unclean,121474,0,0,7833,0,0
121495,Archavon the Stone Watcher,121474,0,0,7848,0,0
121496,Toravon the Ice Watcher,121474,0,0,13291,0,0
121497,Icehowl,121474,0,0,13292,0,0
121498,Lord Jaraxxus,121474,0,0,13293,0,0
121499,Fjola Lightbane,121474,0,0,13294,0,0
121500,Eydis Darkbane,121474,0,0,13295,0,0
121501,Anub'arak,121474,0,0,13296,0,0
121502,Lord Marrowgar,121474,0,0,13297,0,0
121503,Lady Deathwhisper,121474,0,0,13298,0,0
121504,Deathbringer Saurfang,121474,0,0,13299,0,0
121505,Blood-Queen Lana'thel,121474,0,0,13300,0,0
121506,Sindragosa,121474,0,0,13301,0,0
121507,The Lich King,121474,0,0,13302,0,0
121508,Festergut,121474,0,0,13303,0,0
121509,Rotface,121474,0,0,13304,0,0
121510,Professor Putricide,121474,0,0,13305,0,0
121511,Flame Leviathan,121474,0,0,11016,0,0
121512,Razorscale,121474,0,0,11017,0,0
121513,Ignis the Furnace Master,121474,0,0,11018,0,0
121514,XT-002 Deconstructor,121474,0,0,11019,0,0
121515,Steelbreaker,121474,0,0,11020,0,0
121516,Runemaster Molgeim,121474,0,0,11021,0,0
121517,Stormcaller Brundir,121474,0,0,11022,0,0
121518,Kologarn,121474,0,0,11023,0,0
121519,Auriaya,121474,0,0,11024,0,0
121520,Hodir,121474,0,0,11025,0,0
121521,Thorim,121474,0,0,11026,0,0
121522,Freya,121474,0,0,11027,0,0
121523,Mimiron,121474,0,0,11028,0,0
121524,General Vezax,121474,0,0,11029,0,0
121525,Yogg-Saron,121474,0,0,11030,0,0
121526,Algalon the Observer,121474,0,0,11031,0,0
121527,Emalon the Storm Watcher,121474,0,0,11032,0,0
121528,,0,0,4,0,0,0
121529,Exalted with the Hydraxian Waterlords,121528,42000,0,2048,0,2
121530,,0,0,4,0,0,0
121531,Make Delicious Chocolate Cake,121530,1,0,1832,0,2
121532,,0,0,4,0,0,0
121533,Reach level 20,121532,20,0,5212,0,2
121534,,0,1,8,0,0,0
121535,Warchief Kargath Bladefist,121534,1,0,3249,0,2
121536,Trial of the Naaru: Mercy,121534,1,0,4489,0,2
121537,Turning the Tide ,121534,1,0,4475,0,2
121538,The Will of the Warchief,121534,1,0,4476,0,2
121539,Imprisoned in the Citadel,121534,1,0,4487,0,2
121540,Imprisoned in the Citadel,121534,1,0,4488,0,2
121541,Onyxia (Level 60),0,1,8,0,0,0
121542,Victory for the Horde,121541,1,0,4267,11,2
121543,A Proper String,121541,1,0,4268,0,2
121544,Onyxia Hide Backpack,121541,1,0,4271,1,2
121545,Deathbringer,121541,1,0,4282,2,2
121546,Ring of Binding,121541,1,0,4284,3,2
121547,Shard of the Scale,121541,1,0,4287,12,2
121548,The Only Prescription,121541,1,0,4269,5,2
121549,The Forging of Quel'Serrar,121541,1,0,4270,6,2
121550,Victory for the Alliance,121541,1,0,4266,7,2
121551,Eskhandar's Collar,121541,1,0,4286,8,2
121552,Vis'kag the Bloodletter,121541,1,0,4283,9,2
121553,Ancient Cornerstone Grimoire,121541,1,0,4272,10,2
121554,Sapphiron Drape,121541,1,0,4285,4,2
121555,,0,0,4,0,0,0
121556,Exalted with Kirin Tor,121555,42000,0,4742,0,2
121557,,0,25,8,0,0,0
121558,Tabard of the Kirin Tor,121557,1,0,6979,0,2
121559,Tabard of the Arcane,121557,1,0,2924,0,2
121560,Arathor Battle Tabard,121557,1,0,2335,0,2
121561,Tabard of the Protector,121557,1,0,2338,0,2
121562,Aldor Tabard,121557,1,0,2893,0,2
121563,Battle Tabard of the Defilers,121557,1,0,2894,0,2
121564,Blood Knight Tabard,121557,1,0,2895,0,2
121565,Frostwolf Battle Tabard,121557,1,0,2899,0,2
121566,Honor Hold Tabard,121557,1,0,2901,0,2
121567,Knight's Colors,121557,1,0,2903,0,2
121568,Lower City Tabard,121557,1,0,2905,0,2
121569,Ogri'la Tabard,121557,1,0,2907,0,2
121570,Private's Tabard,121557,1,0,2908,0,2
121571,Sha'tar Tabard,121557,1,0,2911,0,2
121572,Skyguard Tabard,121557,1,0,2913,0,2
121573,Sporeggar Tabard,121557,1,0,2914,0,2
121574,Stone Guard's Herald,121557,1,0,2915,0,2
121575,Tabard of Frost,121557,1,0,2919,0,2
121576,Tabard of Nature,121557,1,0,2921,0,2
121577,Tabard of the Argent Dawn,121557,1,0,2925,0,2
121578,Tabard of the Defender,121557,1,0,2926,0,2
121579,Tabard of the Shattered Sun,121557,1,0,2929,0,2
121580,Thrallmar Tabard,121557,1,0,2931,0,2
121581,Tranquillien Tabard,121557,1,0,2932,0,2
121582,Warsong Battle Tabard,121557,1,0,2933,0,2
121583,Stormpike Battle Tabard,121557,1,0,2916,0,2
121584,Keepers of Time Tabard,121557,1,0,2902,0,2
121585,Tabard of Stormwind,121557,1,0,2922,0,2
121586,Tabard of Summer Skies,121557,1,0,2923,0,2
121587,Tabard of the Scarlet Crusade,121557,1,0,2928,0,2
121588,Consortium Tabard,121557,1,0,2336,0,2
121589,Contest Winner's Tabard,121557,1,0,2898,0,2
121590,Tabard of the Illidari,121557,1,0,2337,0,2
121591,Scryers Tabard,121557,1,0,2910,0,2
121592,Kurenai Tabard,121557,1,0,2904,0,2
121593,Guild Tabard,121557,1,0,2340,0,2
121594,Cenarion Expedition Tabard,121557,1,0,2896,0,2
121595,Tabard of Fury,121557,1,0,2920,0,2
121596,Tabard of Flame,121557,1,0,2918,0,2
121597,Tabard of the Void,121557,1,0,2930,0,2
121598,Tabard of Brute Force,121557,1,0,6172,0,2
121599,Tabard of the Explorer,121557,1,0,6171,0,2
121600,Green Trophy Tabard of the Illidari,121557,1,0,2900,0,2
121601,Mag'har Tabard,121557,1,0,2906,0,2
121602,Silverwing Battle Tabard,121557,1,0,2912,0,2
121603,Tabard of the Argent Crusade,121557,1,0,6976,0,2
121604,Tabard of the Ebon Blade,121557,1,0,6977,0,2
121605,Tabard of the Hand,121557,1,0,2927,0,2
121606,Tabard of Summer Flames,121557,1,0,2339,0,2
121607,Loremaster's Colors,121557,1,0,6151,0,2
121608,Competitor's Tabard,121557,1,0,2897,0,2
121609,Scout's Tabard,121557,1,0,2909,0,2
121610,Tabard of Brilliance,121557,1,0,2917,0,2
121611,Orgrimmar Tabard,121557,1,0,11378,0,2
121612,Furious Gladiator's Tabard,121557,1,0,12598,0,2
121613,Relentless Gladiator's Tabard,121557,1,0,12599,0,2
121614,Tabard of the Achiever,121557,1,0,12600,0,2
121615,Tabard of the Wyrmrest Accord,121557,1,0,6978,0,2
121616,Wrathful Gladiator's Tabard,121557,1,0,13242,0,2
121617,Tabard of the Lightbringer,121557,1,0,13241,0,2
121618,Silvermoon City Tabard,121557,1,0,11298,0,2
121619,Sen'jin Tabard,121557,1,0,11299,0,2
121620,Undercity Tabard,121557,1,0,11300,0,2
121621,Thunder Bluff Tabard,121557,1,0,11301,0,2
121622,Darnassus Tabard,121557,1,0,11302,0,2
121623,Exodar Tabard,121557,1,0,11303,0,2
121624,Gnomeregan Tabard,121557,1,0,11304,0,2
121625,Ironforge Tabard,121557,1,0,11305,0,2
121626,Stormwind Tabard,121557,1,0,11306,0,2
121627,Silver Covenant Tabard,121557,1,0,11307,0,2
121628,Sunreaver Tabard,121557,1,0,11308,0,2
121629,Argent Crusader's Tabard,121557,1,0,11309,0,2
121630,Tabard of Conquest (Horde),121557,1,0,11761,0,2
121631,Tabard of Conquest (Alliance),121557,1,0,11760,0,2
121632,,0,0,4,0,0,0
121633,Thrall,121632,1,0,480,0,2
121634,,0,0,4,0,0,0
121635,Lor'themar Theron,121634,1,0,483,0,2
121636,,0,0,4,0,0,0
121637,Ionar,121636,1,0,6832,0,0
121638,General Bjarngrim,121636,1,0,6831,0,0
121639,Volkhan,121636,1,0,6833,0,0
121640,Loken,121636,1,0,5616,0,0
121641,,0,0,4,0,0,0
121642,Level to 80,121641,80,0,5219,0,2
121643,,0,0,4,0,0,0
121644,Krik'thir the Gatewatcher,121643,1,0,5436,0,0
121645,Hadronox,121643,1,0,5437,0,0
121646,Anub'arak,121643,1,0,5623,0,0
121647,,0,0,4,0,0,0
121648,Mage-Lord Urom,121647,1,0,5460,0,0
121649,Ley-Guardian Eregos,121647,1,0,5630,0,0
121650,Varos Cloudstrider,121647,1,0,5461,0,0
121651,Drakos the Interrogator,121647,1,0,5459,0,0
121652,,0,0,4,0,0,0
121653,Skadi the Ruthless,121652,1,0,6863,0,0
121654,Gortok Palehoof,121652,1,0,6865,0,0
121655,Svala Sorrowgrave,121652,1,0,6864,0,0
121656,King Ymiron,121652,1,0,5618,0,0
121657,,0,0,4,0,0,0
121658,Patchwerk,121657,1,0,5103,0,0
121659,Grobbulus,121657,1,0,6406,0,0
121660,Gluth,121657,1,0,5124,0,0
121661,Thaddius,121657,1,0,5134,0,0
121662,,0,1,8,0,0,0
121663,Terokk's Legacy,121662,1,0,4468,0,2
121664,Talon King Ikiss,121662,1,0,3245,0,2
121665,,0,0,4,0,0,0
121666,Arathi Basin Shutout,121665,1,0,611,0,2
121667,,0,0,4,0,0,0
121668,Win Warsong Gulch,121667,1,0,140,0,2
121669,,0,1,8,0,0,0
121670,Ossirian the Unscarred,121669,1,0,598,0,2
121671,The Fall of Ossirian,121669,1,0,4265,0,2
121672,,0,1,8,0,0,0
121673,Prince Malchezaar,121672,1,0,3254,0,2
121674,A Demonic Presence,121672,1,0,4491,0,2
121675,,0,1,8,0,0,0
121676,Zul'jin,121675,1,0,3255,0,2
121677,Blood of the Warlord,121675,1,0,4492,0,2
121678,,0,1,8,0,0,0
121679,Magtheridon,121678,1,0,3257,0,2
121680,The Fall of Magtheridon,121678,1,0,4496,0,2
121681,Aegis of the Vindicator,121678,1,0,4879,0,2
121682,Cloak of the Pit Stalker,121678,1,0,4880,0,2
121683,Pit Lord's Satchel,121678,1,0,4907,0,2
121684,Eye of Magtheridon,121678,1,0,4883,0,2
121685,Glaive of the Pit,121678,1,0,4884,0,2
121686,Cyclone Breastplate,121678,1,0,4890,0,2
121687,Cyclone Chestguard,121678,1,0,4891,0,2
121688,Cyclone Hauberk,121678,1,0,4892,0,2
121689,Justicar Breastplate,121678,1,0,4893,0,2
121690,Justicar Chestpiece,121678,1,0,4895,0,2
121691,Girdle of the Endless Pit,121678,1,0,4942,0,2
121692,Chestguard of Malorne,121678,1,0,4898,0,2
121693,Warbringer Breastplate,121678,1,0,4902,0,2
121694,Demon Stalker Harness,121678,1,0,4904,0,2
121695,Voidheart Robe,121678,1,0,4906,0,2
121696,Liar's Tongue Gloves,121678,1,0,4886,0,2
121697,Breastplate of Malorne,121678,1,0,4897,0,2
121698,Vestments of the Aldor,121678,1,0,4905,0,2
121699,Trial of the Naaru: Magtheridon,121678,1,0,4939,0,2
121700,Shroud of the Incarnate,121678,1,0,4901,0,2
121701,Trial of the Naaru: Magtheridon,121678,1,0,4494,0,2
121702,The Fall of Magtheridon,121678,1,0,4495,0,2
121703,Crystalheart Pulse-Staff,121678,1,0,4881,0,2
121704,Eredar Wand of Obliteration,121678,1,0,4882,0,2
121705,Karaborian Talisman,121678,1,0,4885,0,2
121706,Justicar Chestguard,121678,1,0,4894,0,2
121707,Soul-Eater's Handwraps,121678,1,0,4887,0,2
121708,Chestpiece of Malorne,121678,1,0,4899,0,2
121709,Robes of the Incarnate,121678,1,0,4900,0,2
121710,Thundering Greathelm,121678,1,0,4889,0,2
121711,Netherblade Chestpiece,121678,1,0,4896,0,2
121712,Terror Pit Girdle,121678,1,0,4888,0,2
121713,Warbringer Chestguard,121678,1,0,4903,0,2
121714,,0,0,4,0,0,0
121715,Win Eye of the Storm.,121714,1,0,5745,0,2
121716,,0,0,4,0,0,0
121717,Complete 100 victories in Eye of the Storm,121716,100,0,5745,0,1
121718,,0,0,4,0,0,0
121719,Capture a flag with 4 bases held,121718,1,0,3693,0,2
121720,,0,0,4,0,0,0
121721,Terror Run,121720,1,0,1455,0,0
121722,Golakka Hot Springs,121720,1,0,1454,0,0
121723,The Slithering Scar,121720,1,0,1456,0,0
121724,The Marshlands,121720,1,0,1457,0,0
121725,Fire Plume Ridge,121720,1,0,1453,0,0
121726,Lakkari Tar Pits,121720,1,0,1459,0,0
121727,Ironstone Plateau,121720,1,0,1458,0,0
121728,,0,0,4,0,0,0
121729,Starfall Village,121728,1,0,1476,0,0
121730,Lake Kel'Theril,121728,1,0,1475,0,0
121731,Ice Thistle Hills,121728,1,0,1482,0,0
121732,Owl Wing Thicket,121728,1,0,1481,0,0
121733,Darkwhisper Gorge,121728,1,0,1480,0,0
121734,Frostfire Hot Springs,121728,1,0,1473,0,0
121735,Timbermaw Post,121728,1,0,1474,0,0
121736,Frostwhisper Gorge,121728,1,0,1479,0,0
121737,Winterfall Village,121728,1,0,1483,0,0
121738,Frostsaber Rock,121728,1,0,1485,0,0
121739,The Hidden Grove,121728,1,0,1484,0,0
121740,Mazthoril,121728,1,0,1477,0,0
121741,Everlook,121728,1,0,1478,0,0
121742,,0,0,4,0,0,0
121743,Arathi Basin Honorable Kills,121742,0,0,5508,0,0
121744,,0,1,6,0,0,0
121745,Alterac Valley Runecloth Bandage,121744,1,0,3301,0,0
121746,Heavy Silk Bandage,121744,1,0,3315,0,0
121747,Mageweave Bandage,121744,1,0,3317,0,0
121748,Netherweave Bandage,121744,1,0,3318,0,0
121749,Silk Bandage,121744,1,0,3320,0,0
121750,Warsong Gulch Runecloth Bandage,121744,1,0,3323,0,0
121751,Wool Bandage,121744,1,0,3325,0,0
121752,Heavy Runecloth Bandage,121744,1,0,3314,0,0
121753,Highlander's Silk Bandage,121744,1,0,7901,0,0
121754,Defiler's Runecloth Bandage,121744,1,0,3306,0,0
121755,Defiler's Silk Bandage,121744,1,0,3307,0,0
121756,Dense Frostweave Bandage,121744,1,0,3308,0,0
121757,Frostweave Bandage,121744,1,0,3309,0,0
121758,Heavy Linen Bandage,121744,1,0,3311,0,0
121759,Heavy Mageweave Bandage,121744,1,0,3312,0,0
121760,Highlander's Runecloth Bandage,121744,1,0,7903,0,0
121761,Heavy Frostweave Bandage,121744,1,0,3310,0,0
121762,Heavy Netherweave Bandage,121744,1,0,3313,0,0
121763,Arathi Basin Runecloth Bandage,121744,1,0,3303,0,0
121764,Thick Frostweave Bandage,121744,1,0,3321,0,0
121765,Defiler's Mageweave Bandage,121744,1,0,3305,0,0
121766,Arathi Basin Mageweave Bandage,121744,1,0,3302,0,0
121767,Heavy Wool Bandage,121744,1,0,7900,0,0
121768,Highlander's Mageweave Bandage,121744,1,0,7902,0,0
121769,Triage Bandage,121744,1,0,7904,0,0
121770,Linen Bandage,121744,1,0,3316,0,0
121771,Warsong Gulch Silk Bandage,121744,1,0,3324,0,0
121772,Arathi Basin Silk Bandage,121744,1,0,3304,0,0
121773,Warsong Gulch Mageweave Bandage,121744,1,0,3322,0,0
121774,Runecloth Bandage,121744,1,0,3319,0,0
121775,,0,0,4,0,0,0
121776,2200 rating,121775,2200,0,331,0,2
121777,,0,0,4,0,0,0
121778,Kobold Cave Owned,121777,1,0,3388,0,2
121779,Trogg Cave Owned,121777,1,0,3389,0,2
121780,,0,0,4,0,0,0
121781,Total Killing Blows,121780,0,0,5529,0,0
121782,,0,0,4,0,0,0
121783,Dreadsteed of Xoroth,121782,1,0,8905,0,2
121784,,0,400,7,0,0,0
121785,Guns,121784,400,0,5583,0,0
121786,Axes,121784,400,0,5578,0,0
121787,Two-Handed Axes,121784,400,0,5579,0,0
121788,Maces,121784,400,0,5580,0,0
121789,Two-Handed Maces,121784,400,0,5581,0,0
121790,Fist Weapons,121784,400,0,5582,0,0
121791,Blows,121784,400,0,5584,0,0
121792,Daggers,121784,400,0,5585,0,0
121793,Wands,121784,400,0,5586,0,0
121794,Thrown,121784,400,0,5587,0,0
121795,Crossbows,121784,400,0,5588,0,0
121796,Unarmed,121784,400,0,5589,0,0
121797,Polearms,121784,400,0,5590,0,0
121798,Swords,121784,400,0,5576,0,0
121799,Two-Handed Swords,121784,400,0,5577,0,0
121800,Staves,121784,400,0,5591,0,0
121801,,0,0,5,0,0,0
121802,Kill an NPC that yields XP,121801,0,0,4946,0,0
121803,Honroable Kills,121801,0,0,9160,0,0
121804,,0,0,4,0,0,0
121805,90 Shadowmoon Valley quests,121804,90,0,3589,0,1
121806,,0,1,8,0,0,0
121807,Brutal Nether Drake,121806,0,0,8779,0,2
121808,Brutal Nether Drake,121806,1,0,8778,0,2
121809,,0,0,5,0,0,0
121810,Nagrand 5v5 Matches,121809,0,0,8596,0,0
121811,Blade's Edge 5v5 Matches,121809,0,0,5723,0,0
121812,Dalara 5v5 Matches,121809,0,0,8595,0,0
121813,Ruins of Lordaeron 5v5 Matches,121809,0,0,8597,0,0
121814,Ring of Valor 5v5 Matches,121809,0,0,8598,0,0
121815,,0,0,5,0,0,0
121816,Dalaran 3v3 Matches,121815,0,0,8603,0,0
121817,Nagrand 3v3 Matches,121815,0,0,8604,0,0
121818,Ring of Valor 3v3 Matches,121815,0,0,8606,0,0
121819,Blade's Edge 3v3 Matches,121815,0,0,5724,0,0
121820,Ruind of Lordaeron 3v3 Matches,121815,0,0,8605,0,0
121821,,0,0,5,0,0,0
121822,Ruins of Lordaeron 2v2 Wins,121821,0,0,8617,0,0
121823,Dalran 2v2 Wins,121821,0,0,8615,0,0
121824,Blade's Edge 2v2 Wins,121821,0,0,5728,0,0
121825,Nagrand 2v2 Wins,121821,0,0,8616,0,0
121826,Ring of Valor 2v2 Wins,121821,0,0,8618,0,0
121827,,0,0,4,0,0,0
121828,Highest 2 man personal rating,121827,0,0,451,0,0
121829,,0,0,5,0,0,0
121830,Outland,121829,0,0,5494,0,0
