CommittedName,ID,UiTextureAtlasID,Width,Height,CommittedLeft,CommittedRight,CommittedTop,CommittedBottom,UiTextureAtlasElementID,OverrideWidth,OverrideHeight,CommittedFlags,UiCanvasID
CacheToast-Glow,4315,573,286,109,1,287,1,110,9111,0,0,0,0
CacheToast,4316,573,276,96,1,277,112,208,9112,0,0,0,0
NPE_ExclamationPoint,4321,575,32,32,981,1013,1,33,9113,0,0,0,0
NPE_Icon,4322,575,64,64,67,131,423,487,9114,0,0,0,0
NPE_LeftClick,4323,575,32,32,981,1013,67,99,9115,0,0,0,0
NPE_RightClick,4324,575,32,32,981,1013,133,165,9116,0,0,0,0
NPE_TurnIn,4325,575,20,20,981,1001,35,55,9117,0,0,0,0
NPE_ArrowDownGlow,4326,575,64,64,915,979,67,131,9118,0,0,0,0
NPE_ArrowUpGlow,4327,575,64,64,67,131,357,421,9119,0,0,0,0
NPE_ArrowUp,4328,575,64,64,1,65,423,487,9120,0,0,0,0
NPE_ArrowDown,4329,575,64,64,915,979,1,65,9121,0,0,0,0
NPE_ArrowRightGlow,4330,575,64,64,1,65,357,421,9122,0,0,0,0
NPE_keyboard,4331,575,912,354,1,913,1,355,9123,0,0,0,0
NPE_ArrowRight,4332,575,64,64,915,979,265,329,9124,0,0,0,0
NPE_ArrowLeftGlow,4333,575,64,64,915,979,199,263,9125,0,0,0,0
NPE_ArrowLeft,4334,575,64,64,915,979,133,197,9126,0,0,0,0
UI-Minimap-Clock,4340,579,55,28,1,56,1,29,9036,0,0,0,0
GarrLanding-TradeskillTimer-Border,4343,268,64,64,27,91,529,593,9033,0,0,0,0
barbershop-background,4344,580,266,348,274,540,1,349,9158,0,0,0,0
groupfinder-waitdot,4349,236,19,18,385,404,115,133,9127,0,0,0,0
OBJFX-BarGlow,4353,197,339,37,1,340,89,126,9034,0,0,0,0
deathrecap-icon-tombstone,4366,586,15,20,337,352,1,21,8995,0,0,0,0
collections-watermark-heirloom,4367,203,90,92,1,91,213,305,9184,0,0,0,0
Crop-Corner,4368,587,10,10,123,133,181,191,9128,0,0,0,0
Crop-Side,4369,587,10,10,123,133,202,212,9129,0,0,0,0
Crop-Top,4370,587,10,10,123,133,214,224,9130,0,0,0,0
WoWShare-AchievementIcon,4371,587,32,32,89,121,168,200,9131,0,0,0,0
WoWShare-AddButton-Down,4372,587,42,43,1,43,168,211,9132,0,0,0,0
WoWShare-AddButton-Up,4373,587,42,43,45,87,168,211,9133,0,0,0,0
WoWShare-ChatIcon,4374,587,23,18,89,112,236,254,9134,0,0,0,0
WoWShare-Highlight,4375,587,38,39,1,39,213,252,9135,0,0,0,0
WoWShare-ItemQualityBorder,4376,587,32,32,144,176,1,33,9136,0,0,0,0
WoWShare-Plus,4377,587,32,32,178,210,1,33,9137,0,0,0,0
WoWShare-Selection,4378,587,38,39,45,83,213,252,9138,0,0,0,0
WoWShare-ItemIcon,4381,587,32,32,89,121,202,234,9139,0,0,0,0
WoWShare-ScreenshotIcon,4382,587,32,32,212,244,1,33,9140,0,0,0,0
token-button-category,4383,590,156,20,631,787,235,255,9035,0,0,0,0
token-itemslot,4385,590,251,56,631,882,177,233,9037,0,0,0,0
token-choice-bnet,4390,590,174,174,631,805,1,175,9159,0,0,0,0
token-choice-wow,4391,590,108,108,807,915,1,109,9160,0,0,0,0
WoWShare-EdgeArt,4392,587,141,165,1,142,1,166,9230,0,0,0,0
UI-DialogBox-goldbutton-down-right-blue,4399,593,32,32,133,165,1,33,9231,0,0,0,0
UI-DialogBox-goldbutton-down-left-blue,4400,593,64,32,1,65,1,33,9232,0,0,0,0
UI-DialogBox-goldbutton-up-middle-blue,4401,593,64,32,1,65,35,67,9233,0,0,0,0
UI-DialogBox-goldbutton-up-right-blue,4402,593,32,32,167,199,1,33,9234,0,0,0,0
UI-DialogBox-goldbutton-up-left-blue,4403,593,64,32,1,65,69,101,9235,0,0,0,0
UI-DialogBox-goldbutton-down-middle-blue,4404,593,64,32,67,131,1,33,9236,0,0,0,0
BossBanner-BottomFillagree,4406,594,66,28,443,509,161,189,9161,0,0,0,0
BossBanner-SkullCircle,4407,594,44,44,443,487,69,113,9162,0,0,0,0
BossBanner-TopFillagree,4408,594,176,74,125,301,295,369,9163,0,0,0,0
BossBanner-RedFlash,4409,594,92,92,1,93,415,507,9147,0,0,0,0
BossBanner-LeftFillagree,4410,594,72,40,303,375,295,335,9141,0,0,0,0
BossBanner-RightFillagree,4411,594,72,40,377,449,295,335,9142,0,0,0,0
BossBanner-SkullSpikes,4412,594,50,66,443,493,1,67,9143,0,0,0,0
deathrecap-iconborder,4413,586,36,36,299,335,1,37,9103,0,0,0,0
deathrecap-background-innerglow,4414,586,296,254,1,297,1,255,8994,0,0,0,0
!GeneralFrame-InsetFrame-Left,4415,595,8,32,1,9,0,32,9038,0,0,2,0
!GeneralFrame-InsetFrame-Right,4416,595,8,32,11,19,0,32,9039,0,0,2,0
GeneralFrame-HorizontalBar-Left,4417,595,10,19,21,31,1,20,9040,0,0,0,0
GeneralFrame-HorizontalBar-Right,4418,595,10,19,33,43,1,20,9041,0,0,0,0
GeneralFrame-InsetFrame-BottomLeft,4419,595,8,8,21,29,22,30,9042,0,0,0,0
GeneralFrame-InsetFrame-BottomRight,4420,595,8,8,33,41,22,30,9043,0,0,0,0
GeneralFrame-InsetFrame-TopLeft,4421,595,8,8,45,53,1,9,9044,0,0,0,0
GeneralFrame-InsetFrame-TopRight,4422,595,8,8,55,63,1,9,9045,0,0,0,0
_GeneralFrame-HorizontalBar,4423,596,64,8,0,64,1,9,9046,0,0,4,0
_GeneralFrame-InsetFrame-Bottom,4424,596,32,8,0,32,11,19,9047,0,0,4,0
_GeneralFrame-InsetFrame-Top,4425,596,32,8,0,32,21,29,9048,0,0,4,0
collections-upgradeglow,4427,203,100,100,256,356,102,202,9104,0,0,0,0
XPBarAnim-OrangeGain,4429,599,64,8,40,104,21,29,9237,0,0,0,0
XPBarAnim-OrangeSpark,4430,599,32,32,1,33,29,61,9238,0,0,0,0
XPBarAnim-OrangeTrail,4431,599,64,8,40,104,1,9,9239,0,0,0,0
XPBarAnim-OrangeGlow,4432,599,64,8,40,104,11,19,9240,0,0,0,0
XPBarAnim-GlowLines,4433,599,37,26,1,38,1,27,9241,0,0,0,0
collections-upgradeglow-blue,4434,203,100,100,358,458,102,202,9049,0,0,0,0
splash-610-botleft,4435,600,137,371,374,511,587,958,9050,0,0,0,0
splash-610-right,4436,600,510,584,1,511,1,585,9051,0,0,0,0
splash-610-topleft,4437,600,371,434,1,372,587,1021,9052,0,0,0,0
Garr_MissionToast-Blank,4438,150,272,59,1,273,253,312,9053,0,0,0,0
colorblind-bar-green,4439,601,108,17,1,109,151,168,9164,0,0,0,0
colorblind-bar-red,4440,601,108,17,111,219,151,168,9165,0,0,0,0
colorblind-bar-yellow,4441,601,108,17,1,109,170,187,9166,0,0,0,0
colorblind-colorwheel,4442,601,148,148,1,149,1,149,9167,0,0,0,0
GarrMission_MissionTooltipAway,4443,156,15,15,243,258,200,215,9144,0,0,0,0
GarrMission_MissionTooltipWorking,4444,156,15,15,164,179,200,215,9145,0,0,0,0
GarrMission_CounterHalfCheck,4446,152,25,22,532,557,289,311,9054,0,0,0,0
TalkingHeads-Glow-TopSpike,4448,604,46,30,518,564,158,188,9105,0,0,0,0
TalkingHeads-PortraitBg,4449,604,115,115,718,833,1,116,9106,0,0,0,0
TalkingHeads-TextBackground,4450,604,570,155,1,571,1,156,9107,0,0,0,0
TalkingHeads-PortraitFrame,4451,604,143,143,573,716,1,144,9108,0,0,0,0
TalkingHeads-Glow-TopBarGlow,4452,604,81,23,1,82,231,254,9109,0,0,0,0
TalkingHeads-Glow-SideBarGlow,4453,604,23,86,573,596,146,232,9110,0,0,0,0
TalkingHeads-Glow-Sheen,4454,604,262,34,254,516,158,192,9185,0,0,0,0
TalkingHeads-Glow-TextSheen,4455,604,251,71,1,252,158,229,9186,0,0,0,0
GarrMission-AbilityHighlight,4456,156,58,58,292,350,504,562,9146,0,0,0,0
token-info-background,4458,590,628,510,1,629,1,511,9148,0,0,0,0
WoWShare-TwitterLogo,4459,587,14,11,123,137,168,179,8996,0,0,0,0
token-info-arrow,4477,590,32,21,807,839,111,132,9055,0,0,0,0
adventureguide-pane-large,4481,609,335,337,1,336,164,501,9149,0,0,0,0
adventureguide-ring,4482,609,94,95,397,491,1,96,9150,0,0,0,0
BossBanner-BgBanner-Bottom,4483,594,440,112,1,441,1,113,9249,0,0,0,0
BossBanner-BgBanner-Top,4484,594,440,112,1,441,115,227,9252,0,0,0,0
LootBanner-IconGlow,4485,594,40,40,443,483,229,269,9253,0,0,0,0
LootBanner-ItemBg,4486,594,269,41,125,394,371,412,9254,0,0,0,0
LootBanner-LootBagCircle,4487,594,44,44,443,487,115,159,9255,0,0,0,0
BossBanner-BgBanner-Mid,4488,594,440,64,1,441,229,293,9256,0,0,0,0
LootToast-LessAwesome,4489,332,276,80,569,845,99,179,9056,0,0,0,0
transmog-frame-pink,4494,610,44,43,239,283,1,44,9257,0,0,0,0
transmog-frame-red,4495,610,44,43,285,329,1,44,9258,0,0,0,0
transmog-frame-selected,4496,610,62,62,105,167,337,399,9259,0,0,0,0
transmog-frame,4497,610,58,57,105,163,401,458,9260,0,0,0,0
transmog-icon-chat,4498,610,13,13,169,182,337,350,9261,0,0,0,0
transmog-icon-checkmark,4499,610,28,26,243,271,127,153,9262,0,0,0,0
transmog-icon-remove,4500,610,26,26,484,510,88,114,9263,0,0,0,0
transmog-icon-revert-small-disabled,4501,610,25,24,300,325,127,151,9264,0,0,0,0
transmog-icon-revert-small,4502,610,25,24,273,298,127,151,9265,0,0,0,0
transmog-icon-revert,4503,610,32,32,450,482,88,120,8997,0,0,0,0
transmog-wardrobe-border-collected,4504,610,96,122,1,97,131,253,8998,0,0,0,0
transmog-wardrobe-border-highlighted,4505,610,84,110,105,189,225,335,8999,0,0,0,0
transmog-wardrobe-border-selected,4506,610,102,128,1,103,1,129,9000,0,0,0,0
transmog-wardrobe-border-uncollected,4507,610,96,122,1,97,255,377,9001,0,0,0,0
adventureguide-pane-small,4509,609,344,161,1,345,1,162,9168,0,0,0,0
NavalMap01,4522,612,934,630,1,935,1,631,9014,0,0,0,0
!ShipMission_Bg-Edge,4524,154,46,256,186,232,0,256,9169,0,0,2,0
!ShipMission_RewardsBorder-Left-Desaturate,4525,154,30,64,298,328,0,64,9170,0,0,2,0
!GarrMission_Bg-DarkEdge,4526,614,334,256,1,335,0,256,9171,0,0,2,0
!ShipMission_Bg-DarkEdge,4527,614,334,256,337,671,0,256,9172,0,0,2,0
_ShipMission_Bg-BottomEdge,4528,153,256,251,0,256,254,505,9173,0,0,4,0
_ShipMission_Bg-BottomEdgeSmall,4529,153,256,42,0,256,551,593,9174,0,0,4,0
_ShipMission_LocationCover-Bottom,4530,153,256,38,0,256,678,716,9175,0,0,4,0
_ShipMission_RewardsBorder-Top-Desaturate,4531,153,64,25,0,64,807,832,9176,0,0,4,0
_ShipMission_TopBorder,4532,153,32,10,0,32,890,900,9177,0,0,4,0
ShipMission_FollowerListButton-Highlight,4533,156,255,80,35,290,941,1021,9178,0,0,0,0
ShipMission_FollowerListButton-Select,4534,156,255,80,35,290,859,939,9179,0,0,0,0
ShipMission_FollowerListButton,4535,156,255,80,1,256,719,799,9180,0,0,0,0
ShipMission_IconLevelBG,4536,156,91,65,372,463,941,1006,9181,0,0,0,0
ShipMission_TopBorderCorner,4537,156,26,33,345,371,271,304,9182,0,0,0,0
ShipMission_Bg-DarkEdgeCorner,4538,152,46,256,317,363,642,898,8260,0,0,0,0
ShipMission_BoatRarity-Epic,4539,152,27,20,559,586,289,309,8261,0,0,0,0
ShipMission_BoatRarity-Rare,4540,152,27,20,588,615,289,309,8262,0,0,0,0
ShipMission_BoatRarity-Uncommon,4541,152,27,20,617,644,289,309,8264,0,0,0,0
ShipMission_DangerousSkull,4542,152,17,18,763,780,254,272,8268,0,0,0,0
ShipMission_EncounterAbilityBorder-Lg,4543,152,46,46,974,1020,628,674,8271,0,0,0,0
ShipMission_EncounterAbilityBorder,4544,152,32,32,759,791,435,467,9183,0,0,0,0
ShipMission_LocationCover-Side,4545,152,49,230,604,653,774,1004,9187,0,0,0,0
ShipMission_MissionCostStartButtonBg,4546,152,376,51,433,809,523,574,9188,0,0,0,0
ShipMission_RewardsBG-Desaturate,4547,152,502,154,1,503,157,311,9189,0,0,0,0
ShipMission_RewardsBorder-Corner-Desaturate,4548,152,64,64,826,890,811,875,9190,0,0,0,0
ShipMission_StartMissionFrame,4549,152,215,39,780,995,576,615,9191,0,0,0,0
ShipMissionParchment-Tile,4550,615,256,256,0,256,0,256,8272,0,0,6,0
_GarrMissionLocation-TannanSea-Back,4551,616,1024,285,0,1024,1,286,9192,0,0,4,0
_GarrMissionLocation-TannanSea-Fore,4552,616,1024,285,0,1024,288,573,9193,0,0,4,0
_GarrMissionLocation-TannanSea-Mid,4553,616,1024,285,0,1024,575,860,9194,0,0,4,0
ShipMission_CurrencyIcon-Oil,4554,157,57,57,60,117,60,117,9195,0,0,0,0
NavalMap-Horde-Fog,4557,612,496,361,1,497,633,994,9016,0,0,0,0
NavalMap-Horde-Highlight,4558,612,496,361,499,995,633,994,9017,0,0,0,0
NavalMap-Alliance-Fog,4559,618,449,351,1,450,1,352,9018,0,0,0,0
NavalMap-IronHorde-Fog,4560,618,454,353,1,455,354,707,9019,0,0,0,0
NavalMap-OpenWaters-Fog,4561,618,452,306,457,909,709,1015,9020,0,0,0,0
NavalMap-Alliance-Highlight,4562,618,449,351,452,901,1,352,9021,0,0,0,0
NavalMap-IronHorde-Highlight,4563,618,454,353,457,911,354,707,9022,0,0,0,0
NavalMap-OpenWaters-Highlight,4564,618,452,306,1,453,709,1015,9023,0,0,0,0
ShipMission_FollowerBG,4566,152,152,128,789,941,157,285,9196,0,0,0,0
ShipMission_FollowerBG-Glow,4567,156,152,128,138,290,427,555,9197,0,0,0,0
Ships_GalleonH-List,4568,620,154,80,1,155,131,211,9198,0,0,0,0
Ships_GalleonH-Portrait,4569,620,152,128,1,153,1,129,9199,0,0,0,0
Ships_GalleonH-Map,4582,621,83,72,1,84,1,73,9212,0,0,0,0
ShipMissionIcon-Combat-Map,4585,622,64,64,135,199,324,388,9213,0,0,0,0
ShipMissionIcon-Combat-MapBadge,4586,622,34,34,91,125,428,462,9200,0,0,0,0
ShipMissionIcon-Oil-Map,4587,622,64,64,201,265,258,322,9201,0,0,0,0
ShipMissionIcon-Oil-MapBadge,4588,622,34,34,135,169,456,490,9203,0,0,0,0
ShipMissionIcon-SiegeA-Map,4589,622,64,64,201,265,324,388,9204,0,0,0,0
ShipMissionIcon-SiegeA-MapBadge,4590,622,34,34,201,235,456,490,9206,0,0,0,0
ShipMissionIcon-SiegeH-Map,4591,622,64,64,201,265,390,454,9207,0,0,0,0
ShipMissionIcon-SiegeH-MapBadge,4592,622,34,34,465,499,258,292,9209,0,0,0,0
ShipMissionIcon-Training-Map,4593,622,64,64,399,463,258,322,9210,0,0,0,0
ShipMissionIcon-Training-MapBadge,4594,622,34,34,267,301,462,496,9214,0,0,0,0
ShipMissionIcon-Treasure-Map,4595,622,64,64,267,331,324,388,9215,0,0,0,0
ShipMissionIcon-Treasure-MapBadge,4596,622,34,34,333,367,324,358,9216,0,0,0,0
Ships_TroopTransport-List,4597,623,154,80,1,155,131,211,9217,0,0,0,0
Ships_TroopTransport-Portrait,4598,623,152,128,1,153,1,129,9218,0,0,0,0
Ships_TroopTransport-Map,4599,624,83,72,1,84,1,73,9219,0,0,0,0
Ships_EnemyTroopTransport-Portrait,4600,625,152,128,1,153,1,129,9220,0,0,0,0
Ships_Dreadnaught-List,4601,626,154,80,1,155,131,211,9221,0,0,0,0
Ships_Dreadnaught-Portrait,4602,626,152,128,1,153,1,129,9222,0,0,0,0
Ships_Dreadnaught-Map,4603,627,94,94,1,95,1,95,9024,0,0,0,0
Ships_EnemyDreadnaught-Portrait,4604,628,152,128,1,153,1,129,9002,0,0,0,0
Ships_SubmarineH-List,4605,629,154,80,1,155,131,211,9003,0,0,0,0
Ships_SubmarineH-Portrait,4606,629,152,128,1,153,1,129,9004,0,0,0,0
Ships_SubmarineH-Map,4607,630,83,72,1,84,1,73,9005,0,0,0,0
Ships_EnemySubmarineH-Portrait,4608,631,152,128,1,153,1,129,9006,0,0,0,0
Ships_SubmarineA-List,4609,632,154,80,1,155,131,211,9007,0,0,0,0
Ships_SubmarineA-Portrait,4610,632,152,128,1,153,1,129,9008,0,0,0,0
Ships_SubmarineA-Map,4611,633,83,72,1,84,1,73,9009,0,0,0,0
Ships_EnemySubmarineA-Portrait,4612,634,152,128,1,153,1,129,9010,0,0,0,0
ShipMissionIcon-Combat-Mission,4613,323,64,64,67,131,397,461,9223,0,0,0,0
ShipMissionIcon-Oil-Mission,4614,323,64,64,199,263,133,197,9202,0,0,0,0
ShipMissionIcon-SiegeA-Mission,4615,323,64,64,265,329,133,197,9205,0,0,0,0
ShipMissionIcon-SiegeH-Mission,4616,323,64,64,331,395,133,197,9208,0,0,0,0
ShipMissionIcon-Training-Mission,4617,323,64,64,133,197,265,329,9211,0,0,0,0
ShipMissionIcon-Treasure-Mission,4618,323,64,64,133,197,331,395,9011,0,0,0,0
Ships_EnemyGalleonH-Portrait,4619,635,152,128,1,153,1,129,9012,0,0,0,0
Ships_GalleonA-List,4620,636,154,80,1,155,131,211,9013,0,0,0,0
Ships_GalleonA-Portrait,4621,636,152,128,1,153,1,129,9015,0,0,0,0
Ships_GalleonA-Map,4622,637,83,72,1,84,1,73,9025,0,0,0,0
Ships_EnemyGalleonA-Portrait,4623,638,152,128,1,153,1,129,9026,0,0,0,0
Ships_CargoShip-List,4624,639,154,80,1,155,131,211,9027,0,0,0,0
Ships_CargoShip-Portrait,4625,639,152,128,1,153,1,129,9028,0,0,0,0
Ships_CargoShip-Map,4626,640,94,94,1,95,1,95,9029,0,0,0,0
Ships_EnemyCargoShip-Portrait,4627,641,152,128,1,153,1,129,9057,0,0,0,0
Ships_Carrier-List,4628,642,154,80,1,155,131,211,9058,0,0,0,0
Ships_Carrier-Portrait,4629,642,152,128,1,153,1,129,9059,0,0,0,0
Ships_Carrier-Map,4630,643,94,94,1,95,1,95,9060,0,0,0,0
Ships_EnemyCarrier-Portrait,4631,644,152,128,1,153,1,129,9061,0,0,0,0
ShipMission_ShipFollower-EquipmentBG,4632,156,78,78,292,370,941,1019,9062,0,0,0,0
ShipMission_ShipFollower-EquipmentFrame,4633,156,78,78,258,336,719,797,9063,0,0,0,0
ShipMission_ShipFollower-Lock-Epic,4634,156,48,61,460,508,719,780,9064,0,0,0,0
ShipMission_ShipFollower-Lock-Rare,4635,156,48,61,461,509,232,293,9065,0,0,0,0
ShipMission_ShipFollower-TypeFrame,4636,156,78,78,381,459,232,310,9066,0,0,0,0
transmog-frame-small-pink,4637,610,38,38,461,499,1,39,9067,0,0,0,0
transmog-frame-small,4638,610,40,40,377,417,1,41,9068,0,0,0,0
transmog-frame-small-selected,4639,610,40,40,419,459,1,41,9069,0,0,0,0
transmog-frame-small-red,4640,610,38,38,191,229,48,86,9070,0,0,0,0
ShipMission-RedGlowRing,4642,622,88,88,1,89,392,480,9456,0,0,0,0
adventureguide-rewardring,4670,609,48,48,347,395,1,49,9457,0,0,0,0
WildBattlePet,4672,647,32,32,440,472,236,268,9494,0,0,8,0
StableMaster,4673,647,32,32,406,438,168,200,9495,0,0,8,0
ArchBlob,4674,647,32,32,32,64,168,200,9496,0,0,8,0
Banker,4675,647,32,32,32,64,372,404,9497,0,0,8,0
Focus,4676,647,32,32,66,98,440,472,9498,0,0,8,0
BattleMaster,4677,647,32,32,32,64,406,438,9499,0,0,8,0
Ammunition,4678,647,32,32,32,64,100,132,9500,0,0,8,0
Class,4679,647,32,32,32,64,474,506,9501,0,0,8,0
Profession,4681,647,32,32,406,438,134,166,9503,0,0,8,0
Target,4682,647,32,32,440,472,168,200,9504,0,0,8,0
Food,4683,647,32,32,100,132,100,132,9505,0,0,8,0
Reagents,4684,647,32,32,202,234,168,200,9506,0,0,8,0
Innkeeper,4685,647,32,32,202,234,100,132,9507,0,0,8,0
Auctioneer,4686,647,32,32,32,64,270,302,9508,0,0,8,0
Repair,4687,647,32,32,236,268,168,200,9509,0,0,8,0
Mailbox,4688,647,32,32,304,336,100,132,9510,0,0,8,0
FlightMaster,4689,647,32,32,66,98,372,404,9511,0,0,8,0
None,4690,647,32,32,100,132,304,336,9512,0,0,8,0
QuestBlob,4691,647,32,32,134,166,168,200,9513,0,0,8,0
TrivialQuests,4692,647,32,32,168,200,202,234,9514,0,0,8,0
Poisons,4693,647,32,32,270,302,134,166,9515,0,0,8,0
PlayerFriend,4694,647,32,32,134,166,134,166,9516,0,0,8,0
QuestRepeatableTurnin,4695,647,32,32,134,166,406,438,9517,0,0,8,0
MantidTowerDestroyed,4697,647,32,32,372,404,100,132,9519,0,0,8,0
PortalRed,4698,647,32,32,372,404,134,166,9520,0,0,8,0
QuestTurnin,4699,647,32,32,134,166,474,506,9521,0,0,8,0
Object,4701,647,32,32,100,132,338,370,9523,0,0,8,0
Gear,4702,647,32,32,134,166,100,132,9524,0,0,8,0
MonsterFriend,4703,647,32,32,100,132,202,234,9525,0,0,8,0
MonsterEnemy,4704,647,32,32,100,132,168,200,9526,0,0,8,0
PortalPurple,4705,647,32,32,338,370,134,166,9527,0,0,8,0
DungeonSkull,4707,647,32,32,66,98,338,370,9529,0,0,8,0
PlayerNeutral,4708,647,32,32,168,200,134,166,9530,0,0,8,0
MonsterNeutral,4710,647,32,32,100,132,236,268,9531,0,0,8,0
PortalBlue,4711,647,32,32,304,336,134,166,9532,0,0,8,0
QuestLegendaryTurnin,4712,647,32,32,134,166,304,336,9533,0,0,8,0
QuestDaily,4713,647,32,32,134,166,236,268,9534,0,0,8,0
PlayerControlled,4714,647,32,32,100,132,406,438,9535,0,0,8,0
VignetteLoot,4715,647,32,32,304,336,236,268,9536,0,0,8,0
VignetteEvent,4716,647,32,32,202,234,440,472,9537,0,0,8,0
PlayerEnemy,4717,647,32,32,100,132,474,506,9538,0,0,8,0
PartyMember,4719,647,32,32,100,132,372,404,9539,0,0,8,0
XMarksTheSpot,4720,647,32,32,236,268,304,336,9540,0,0,8,0
QuestObjective,4721,647,32,32,134,166,372,404,9541,0,0,8,0
QuestLegendary,4723,647,32,32,134,166,270,302,9542,0,0,8,0
ArtifactQuest,4725,647,32,32,32,64,202,234,9543,0,0,8,0
QuestNormal,4726,647,32,32,134,166,338,370,9544,0,0,8,0
VignetteLootElite,4727,647,32,32,338,370,236,268,9545,0,0,8,0
FlightPath,4728,647,32,32,66,98,406,438,9546,0,0,8,0
VignetteEventElite,4729,647,32,32,202,234,474,506,9267,0,0,8,0
ChatBallon,4730,647,32,32,32,64,440,472,9359,0,0,8,0
MantidTower,4731,647,32,32,338,370,100,132,9360,0,0,8,0
RaidMember,4732,647,32,32,168,200,168,200,9361,0,0,8,0
VignetteKill,4733,647,32,32,236,268,236,268,9362,0,0,8,0
QuestBonusObjective,4734,647,32,32,134,166,202,234,9363,0,0,8,0
ArtifactQuestTurnin,4735,647,32,32,32,64,236,268,9364,0,0,8,0
SmallQuestBang,4736,647,32,32,372,404,168,200,9365,0,0,8,0
VignetteKillElite,4737,647,32,32,270,302,236,268,9366,0,0,8,0
GreenCross,4738,647,32,32,168,200,100,132,9367,0,0,8,0
PlayerDeadBlip,4740,647,32,32,100,132,440,472,9368,0,0,8,0
PlayerPartyBlip,4741,647,32,32,202,234,134,166,9369,0,0,8,0
PlayerRaidBlip,4742,647,32,32,236,268,134,166,9370,0,0,8,0
Vehicle-Air-Alliance,4743,647,64,64,67,131,1,65,9400,0,0,8,0
Vehicle-Air-Horde,4745,647,64,64,133,197,1,65,9402,0,0,8,0
Vehicle-Air-Occupied,4746,647,32,32,168,200,236,268,9403,0,0,8,0
Vehicle-Air-Unoccupied,4747,647,32,32,168,200,270,302,9404,0,0,8,0
Vehicle-AllianceCart,4748,647,32,32,168,200,304,336,9405,0,0,8,0
Vehicle-Carriage,4749,647,64,64,199,263,1,65,9406,0,0,8,0
Vehicle-Ground-Occupied,4750,647,32,32,168,200,338,370,9407,0,0,8,0
Vehicle-Ground-Unoccupied,4751,647,32,32,168,200,372,404,9408,0,0,8,0
Vehicle-GrummleConvoy,4752,647,32,32,168,200,406,438,9409,0,0,8,0
Vehicle-HammerGold-1,4753,647,32,32,168,200,474,506,9410,0,0,8,0
Vehicle-HammerGold-2,4754,647,32,32,202,234,202,234,9411,0,0,8,0
Vehicle-HammerGold-3,4755,647,32,32,236,268,202,234,9412,0,0,8,0
Vehicle-HammerGold,4756,647,32,32,168,200,440,472,9413,0,0,8,0
Vehicle-HordeCart,4757,647,32,32,270,302,202,234,9414,0,0,8,0
Vehicle-Mogu,4758,647,32,32,304,336,202,234,9415,0,0,8,0
Vehicle-SilvershardMines-Arrow,4759,647,32,32,338,370,202,234,9416,0,0,8,0
Vehicle-SilvershardMines-MineCart,4760,647,32,32,372,404,202,234,9417,0,0,8,0
Vehicle-SilvershardMines-MineCartBlue,4761,647,32,32,406,438,202,234,9418,0,0,8,0
Vehicle-SilvershardMines-MineCartRed,4762,647,32,32,440,472,202,234,9419,0,0,8,0
Vehicle-TempleofKotmogu-CyanBall,4763,647,32,32,474,506,202,234,9420,0,0,8,0
Vehicle-TempleofKotmogu-GreenBall,4764,647,32,32,202,234,236,268,9421,0,0,8,0
Vehicle-TempleofKotmogu-OrangeBall,4765,647,32,32,202,234,270,302,9422,0,0,8,0
Vehicle-TempleofKotmogu-PurpleBall,4766,647,32,32,202,234,304,336,9423,0,0,8,0
Vehicle-Trap-Gold,4767,647,32,32,202,234,338,370,9424,0,0,8,0
Vehicle-Trap-Grey,4768,647,32,32,202,234,372,404,9425,0,0,8,0
Vehicle-Trap-Red,4769,647,32,32,202,234,406,438,9426,0,0,8,0
QuestSkull,4770,647,32,32,134,166,440,472,9427,0,0,8,0
Focus-Tracker,4771,647,32,32,66,98,474,506,9458,0,0,8,0
MagePortalAlliance,4772,647,32,32,236,268,100,132,9459,0,0,8,0
MagePortalHorde,4773,647,32,32,270,302,100,132,9460,0,0,8,0
QuestArtifact,4774,647,32,32,440,472,134,166,9461,0,0,8,0
QuestArtifactTurnin,4775,647,32,32,474,506,134,166,9462,0,0,8,0
Target-Tracker,4776,647,32,32,474,506,168,200,9463,0,0,8,0
WarlockPortalAlliance,4777,647,32,32,372,404,236,268,9464,0,0,8,0
WarlockPortalHorde,4778,647,32,32,406,438,236,268,9465,0,0,8,0
WildBattlePet-Tracker,4779,647,32,32,474,506,236,268,9466,0,0,8,0
WildBattlePetCapturable,4780,647,32,32,236,268,270,302,9467,0,0,8,0
CrossedFlags,4781,647,32,32,66,98,100,132,9468,0,0,8,0
CrossedFlagsWithTimer,4782,647,32,32,66,98,134,166,9469,0,0,8,0
MiniMap-DeadArrow,4785,647,32,32,406,438,100,132,9437,0,0,8,0
MiniMap-PositionArrows,4786,647,16,32,1,17,138,170,9438,0,0,8,0
MiniMap-QuestArrow,4787,647,32,32,440,472,100,132,9439,0,0,8,0
MiniMap-VignetteArrow,4788,647,32,32,474,506,100,132,9440,0,0,8,0
MinimapArrow,4789,647,32,32,100,132,134,166,9441,0,0,8,0
Rotating-MinimapArrow,4790,647,32,32,270,302,168,200,9442,0,0,8,0
Rotating-MinimapGroupArrow,4791,647,32,32,304,336,168,200,9443,0,0,8,0
Rotating-MinimapGuideArrow,4792,647,32,32,338,370,168,200,9444,0,0,8,0
MiniMap-PositionArrowDown,4793,647,48,48,331,379,1,49,9470,0,0,8,0
