ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
114,"Horrific Visions of N'Zoth|n|cFFFFD200Achievement:|r|n""Through the Depths of Visions""|n|cFFFFD200NPC:|r Wrathion|n|cFFFFD200Location:|r Chamber of Heart",,16,4,299542,299544,310442,310426
115,The Eternal Palace Raid|n|cFFFFD200Drop:|r Queen Azshara - Mythic,,21,4,299559,299560,299959,303476
121,"Rated PVP|n|cFFFFD200Season:|r Season 3 or later|n|cFFFFD200Cost:|r 250 Honor|n|cFFFFD200Vendor:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus",Rated PVP|n|cFFFFD200Season:|r Season 3 or later|n|cFFFFD200Cost:|r 250 Honor|n|cFFFFD200Vendor:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala,32,1,303823,304081,303823,304081
122,"Rated PVP|n|cFFFFD200Season:|r Season 3 or later|n|cFFFFD200Rating:|r 1000+ in Previous Week |n|cFFFFD200Cost:|r 500 Honor|n|cFFFFD200Vendor:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus",Rated PVP|n|cFFFFD200Season:|r Season 3 or later|n|cFFFFD200Rating:|r 1000+ in Previous Week |n|cFFFFD200Cost:|r 500 Honor |n|cFFFFD200Vendor:|r Xander Silbermant|n|cFFFFD200Location:|r Mugambala,32,2,304086,304055,304088,304089
123,Rated PVP|n|cFFFFD200Season:|r Season 3 or later|n|cFFFFD200Rating:|r 1400+ in Previous Week|n|cFFFFD200Cost:|r 1000 Honor|n|cFFFFD200Vendor:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks Boralus,Rated PVP|n|cFFFFD200Season:|r Season 3 or later|n|cFFFFD200Rating:|r 1400+ in Previous Week|n|cFFFFD200Cost:|r 1000 Honor|n|cFFFFD200Vendor:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala,32,3,303892,304125,304121,304123
124,Rated PVP|n|cFFFFD200Season:|r Season 3 or later|n|cFFFFD200Rating:|r 2400+|n|cFFFFD200Drop:|r War Chest|n|cFFFFD200Location:|r Ashvane Docks Boralus,Rated PVP|n|cFFFFD200Season:|r Season 3 or later|n|cFFFFD200Rating:|r 2400+|n|cFFFFD200Drop:|r War Chest|n|cFFFFD200Location:|r Mugambala,32,4,303894,304533,304121,304123
125,"Vale of Eternal Blossoms |n|cFFFFD200Quest chain begins with:|r|n""It's Never Easy"" |n|cFFFFD200Quest chain ends with:|r|n""Restored Hope""|n|cFFFFD200Questgiver:|r Magni Bronzebeard|n|cFFFFD200Location:|r Chamber of Heart",,33,1,295046,295164,295046,295164
126,Vale of Eternal Blossoms |n|cFFFFD200Combine:|r Breath of Everlasting Spirit |n|cFFFFD200Quest:|r|nFirst of the week Vision of Darkness Daily |n|cFFFFD200Questgiver:|r Darktalon Agent |n|cFFFFD200Location:|r|nNear Visions of Darkness Portals in Uldum or Vale of Eternal Blossoms,,33,2,295098,295349,299984,299989
127,Vale of Eternal Blossoms|n|cFFFFD200Reputation:|r Rajani - Revered|n|cFFFFD200Vendor:|r Zhang Ku|n|cFFFFD200Location:|r Silent Sanctuary|n|cFFFFD200Cost:|r 50 Corrupted Mementos,,33,3,295119,295353,299988,299991
128,Vale of Eternal Blossoms |n|cFFFFD200Reputation:|r Rajani Supplies|n|cFFFFD200Vendor:|r Zhang Ku |n|cFFFFD200Location:|r Silent Sanctuary,,33,4,295308,295309,299988,299991
129,Horrific Visions of N'Zoth|n|cFFFFD200Drop:|r|nThrall or Alleria's Cursed Chests|n|cFFFFD200Location:|r Chamber of Heart,,34,1,310592,310603,310592,310603
130,Horrific Visions of N'Zoth|n|cFFFFD200Drop:|r|nCorrupted Chests from the Lost Areas|n|cFFFFD200Location:|r Chamber of Heart,,34,2,310597,310605,310601,310607
131,Horrific Visions of N'Zoth|n|cFFFFD200Combine:|r Spark of Unwavering Strength |n|cFFFFD200Drop:|r|nCorrupted Chests from the Corrupted and Lost Areas|n|cFFFFD200Location:|r Chamber of Heart,,34,3,310599,310606,310602,310608
132,"Horrific Visions of N'Zoth|n|cFFFFD200Achievement:|r|n""Through the Depths of Visions""|n|cFFFFD200NPC:|r Wrathion|n|cFFFFD200Location:|r Chamber of Heart",,34,4,310600,310609,310602,310608
133,"Uldum |n|cFFFFD200Quest chain begins with:|r |n""A Titanic Problem"" |n|cFFFFD200Quest quest reward on:|r |n""Surfacing Threats""|n|cFFFFD200Questgiver:|r King Phaoris|n|cFFFFD200Location:|r Ramkahen",,35,1,310690,310712,310690,310712
134,Uldum|n|cFFFFD200Combine:|r Breath of Everlasting Spirit |n|cFFFFD200Quest:|r |nFirst of the week Vision of Darkness Daily|n|cFFFFD200Questgiver:|r Darktalon Agent |n|cFFFFD200Location:|rNear Visions of Darkness Portals in Uldum or Vale of Eternal Blossoms,,35,2,310705,311166,311194,311197
135,Uldum|n|cFFFFD200Reputation:|r Uldum Accord - Revered|n|cFFFFD200Vendor:|r Provisioner Qorra|n|cFFFFD200Location:|r Ramkahen|n|cFFFFD200Cost:|r 50 Corrupted Mementos,,35,3,310710,311167,311195,311198
136,Uldum |n|cFFFFD200Reputation:|r Uldum Accord Supplies|n|cFFFFD200Vendor:|r Provisioner Qorra|n|cFFFFD200Location:|r Ramkahen,,35,4,310711,311177,311195,311198
137,Horrific Visions of N'Zoth|n|cFFFFD200Drop:|r|nThrall or Alleria's Cursed Chests|n|cFFFFD200Location:|r Chamber of Heart,,36,1,311203,311210,311203,311210
138,Horrific Visions of N'Zoth|n|cFFFFD200Drop:|r|nCorrupted Chests from the Lost Areas|n|cFFFFD200Location:|r Chamber of Heart,,36,2,311206,311211,311302,311304
139,Horrific Visions of N'Zoth|n|cFFFFD200Combine:|r Spark of Unwavering Strength |n|cFFFFD200Drop:|r|nCorrupted Chests from the Corrupted and Lost Areas|n|cFFFFD200Location:|r Chamber of Heart,,36,3,311207,311212,311303,311306
140,"Horrific Visions of N'Zoth|n|cFFFFD200Achievement:|r|n""Through the Depths of Visions""|n|cFFFFD200NPC:|r Wrathion|n|cFFFFD200Location:|r Chamber of Heart",,36,4,311209,311213,311303,311306
141,"Ny'alotha Raid|n|cFFFFD200Combine:|r |nEncrypted Ny'alothan Texts|n|cFFFFD200Drop:|r |nThe Prophet Skitra, Ra'den the Despoiled, Vexiona, Il'gynoth, Corruption Reborn or N'Zoth, the Corruptor.",,37,1,312725,312771,312725,312771
142,"Ny'alotha Raid|n|cFFFFD200Combine:|r |nEncrypted Ny'alothan Texts|n|cFFFFD200Drop:|r |nThe Prophet Skitra, Ra'den the Despoiled, Vexiona, Il'gynoth, Corruption Reborn or N'Zoth, the Corruptor.",,37,2,312764,312773,313921,313919
143,"Ny'alotha Raid|n|cFFFFD200Combine:|r |nEncrypted Ny'alothan Texts|n|cFFFFD200Drop:|r |nThe Prophet Skitra, Ra'den the Despoiled, Vexiona, Il'gynoth, Corruption Reborn or N'Zoth, the Corruptor.",,37,3,312768,312774,313922,313920
144,"Ny'alotha Raid|n|cFFFFD200Drop:|r |nN'Zoth, the Corruptor - Mythic",,37,4,312770,312775,313922,313920
