ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Supersedes,Priority
Loot Fyrakk Assault Suffusion Crucibles at Suffusion Camps,Loot Fyrakk Assault Suffusion Crucibles at Suffusion Camps on the Dragon Isles.,248,145855,100,0,0
Discover the Ancient Stones in Zaralek Cavern,,249,145857,100,0,0
Gather Researchers Under Fire Titan Parts,Gather Researchers Under Fire titan parts during Lockdown Mess.,250,145862,100,0,0
/sniff at Myrrit,Emote /sniff at Myrrit while cave diving for treasure in Zaralek Cavern.,251,145976,50,0,0
Fight Off Excited Fans at the Snail Race,Fight off excited fans who interfere with a snail race in Glimmerogg.,252,145980,50,0,0
Kill Researchers Under Fire Creatures,Kill Researchers Under Fire creatures at the Ruins of Drekazera in Zaralek Cavern.,253,145988,150,0,0
A Greedy Emissary: Kill Treasure Goblins,"From {EventStartDate} - {EventEndDate} kill treasure goblins in Stormwind, Orgrimmar, or on the Dragon Isles.",254,146252,250,0,0
Earn Reputation with the Loamm Niffen,,255,146080,100,0,0
Midsummer Fire Festival: /bow at a Scorchling,From {EventStartDate} - {EventEndDate} emote /bow at a Summer Scorchling or a Festival Scorchling.,256,146088,50,0,0
Win 1 PvP Pet Battle,,258,146502,50,0,0
Win 5 PvP Pet Battles,,259,146504,100,258,0
Capture an Uncommon Rarity Battle Pet,Capture an uncommon rarity battle pet in Zaralek Cavern.,260,146506,100,0,0
Win Duels on the Dragon Isles,"Win a duel against another player in Valdrakken, Maruukai, and Loamm.",261,146508,100,0,0
Help Tricky Win the Snail Race,Horde members assist Tricky the snail in the Glimmerogg races in Zaralek Cavern.,262,146515,100,0,0
Help Bashful Win the Snail Race,Alliance members assist Bashful the snail in the Glimmerogg races in Zaralek Cavern.,263,146539,100,0,0
Help Brulee Win the Snail Race,Assist Brulee the snail in the Glimmerogg races in Zaralek Cavern.,264,146541,100,0,0
Complete 1 Dragonriding Rally Courses on the Dragon Isles,Speak to a Bronze Timekeeper at an active rally location on the Dragon Isles.,265,146543,100,0,0
Trial of Style: Earn 20 Trial of Style Tokens,From {EventStartDate} - {EventEndDate} earn Trial of Style Tokens by participating in the Trial of Style.,266,146545,25,0,0
Trial of Style: Earn 300 Trial of Style Tokens,From {EventStartDate} - {EventEndDate} earn Trial of Style Tokens by participating in the Trial of Style.,267,146547,200,61,0
"Trial of Style: Complete 2 ""Work It"" Quests","From {EventStartDate} - {EventEndDate} complete ""Work It"" quests on the Dragon Isles.",268,146549,25,0,0
"Trial of Style: Complete 10 ""Work It"" Quests","From {EventStartDate} - {EventEndDate} complete ""Work It"" quests on the Dragon Isles.",269,146551,100,268,0
Trial of Style: Take First Place,From {EventStartDate} - {EventEndDate} take first place in a Trial of Style competition.,270,146553,100,0,0
Trial of Style: /awe at a Winning Outfit Display,From {EventStartDate} - {EventEndDate} emote /awe at a Winning Outfit display at the Trading Post in Stormwind or Orgrimmar.,271,146559,25,0,0
"Free T-Shirt Day: Loot 1 Free ""T-Shirts""","On {EventStartDate} loot free ""T-Shirts"" in Stormwind or Orgrimmar.",272,146561,50,0,0
"Free T-Shirt Day: Loot 7 Free ""T-Shirts""","On {EventStartDate} loot free ""T-Shirts"" in Stormwind or Orgrimmar.",273,146563,70,272,0
"Free T-Shirt Day: /flex at an Opposite Faction Player While Wearing a Free ""T-Shirt""","On {EventStartDate} emote /flex at an opposite faction player while wearing a free ""T-Shirt"".",274,146565,80,0,0
Darkmoon Faire: Loot a Pit Fighter Trinket,From {EventStartDate} - {EventEndDate} loot a Pit Fighter trinket during the Darkmoon Deathmatch on Darkmoon Faire Island.,275,146567,200,0,0
Darkmoon Faire: Participate in the Blight Boar Concert,From 9/1 - 9/7  participate in the Blight Boar concert on Darkmoon Faire Island.,276,146767,150,0,0
Darkmoon Faire: Complete 1 Darkmoon Race,From 10/6 - 10/12 complete races at the Darkmoon Boardwalk on Darkmoon Faire Island.,277,146769,50,0,0
Darkmoon Faire: Complete 4 Darkmoon Races,From 10/6 - 10/12 complete races at the Darkmoon Boardwalk on Darkmoon Faire Island.,278,146774,100,277,0
Timewalking: Complete 1 Burning Crusade Timewalking Dungeon,From {EventStartDate} - {EventEndDate} complete Burning Crusade Timewalking dungeons.,279,146779,25,0,0
Timewalking: Complete 5 Burning Crusade Timewalking Dungeons,From {EventStartDate} - {EventEndDate} complete Burning Crusade Timewalking dungeons.,280,146787,100,279,0
Timewalking: Defeat Outland Pet Tamers,From {EventStartDate} - {EventEndDate} defeat 3 of the following Outland Master Tamers:,281,146797,100,0,0
Timewalking: Go Fishing in Outland,From {EventStartDate} - {EventEndDate} fish up items in Outland,282,146803,100,0,0
Complete the Little Scales Daycare Storyline,Speak to Jyhanna at the Little Scales Daycare in Valdrakken.,283,146806,250,0,0
Warlock: Complete A Lighter Shade of Fel,As a Warlock complete the following quests:,284,146821,150,0,0
Earn Exalted Status with The Scryers or The Aldor,Earn exalted status with The Scryers or The Aldor factions in Shattrath.,285,146834,100,0,0
Complete 1 Little Scales Daycare Daily Quest,Complete daily quests at Little Scales Daycare in Valdrakken.,286,146921,100,0,0
Complete 5 Little Scales Daycare Daily Quests,Complete daily quests at Little Scales Daycare in Valdrakken.,287,146937,100,286,0
Obtain Flightstones,,288,147005,100,0,0
Create Shadowflame Crests,Collect Shadowflame Crest fragments and create any type of Shadowflame Crest.,289,147009,150,0,0
Trading Post Test,Trading Post Test,290,147073,1000,0,0
Kalimdor Cup: Complete 5 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Kalimdor.,291,147096,100,0,0
Kalimdor Cup: Complete 10 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Kalimdor.,292,147098,150,291,0
Kalimdor Cup: Complete 20 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Kalimdor.,293,147100,200,292,0
Kalimdor Cup: Collect the Drake Racer's Helmet Appearance,From {EventStartDate} - {EventEndDate} purchase the Drake Racer's Helmet from Maztha in Valdrakken.,294,147102,50,0,0
Kalimdor Cup: /salute at Lord Andestrasz While Wearing Drake Racer's Gear,From {EventStartDate} - {EventEndDate} emote /salute at Lord Andestrasz in Valdrakken while wearing Drake Racer's gear.,295,147104,20,0,0
Kalimdor Cup: Get Directions from a Bronze Timekeeper Assistant,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper Assistant on Kalimdor for directions to a course location.,296,147106,20,0,0
Evoker: Complete Augmenting a Dragon,As an Augmentation Evoker complete the following quests:,297,147108,100,0,0
Complete 2 Eon's Fringe Daily Quests,Complete daily quests at Eon's Fringe in Thaldraszus.,298,147197,100,0,0
Complete 5 Eon's Fringe Daily Quests,Complete daily quests at Eon's Fringe in Thaldraszus.,299,147204,100,298,0
Complete 1 Time Rift,Complete a Time Rift in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.,300,147575,50,0,0
Complete 5 Time Rifts,Complete a Time Rift in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.,301,147577,150,300,0
Defeat Azmerloth,Defeat Azmerloth during a Time Rift in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.,302,147579,100,0,0
/boggle at Soridormi,Emote /boggle at Soridormi in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.,303,147581,50,0,0
Obtain the Box of Collapsed Reality,Obtain the Box of Collapsed Reality from Time Rifts in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.,304,147583,50,0,0
Brewfest: Earn 100 Brewfest Prize Tokens,From {EventStartDate} - {EventEndDate} earn Brewfest Prize Tokens by participating in Brewfest.,305,147728,100,0,0
Brewfest: Earn 300 Brewfest Prize Tokens,From {EventStartDate} - {EventEndDate} earn Brewfest Prize Tokens by participating in Brewfest.,306,147730,100,305,0
Brewfest: Earn 600 Brewfest Prize Tokens,From {EventStartDate} - {EventEndDate} earn Brewfest Prize Tokens by participating in Brewfest.,307,147732,200,306,0
Defeat Arthas,Defeat Arthas during a Time Rift in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.,308,147734,100,0,0
Defeat Illidan,Defeat Illidan during a Time Rift in Tyrhold Reservoir in Thaldraszus on the Dragon Isles.,309,147736,100,0,0
Timewalking: Complete 1 Wrath Timewalking Dungeon,From {EventStartDate} - {EventEndDate} complete Wrath of the Lich King Timewalking dungeons.,310,147759,25,0,0
Timewalking: Complete 5 Wrath Timewalking Dungeons,From {EventStartDate} - {EventEndDate} complete Wrath of the Lich King Timewalking dungeons.,311,147770,100,310,0
Timewalking: Complete 1 Cataclysm Timewalking Dungeon,From {EventStartDate} - {EventEndDate} complete Cataclysm Timewalking dungeons.,312,147780,25,0,0
Timewalking: Complete 5 Cataclysm Timewalking Dungeons,From {EventStartDate} - {EventEndDate} complete Cataclysm Timewalking dungeons.,313,147788,100,312,0
Brewfest: Kill Coren Direbrew,From {EventStartDate} - {EventEndDate} kill Coren Direbrew.,314,147798,150,0,0
Pirates' Day: Become a Pirate for the Day,From {EventStartDate} - {EventEndDate} speak to Dread Captain DeMeza in Booty Bay and become a member of her crew.,315,147800,80,0,0
Pirates' Day: You're Gonna Need A Bigger Boat,"From {EventStartDate} - {EventEndDate} speak to Dread Captain DeMeza in Booty Bay and complete the quest ""You're Gonna Need A Bigger Boat.""",316,147802,80,0,-40
Pirates' Day: Defeat Harlan Sweete with Petey,"From {EventStartDate} - {EventEndDate} speak to Dread Captain DeMeza in Booty Bay to gain Petey, then defeat Harlan Sweete with Petey on your shoulder.",317,147804,80,0,0
Harvest Festival: Honoring a Hero,"From {EventStartDate} - {EventEndDate} speak to Javnir Nashak, outside Orgrimmar, or Wagner Hammerstrike, outside Ironforge, and complete the quest ""Honoring a Hero.""",318,147806,200,0,0
Harvest Festival: /bow at an Honored Ancestor or Hero,From {EventStartDate} - {EventEndDate} emote /bow at an Honored Ancestor outside of Orgrimmar or an Honored Hero outside of Ironforge.,319,147809,100,0,0
Secrets of Azeroth: 1 Secret Found,From {EventStartDate} - {EventEndDate} complete a Secrets of Azeroth quest or discover a related secret.,320,147811,50,0,0
Forsaken: Complete the Heritage Armor Storyline,"As a Forsaken, complete the following heritage armor quests:",321,147832,100,0,0
Timewalking: Defeat Northrend Pet Tamers,From {EventStartDate} - {EventEndDate} defeat 3 of the following Northrend Master Tamers:,322,147839,100,0,0
Timewalking: Defeat Cataclysm Pet Tamers,From {EventStartDate} - {EventEndDate} defeat 3 of the following Kalimdor and Eastern Kingdoms Master Tamers:,323,147845,100,0,0
Secrets of Azeroth: 3 Secrets Found,From {EventStartDate} - {EventEndDate} complete Secrets of Azeroth quests or discover related secrets.,324,147853,100,320,0
Secrets of Azeroth: 7 Secrets Found,From {EventStartDate} - {EventEndDate} complete Secrets of Azeroth quests or discover related secrets.,325,147856,150,324,0
Complete a Dragonriding Challenge Course on the Dragon Isles,Speak to a Bronze Timekeeper on the Dragon Isles.,326,147859,25,0,0
Complete 5 Dragonriding Challenge Courses on the Dragon Isles,Speak to a Bronze Timekeeper on the Dragon Isles.,327,147861,50,326,0
Complete 10 Dragonriding Challenge Courses on the Dragon Isles,Speak to a Bronze Timekeeper on the Dragon Isles.,328,147863,50,327,0
Complete 20 Dragonriding Challenge Courses on the Dragon Isles,Speak to a Bronze Timekeeper on the Dragon Isles.,329,147865,100,328,0
Complete 3 Waking Dreams,Complete Waking Dream events in the Dreamsurged zones around the Dragon Isles.,330,147867,50,0,0
Complete 15 Waking Dreams,Complete Waking Dream events in the Dreamsurged zones around the Dragon Isles.,331,147869,100,330,0
Defeat 3 Rare Elites Empowered by the Dreamsurge,Defeat rare elites in the currently Dreamsurged zone of the Dragon Isles.,332,147871,50,0,0
Defeat 15 Rare Elites Empowered by the Dreamsurge,Defeat rare elites in the currently Dreamsurged zone of the Dragon Isles.,333,147873,100,332,0
Collect 100 Dreamsurge Coalescence,Collect Dreamsurge Coalescence from activities in Dreamsurged zones around the Dragon Isles.,334,147875,100,0,0
Complete the Reconciliation Storyline,"Speak with Scalecommander Emberthal in Valdrakken to begin the quest ""A Single Wing"".",335,147877,100,0,0
Timewalking: Complete 1 Mists of Pandaria Timewalking Dungeon,From {EventStartDate} - {EventEndDate} complete Mists of Pandaria Timewalking dungeons.,336,147879,25,0,0
Timewalking: Complete 5 Mists of Pandaria Timewalking Dungeon,From {EventStartDate} - {EventEndDate} complete Mists of Pandaria Timewalking dungeons.,337,145198,100,336,0
Collect 250 Dreamsurge Coalescence,Collect Dreamsurge Coalescence from activities in Dreamsurged zones around the Dragon Isles.,339,149014,150,334,0
Defeat Rare Elites Empowered by the Dreamsurge,Defeat rare elites in the currently Dreamsurged zone of the Dragon Isles.,340,147886,100,0,0
"Darkmoon Faire: Complete ""It's Hammer Time""","From 8/4 - 8/10 complete the quest ""It's Hammer Time"" on Darkmoon Faire Island.",341,147895,50,0,0
Darkmoon Faire: Enjoy a Ride,From 6/2 - 6/8 ride the Darkmoon Faire carousel or rollercoaster on Darkmoon Faire Island.,342,147897,50,0,0
/dance with a patron of the Dragon's Hoard,Emote /dance with a Dance Party Patron in the Dragon's Hoard in Valdrakken.,343,147900,50,0,0
LFR: Complete a Raid with your Pink Party Hat,Complete a LFR raid scenario while wearing the Pink Party Hat.,344,147905,50,0,0
Brewfest: Complete 2 Brewfest Quests,From {EventStartDate} - {EventEndDate} complete Brewfest quests in the world.,345,147937,50,0,-50
Brewfest: Complete 5 Brewfest Quests,From {EventStartDate} - {EventEndDate} complete Brewfest quests in the world.,346,147939,150,345,-50
Win 1 PvP Pet Battle with Undead Pets,Win 1 PvP Pet Battle using at least 2 undead pets,347,148003,50,0,0
Hallow's End: Visit Candy Buckets while in War Mode,From {EventStartDate} - {EventEndDate} collect Handful of Treats from Candy Buckets around the world while in War Mode.,348,148005,50,0,-60
Tend to your Farm at Sunsong Ranch,Till the soil of Sunsong Ranch at Halfhill in the Valley of the Four Winds.,350,148009,50,0,-40
Obtain gold in 4 Dragonriding Courses on the Dragon Isles,Speak to a Bronze Timekeeper on the Dragon Isles.,351,148012,50,0,0
Hallow's End: Visit Candy Buckets in the Dragon Isles,From {EventStartDate} - {EventEndDate} collect Handful of Treats from Candy Buckets in the Dragon Isles.,353,148016,50,0,-50
Hallow's End: Visit Candy Buckets in Pandaria,From {EventStartDate} - {EventEndDate} collect Handful of Treats from Candy Buckets in Pandaria.,354,148018,50,0,-50
Hallow's End: Complete 5 Hallow's End Daily Quests,From {EventStartDate} - {EventEndDate} visit Stormwind or Undercity to complete Hallow's End daily quests.,355,148020,100,0,-60
Hallow's End: Complete 15 Hallow's End Daily Quests,From {EventStartDate} - {EventEndDate} visit Stormwind or Undercity to complete Hallow's End daily quests.,356,148022,150,355,-60
Hallow's End: Repeatedly Defeat The Headless Horseman,From {EventStartDate} - {EventEndDate} defeat The Headless Horseman again and again.,357,148026,100,0,-60
Hallow's End: Defeat The Headless Horseman with All 4 Wicker Men Curses,From {EventStartDate} - {EventEndDate} defeat The Headless Horseman after accepting all 4 curses from the Wicker Men.,358,148028,100,0,-60
Hallow's End: Bob for Apples with a Hallow's End mask,From {EventStartDate} - {EventEndDate} bob for apples while wearing a Hallow's End mask.,359,148042,50,0,-60
Darkmoon Faire: Speak with a Restless Spirit,From 6/2 - 6/8 talk to a ghost on the Darkmoon Faire island.,360,148056,50,0,0
Great Gnomeregan Run: Participate in the Great Gnomeregan Run,On {EventStartDate} join the footrace at New Tinkertown in Dun Morogh.,361,148058,100,0,-30
Brewfest: Participate in a Chowdown,From {EventStartDate} - {EventEndDate} participate in the Brewfest Chowdown competition near Ironforge or Orgrimmar.,362,148060,50,0,-20
/cackle at a Forsaken player,Emote /cackle at a Forsaken player.,363,148065,50,0,0
Complete Dragonriding World Quests in the Forbidden Reach,Speak to a Bronze Timekeeper on the Dragon Isles.,364,148098,100,0,0
Complete Advanced Dragonriding Races on the Dragon Isles,"Complete Advanced dragonriding races in the Waking Shores, Ohn'ahran Plains, Azure Span, and Thaldraszus.",365,148100,100,0,0
Darkmoon Faire: Wear a Fish Head to the Dungeons,From 9/1 - 9/7 use the Dungeon Finder tool to complete a dungeon while wearing a Severed Crimsonscale Head or Severed Azurefin Head fished up on the Darkmoon Faire island.,366,148102,100,0,-30
Great Gnomeregan Run: Complete the Great Gnomeregan Run as a Level 10 or under Gnome in a Pink Shirt,On {EventStartDate} join the footrace at New Tinkertown in Dun Morogh as a level 1-10 gnome or mechagnome while wearing a Pink Mageweave Shirt.,367,148104,150,0,-30
"Gather 50 herbs, ores, or skins on the Dragon Isles",,368,148528,50,0,0
"Gather 250 herbs, ores, or skins on the Dragon Isles",,369,148743,100,368,0
Complete 2 of the following Dragonriding World Quests,,370,148532,100,0,0
Spend 100 Vigor by Dragonriding,,371,148542,50,0,0
Spend 1000 Vigor by Dragonriding,,372,148546,100,371,0
"Darkmoon Faire: Complete He Shoots, He Scores!","From 11/5 - 11/11 complete the quest He Shoots, He Scores! on Darkmoon Faire Island.",373,148550,50,0,-30
"Complete a ""Sparks of Life"" Quest","Complete a ""Sparks of Life"" quest on the Dragon Isles.",375,148554,100,0,0
Win a Battleground Under Level 70,,376,148556,100,0,0
Win a PvP Pet Battle with a Turkey,Win a PvP Pet Battle with any turkey on your team,377,148558,100,0,0
Feed Your Pet a Snack or Treat,"Feed a Battle Pet a Happy Pet Snack, Pet Treat, or Lesser Pet Treat.",378,148560,50,0,0
World Quest Bonus Week: Complete World Quests while in a Party,From {EventStartDate} - {EventEndDate} complete world quests while in a party.,379,148564,100,0,0
Battleground Bonus Week: Win an Epic Battleground,From {EventStartDate} - {EventEndDate} win an Epic Battleground.,380,148566,100,0,0
Dungeon Bonus Week: Complete Heroic Dungeons with Random Players,From {EventStartDate} - {EventEndDate} use the Dungeon Finder tool to complete heroic dungeons with random players.,381,148568,150,0,0
Take Your Guild to the Dungeons,Use the Dungeon Finder tool to complete dungeons while in a guild party.,383,148572,150,0,0
Complete Quests while in a Party,,384,148574,100,0,0
Gain All of the Following Buffs at Once,,385,148576,50,0,0
Ride in Another Player's Mount,,386,148582,50,0,0
Day of the Dead: Defeat a Contender,From {EventStartDate} - {EventEndDate} purchase a contender's outfit from Chapman and defeat another player who is also in a contender's outfit.,387,148584,100,0,-10
Day of the Dead: Complete the quest The Grateful Dead,From {EventStartDate} - {EventEndDate} complete the quest The Grateful Dead which can be found in your race's home city.,388,148586,100,0,-10
Moonkin Festival: Complete Moonkin Monitoring,On {EventStartDate} complete the quest Moonkin Monitoring at Moonglade in Kalimdor,389,148588,150,0,-40
WoW's Anniversary: Participate in Korrak's Revenge,From {EventStartDate} - {EventEndDate} participate in the Korrak's Revenge battleground.,390,148590,100,0,-60
WoW's Anniversary: Slay Doomwalker,From {EventStartDate} - {EventEndDate} kill Doomwalker in Tanaris.,391,148592,100,0,-60
WoW's Anniversary: /cheer Leeroy Jenkins,From {EventStartDate} - {EventEndDate} emote /cheer at Leeroy Jenkins in the Caverns of Time.,392,148594,50,0,-60
WoW's Anniversary: Complete Quests in a Party Under Level 20,From {EventStartDate} - {EventEndDate} complete 5 quests while in a party and under level 20.,393,148596,100,0,-60
Moonkin Festival: Kill Enemies with Your Moonkin Hatchlings,"On {EventStartDate} befriend a Moonkin Hatchling at Moonglade in Kalimdor, then kill 25 XP-granting enemies with your moonkin companion.",394,148609,150,0,-40
WoW's Anniversary: Launch Fireworks in Capital Cities,From {EventStartDate} - {EventEndDate} launch 10 Celebration Fireworks or Fireflights in Stormwind or Orgrimmar.,395,148611,50,0,-60
Pilgrim's Bounty: Gain the Spirit of Sharing,From {EventStartDate} - {EventEndDate} eat all of the foods at a Bountiful Table to gain the Spirit of Sharing.,396,148617,50,0,-70
Pilgrim's Bounty: Gain the Spirit of Sharing in All Dragon Isles Zones,From {EventStartDate} - {EventEndDate} eat all of the foods at a Bountiful Table to gain the Spirit of Sharing in each of the following zones.,397,148619,100,396,-70
Pilgrim's Bounty: Cook All Pilgrim's Bounty Recipes,From {EventStartDate} - {EventEndDate} cook all of the following Pilgrim's Bounty foods.,398,148638,100,0,-70
Pilgrim's Bounty: Complete Quests,From {EventStartDate} - {EventEndDate} complete 5 Pilgrim's Bounty quests.,399,148656,100,0,-70
Pilgrim's Bounty: Taste the Flavors of Azeroth,From {EventStartDate} - {EventEndDate} eat one of each of the foods listed below.,400,148660,150,0,-70
Pilgrim's Bounty: Cover Everyone in Turkey Feathers,From {EventStartDate} - {EventEndDate} shoot each of the following player races with Turkey Shooters.,401,148674,100,0,-70
Pilgrim's Bounty: Go Turkey Hunting with a Pilgrim's Hat,"From {EventStartDate} - {EventEndDate}, quickly kill Wild Turkeys in Elwynn Forest, Tirisfal Glades, or Ohn'ahran Plains to gain Turkey Domination while wearing a Pilgrim's Hat.",402,148717,150,0,-70
WoW's Anniversary: Win a PvP Pet Battle with your New Pet,"From {EventStartDate} - {EventEndDate}, win a PvP pet battle with Lil' Frostwing on your team.",403,148719,100,0,-60
Upgrade Items Using Flightstones,,404,148721,100,0,0
Complete a Random Dungeon or Battleground with your Recruited Friend or Recruiter,Use the Dungeon Finder tool to complete a random dungeon or random battleground while grouped with your recruited friend or your recruiter friend.,405,148739,150,0,0
Level Up Classic Cooking,,406,149016,100,0,0
Eat an Epic or Legendary Community Feast,"Participate in the Iskaara Tuskarr community feast to increase its rarity, then eat an epic soup!",407,149018,100,0,0
Participate in the Heat of Battle,,409,149478,50,0,0
Win 1 Heat of Battle Brawl,,410,149481,50,0,0
Win 5 Heat of Battle Brawls,,411,149571,50,410,0
Reach Level 20,Level up any character to level 20.,412,149577,25,0,0
Earn Reputation Throughout the Dragon Isles,,414,149607,70,0,0
Defeat 5 Raid Bosses,,415,149619,50,0,10
Defeat 20 Raid Bosses,,416,149621,100,415,10
Complete 10 Quests,Complete quests that grant experience and not trivial (low level).,417,149633,100,0,0
Complete 25 Quests,Complete quests that grant experience and not trivial (low level).,418,149635,100,417,0
Complete 50 Quests,Complete quests that grant experience and not trivial (low level).,419,149637,100,418,0
Complete 5 World Quests,,420,149639,50,0,0
Complete 10 World Quests,,421,149641,50,420,0
Complete 25 World Quests,,422,149643,100,421,0
Defeat 25 Dungeon Bosses,Defeat dungeon bosses that grant experience.,423,149645,100,0,0
Create A Shadowflame Crest,Collect Shadowflame Crest fragments and create any type of Shadowflame Crest.,424,149647,30,0,0
Reach Level 30,Level up any character to level 30.,426,149713,25,0,0
Reach Level 40,Level up any character to level 40.,427,149715,25,0,0
Reach Level 50,Level up any character to level 50.,428,149717,25,0,0
Reach Level 60,Level up any character to level 60.,429,149719,25,0,0
Reach Level 70,Level up any character to level 70.,430,149721,25,0,0
Gain Class Levels,Level up on any character.,431,149723,50,0,0
Timewalking: Defeat Broken Isles Pet Tamers,From {EventStartDate} - {EventEndDate} defeat 3 of the following Broken Isles Master Tamers:,432,149987,100,0,0
Timewalking: Defeat Burning Crusade Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Burning Crusade raids.,433,149937,100,0,0
Timewalking: Defeat Wrath of the Lich King Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Wrath of the Lich King raids.,434,149935,100,0,0
Timewalking: Defeat Cataclysm Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Cataclysm raids.,435,149945,100,0,0
Timewalking: Defeat Mists of Pandaria Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Mists of Pandaria raids.,436,149941,100,0,0
Timewalking: Defeat Warlords of Draenor Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Warlords of Draenor raids.,437,149939,100,0,0
Timewalking: Defeat Legion Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Legion raids.,438,149943,100,0,0
Timewalking: Complete Quests in Outland,From {EventStartDate} - {EventEndDate} complete quests in Outland.,439,149951,100,0,0
Timewalking: Complete Quests in Northrend,From {EventStartDate} - {EventEndDate} complete quests in Northrend.,440,149947,100,0,0
Timewalking: Complete Quests in Kalimdor and the Eastern Kingdoms,From {EventStartDate} - {EventEndDate} complete quests in Kalimdor and the Eastern Kingdoms.,441,149957,100,0,0
Timewalking: Complete Quests in Pandaria,From {EventStartDate} - {EventEndDate} complete quests in Pandaria.,442,149953,100,0,0
Timewalking: Complete Quests in the Broken Isles,From {EventStartDate} - {EventEndDate} complete quests in the Broken Isles.,443,149955,100,0,0
"Timewalking: Gather Herbs, Ores, Skins, or Fish in Outland","From {EventStartDate} - {EventEndDate} gather herbs, ores, skins, or fish in Outland.",444,149965,100,0,0
"Timewalking: Gather Herbs, Ores, Skins, or Fish in Northrend","From {EventStartDate} - {EventEndDate} gather herbs, ores, skins, or fish in Northrend.",445,149959,100,0,0
"Timewalking: Gather Herbs, Ores, Skins, or Fish in Kalimdor and the Eastern Kingdoms","From {EventStartDate} - {EventEndDate} gather herbs, ores, skins, or fish in Kalimdor and the Eastern Kingdoms.",446,149974,100,0,0
"Timewalking: Gather Herbs, Ores, Skins, or Fish in Pandaria","From {EventStartDate} - {EventEndDate} gather herbs, ores, skins, or fish in Pandaria.",447,149968,100,0,0
"Timewalking: Gather Herbs, Ores, Skins, or Fish in Draenor","From {EventStartDate} - {EventEndDate} gather herbs, ores, skins, or fish in Draenor.",448,149962,100,0,0
"Timewalking: Gather Herbs, Ores, Skins, or Fish in the Broken Isles","From {EventStartDate} - {EventEndDate} gather herbs, ores, skins, or fish in the Broken Isles.",449,149971,100,0,0
Timewalking: Go Fishing in Kalimdor and the Eastern Kingdoms,From {EventStartDate} - {EventEndDate} fish up items in Kalimdor and the Eastern Kingdoms.,450,149985,100,0,0
Timewalking: Go Fishing in Pandaria,From {EventStartDate} - {EventEndDate} fish up items in Pandaria.,451,149981,100,0,0
Earn Reputation with the Dream Wardens,,452,149756,100,0,0
Pick Dreamfruits in the Superbloom,Gain 10 Dreamfruit powers during Superbloom events in the Emerald Dream.,453,149763,25,0,0
Participate in an Epic Superbloom,Participate in a Superbloom event in the Emerald Dream that earns Epic quality.,454,149765,25,0,0
Plant 15 Dreamseeds in the Emerald Dream,,455,149767,25,456,0
Plant 5 Dreamseeds in the Emerald Dream,,456,149771,25,0,0
Recraft Equipment,Use a crafting profession to recraft equipment at a crafting bench.,457,149775,50,0,0
Complete Dragonriding Courses in the Emerald Dream,Speak to a Bronze Timekeeper in the Emerald Dream.,458,149784,50,0,0
Complete Dragonriding Challenge Courses in the Emerald Dream,Speak to a Bronze Timekeeper in the Emerald Dream.,459,149786,50,0,0
Complete Reverse Dragonriding Courses in the Emerald Dream,Speak to a Bronze Timekeeper in the Emerald Dream.,460,149788,50,0,0
Slay Players in The Emerald Dream,,461,149795,100,0,0
Loot Rousing Ire,,462,149797,100,0,0
Defeat Dream Pets,Defeat 5 of the following pets found in the Emerald Dream.,463,149799,50,0,0
Catch a Winter Pet,Catch one of the following wintery pets.,464,149801,50,0,0
Be Resurrected,,465,149808,25,0,0
Kill Enemies in the Cold,Slay 30 enemies in one of the following zones.,466,149823,50,0,0
Deal Frost Damage,"Deal a total of 500K Frost damage. Frost damage is commonly dealt by mages, shamans, and death knights.",467,0,50,0,0
Participate in Superblooms,Participate in 3 Superbloom events in the Emerald Dream.,468,149832,25,0,0
Plant Dreamseeds in the Emerald Dream,,469,149834,25,0,0
Arena Skirmish Bonus Week: Win Daily Arena Matches,From {EventStartDate} - {EventEndDate} win an arena match on four different days.,470,150004,100,0,0
World Quest Bonus Week: Complete World Quests,From {EventStartDate} - {EventEndDate} complete world quests.,471,149857,50,0,0
New Year's Eve: Launch Red and Blue Fireworks in Capital Cities,On {EventStartDate} launch 10 Red or Blue Fireworks in Stormwind or Orgrimmar while the fireworks celebrations are happening.,473,149871,100,0,-500
Feast of Winter Veil: Kill 6 Festive Bosses,From {EventStartDate} - {EventEndDate} kill six of the following bosses.,474,149883,50,27,-100
