ID,ZoneName_lang,AlteredFormCustomizeOffset[0],AlteredFormCustomizeOffset[1],AlteredFormCustomizeOffset[2],ChrModel_9_0_1_35522_001Override[0],ChrModel_9_0_1_35522_001Override[1],ChrModel_9_0_1_35522_001Override[2],ChrModel_9_0_1_35522_001Override_Female[0],ChrModel_9_0_1_35522_001Override_Female[1],ChrModel_9_0_1_35522_001Override_Female[2],ChrClassesID,ZoneImageAtlas,MaleCharacterCreationVisual,MaleCharacterCreationIdleVisual,FemaleCharacterCreationVisual,FemaleCharacterCreationIdleVisual,CharacterCreationIdleGroundVisual,CharacterCreationGroundVisual,AlteredFormCharacterCreationIdleVisual,AlteredFormCustomizeRotation,CharacterCreationAnimLoopWaitTimeMs,ChrRacesID
246,Hall of Awakening,0,0,0,0,0,0,0,0,0,10,12418,0,0,0,0,0,0,0,0,0,85
247,Shadowglen,0,0,0,0,0,0,0,0,0,9,12433,0,0,0,0,0,0,0,0,0,4
248,Ammen Vale,0,0,0,0,0,0,0,0,0,9,12417,0,0,0,0,0,0,0,0,0,11
249,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10
250,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1
251,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2
252,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3
253,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4
254,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5
255,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6
256,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,7
257,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,8
258,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,9
259,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,35
260,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,36
261,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,37
262,Ammen Vale,0,0,0,0,0,0,0,0,0,8,12417,0,0,0,0,0,0,0,0,0,11
263,Ammen Vale,0,0,0,0,0,0,0,0,0,10,12417,0,0,0,0,0,0,0,0,0,11
264,Coldridge Valley,0,0,0,0,0,0,0,0,0,10,12423,0,0,0,0,0,0,0,0,0,3
265,The Forbidden Reach,0,0,0,0,0,0,0,0,0,1,12427,132937,132938,128667,132581,0,0,160505,0,0,52
266,The Forbidden Reach,0,0,0,0,0,0,0,0,0,9,12427,0,0,0,0,0,0,160505,0,0,52
267,The Forbidden Reach,0,0,0,0,0,0,0,0,0,9,12427,0,0,0,0,0,0,160505,0,0,70
268,Telogrus Rift,0,0,0,0,0,0,0,0,0,12,12419,0,0,0,0,0,0,0,0,0,29
269,The Forbidden Reach,0,0,0,0,0,0,0,0,0,5,12427,0,0,0,0,0,0,160505,0,0,52
270,The Forbidden Reach,0,0,0,0,0,0,0,0,0,5,12427,0,0,0,0,0,0,160505,0,0,70
271,The Forbidden Reach,0,0,0,0,0,0,0,0,0,4,12427,0,0,0,0,0,0,160505,0,0,52
272,The Forbidden Reach,0,0,0,0,0,0,0,0,0,4,12427,0,0,0,0,0,0,160505,0,0,70
273,Har'mara,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86
274,Har'mara,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,228027,0,0,0,0,86
275,Har'mara,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,86
276,Har'mara,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,228025,0,0,0,0,91
277,Har'mara,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,91
278,Har'mara,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,91
279,Har'mara,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,86
280,The Forbidden Reach,0,0,0,0,0,0,0,0,0,1,12427,132937,132938,128667,132581,0,0,160505,0,0,70
281,Har'mara,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91
282,Har'mara,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,91
283,Har'mara,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,134410,0,0,0,91
284,Har'mara,0,0,0,0,0,0,0,0,0,4,0,0,133196,0,0,0,0,0,0,0,91
285,Har'mara,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,91
286,Har'mara,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,86
287,Har'mara,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,134409,0,0,0,86
288,Har'mara,0,0,0,0,0,0,0,0,0,4,0,0,133196,0,0,0,0,0,0,0,86
289,Har'mara,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,86
290,The Forbidden Reach,0,0,0,0,0,0,0,0,0,3,12427,0,0,0,0,210497,0,160505,0,0,52
291,The Forbidden Reach,0,0,0,0,0,0,0,0,0,3,12427,0,0,0,0,217381,0,160505,0,0,70
292,The Forbidden Reach,0,0,0,0,0,0,0,0,0,8,12427,0,0,0,0,0,0,160505,0,0,52
293,The Forbidden Reach,0,0,0,0,0,0,0,0,0,8,12427,0,0,0,0,0,0,160505,0,0,70
294,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,11
295,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,22
296,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,24
297,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,25
298,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,26
299,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,27
300,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,28
301,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,29
302,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,30
303,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,31
304,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,32
305,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,34
306,Har'mara,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,243201,0,0,0,91
307,Har'mara,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,243201,0,0,0,86
