Field_1_60_1_70009_000,Field_1_60_1_70009_001[0],Field_1_60_1_70009_001[1],Field_1_60_1_70009_001[2],Field_1_60_1_70009_002,Field_1_60_1_70009_003,Field_1_60_1_70009_004,Field_1_60_1_70009_005,Field_1_60_1_70009_006,Field_1_60_1_70009_007,Field_1_60_1_70009_008,Field_1_60_1_70009_009,Field_1_60_1_70009_010
mount1,0.03,0.51,-1.69,3643,1163,0,170,-2.58,0,0,0.08,1
transmog1,0.03,-1.49,-1.1,3644,1163,0,170,2.72,0,0,0,1
transmog1,2.01,2.51,-0.95,3645,1164,0,170,3.02,0,0,0,1
transmog2,1.01,1.41,-0.99,3646,1164,0,170,2.88,0,0,0,1
transmog3,0.01,0.31,-0.99,3647,1164,0,170,3.07,0,0,0,1
transmog4,1.51,-1.89,-0.99,3648,1164,0,170,-2.97,0,0,0,1
transmog5,2.01,-2.99,-0.95,3649,1164,0,170,-2.83,0,0,0,1
transmog6,0.01,-0.6,-0.95,3650,1164,0,170,-2.9670596,0,0,0,1
transmog3,0.01,0.31,-0.99,3651,1165,16,170,3.054326,0,0,0,1
transmog4,1.51,-1.89,-0.99,3652,1165,16,170,-2.9670596,0,0,0,1
transmog5,2.01,-2.99,-0.95,3653,1165,16,170,-2.83,0,0,0,1
transmog6,0.01,-0.5,-0.95,3654,1165,16,170,-2.8797932,0,0,0,1
transmog1,2.01,2.51,-0.95,3655,1165,16,170,3.02,0,0,0,1
transmog2,1.01,1.41,-0.99,3656,1165,16,170,2.88,0,0,0,1
transmog1,-2.47,0.51,-1.18,3657,1166,0,170,2.88,0,0,0,1
transmog2,-1.95,-0.49,-1.18,3658,1166,0,170,-2.72,0,0,0,1
transmog1,-2.47,0.51,-1.18,3659,1167,0,170,2.88,0,0,0,1
transmog2,-1.95,-0.49,-1.18,3660,1167,0,170,-2.72,0,0,0,1
mount1,-0.92,-0.98,-1.77,3663,1172,0,170,2.64,0,0,0,1
transmog1,-2.92,0.78,-1.18,3664,1172,0,170,-2.79,0,0,0,1
mount1,-0.91,-1.09,-1.76,3665,1173,0,170,2.64,0,0,0,1
transmog1,-2.91,0.8,-0.91,3666,1173,0,170,-2.79,0,0,0,1
transmog1,-2.45,0.52,-1.17,3667,1174,0,170,2.88,0,0,0,1
transmog2,-1.94,-0.48,-1.16,3668,1174,0,170,-2.72,0,0,0,1
transmog1,-3,0.55,-0.9,3669,1175,0,170,2.88,0,0,0,1
transmog2,-2.9,-0.45,-0.9,3670,1175,0,170,-2.7227137,0,0,0,1
override,0,0,0,3676,1180,2,430,2.2863812,0,0,0,1
override,0,0,0,3677,1181,2,430,2.2863812,0,0,0,1
pet,0,0,-4.25,3678,1182,0,425,0,0,0,0.75,1
pet,0,0,-2.5,3679,1183,0,170,0,0,0,0.35,1
pet,0,0,0,3680,1184,0,425,0,0,0,0,1
pet,0,0,-1.5,3681,1185,0,170,0,0,0,0,1
pet,0,0,0,3682,1186,0,425,0,0,0,0,1
pet,0,0,0,3683,1187,0,425,0,0,0,0,1
pet,0,0,0,3684,1188,0,425,0,0,0,0,1
pet,0,0,0,3685,1189,0,425,0,0,0,0.6,1
pet,0,0,0,3686,1190,0,425,0,0,0,0,1
pet,0,0,0,3687,1191,0,425,0,0,0,0,1
pet,0,0,0,3688,1192,0,425,0,0,0,0,1
pet,0,0,0,3689,1193,0,425,0,0,0,0,1
mount,0,0,0,3690,1194,0,6,0,0,0,0.25,1
pet,0,0,0,3691,1195,0,425,0,0,0,0.25,1
pet,0,0,0,3692,1196,0,425,0,0,0,0,1
pet,0,0,0,3693,1197,0,425,0,0,0,0,1
pet,0,0,0,3694,1198,6,425,0,0,0,0,1
pet,0,0,0,3695,1199,0,425,0,0,0,0.25,1
pet,0,0,0,3696,1200,0,170,0,0,0,0,1
mount,0,0,0,3697,1201,0,6,0,0,0,0.15,1
player-rider,0,0,0,3698,1201,0,170,0,0,0,0,1
fanfare,0,0,0,3699,1201,0,426,0,0,0,0,1
mount,0,0,0,3700,1202,0,6,0,0,0,0.25,1
mount,0,0,0,3701,1203,0,6,0,0,0,0.25,1
player-rider,0,0,0,3702,1203,0,170,0,0,0,0,1
fanfare,0,0,0,3703,1203,0,426,0,0,0,0,1
mount,0,0,0.5,3704,1204,0,6,0,0,0,0.25,1
mount,0,0,0,3705,1205,0,6,0,0,0,0.25,1
mount,0,0,1,3706,1206,0,6,0,0,0,0.25,1
mount,0,0,0,3707,1207,0,6,0,0,0,0.15,1
player-rider,0,0,0,3708,1207,0,170,0,0,0,0,1
fanfare,0,0,0,3709,1207,0,426,0,0,0,0,1
mount,0,0,0,3710,1208,0,6,0,0,0,0.25,1
player-rider,0,0,0,3711,1208,0,170,0,0,0,0,1
fanfare,0,0,0,3712,1208,0,426,0,0,0,0,1
transmog1,-3,0.45,-0.9,3713,1209,0,170,2.88,0,0,0,1
transmog2,-2.5,-0.45,-0.9,3714,1209,0,170,-2.7227137,0,0,0,1
transmog1,-2.45,0.52,-1.17,3715,1210,0,170,2.88,0,0,0,1
transmog2,-1.94,-0.48,-1.16,3716,1210,0,170,-2.72,0,0,0,1
mount,0,0,2,3717,1211,0,6,0,0,0,0.25,1
mount,0,0,0,3718,1212,0,6,0,0,0,0.15,1
player-rider,0,0,0,3719,1212,0,170,0,0,0,0,1
fanfare,0,0,0,3720,1212,0,426,0,0,0,0,1
mount,0,0,0,3721,1213,0,6,0,0,0,0.25,1
pet,0,0,-2,3722,1214,0,170,0,0,0,1,1
pet,0,0,-2,3723,1215,0,170,0,0,0,0.5,1
pet,0,0,-1.15,3724,1216,0,170,0,0,0,0.6,1
pet,1,0,-2.5,3725,1217,0,170,0,0,0,1,1
player-rider,0,0,0,3726,1083,0,170,0,0,0,0,1
fanfare,0,0,0,3727,1083,0,426,0,0,0,0,1
mount,0,0,0,3728,1147,0,6,0,0,0,0.25,1
player-rider,0,0,0,3729,1147,0,170,0,0,0,0,1
fanfare,0,0,0,3730,1147,0,426,0,0,0,0,1
player-rider,0,0,0,3731,1194,0,170,0,0,0,0,1
mount,0,0,0,3732,1218,0,6,0,0,0,0.25,1
player-rider,0,0,0,3733,1218,0,170,0,0,0,0,1
mount,0,0,0,3734,1219,0,6,0,0,0,0.25,1
player-rider,0,0,0,3735,1219,0,170,0,0,0,0,1
fanfare,0,0,0,3736,1219,0,426,0,0,0,0,1
mount,0,0,0,3760,1223,0,6,0,0,0,0.25,1
player-rider,0,0,0,3761,1223,0,170,0,0,0,0,1
mount,0,0,0,3762,1224,0,6,0,0,0,0.25,1
player-rider,0,0,0,3763,1224,0,170,0,0,0,0,1
fanfare,0,0,0,3764,1224,0,426,0,0,0,0,1
fanfare,0,0,0,3765,1199,0,426,0,0,0,0,1
fanfare,0,0,0,3766,1089,0,426,0,0,0,0,1
player-rider,0,0,0,3767,1202,0,170,0,0,0,0,1
player-rider,0,0,0,3768,1213,0,170,0,0,0,0,1
pet,0,0,0,3769,1225,0,425,0,0,0,0,1
pet,0,0,0,3770,1226,0,425,0,0,0,0.25,1
fanfare,0,0,0,3771,1226,0,426,0,0,0,0,1
decor,0,0,0,3772,1227,0,170,0,0,0,0,1
fanfare,0,0,0,3773,1227,0,170,0,0,0,0,1
decor,0,0,0,3774,1228,0,170,0,0,0,0,1
decor,0,0,0,3776,1229,0,170,0,0,0,0,1
pet,0,0,0,3777,1230,0,425,0,0,0,0.25,1
fanfare,0,0,0,3778,1230,0,426,0,0,0,0,1
pet,0,0,0,3779,1231,0,170,0,0,0,0,1
decor,0,0,0,3780,1232,0,170,0,0,0,0,1
mount,0,0,0,3781,1233,0,6,0,0,0,0.25,1
player-rider,0,0,0,3782,1233,0,170,0,0,0,0,1
mount,0,0,0,3783,1234,0,6,0,0,0,0.25,1
player-rider,0,0,0,3784,1234,0,170,0,0,0,0,1
fanfare,0,0,0,3785,1234,0,426,0,0,0,0,1
decor,0,0,0,3786,1235,0,170,0,0,0,0,1
decor,0,0,0,3787,1236,0,170,0,0,0,0,1
fanfare,0,0,0,3788,1236,0,170,0,0,0,0,1
mount,0,0,0,3789,1237,0,6,0,0,0,0.25,1
player-rider,0,0,0,3790,1237,0,170,0,0,0,0,1
mount,0,0,0,3791,1238,0,6,0,0,0,0.25,1
player-rider,0,0,0,3792,1238,0,170,0,0,0,0,1
decor,0,0,0,3793,1239,0,170,0,0,0,0,1
mount1,3.89,3.89,-2.97,3804,1241,0,6,2.78,0,0,0.5,1
mount2,-5.37,-0.76,-2.49,3806,1241,0,6,2.83,0,0,0.5,1
mount1,10.01,0.01,-1.99,3813,1242,0,6,2.43,0,0,0.18,1
mount3,0.14,-0.76,3.01,3843,1241,0,6,-2.78,0,0,0.5,1
mount4,2.35,-5.37,-2.59,3844,1241,0,6,-2.83,0,0,0.5,1
mount1,0.1,1.25,-1.75,3850,1244,0,170,2.5132742,0,0,0,1
mount2,18.02,1.55,1.02,3851,1244,0,170,-2.22,0,0,0,1
transmog1,0.05,-1.7,-1,3852,1244,0,454,-2.5,0,0,0,1
fanfare,0,0,0,3853,1185,0,426,0,0,0,0,1
mount,0,0,0,3857,1246,0,6,0,0,0,0.25,1
player-rider,0,0,0,3858,1246,0,170,0,0,0,0,1
fanfare,0,0,0,3859,1246,0,426,0,0,0,0,1
mount,0,0,0,3860,1247,0,6,0,0,0,0.1,1
player-rider,0,0,0,3861,1247,0,170,0,0,0,0,1
mount,0,0,0,3862,1248,0,6,0,0,0,0.1,1
player-rider,0,0,0,3863,1248,0,170,0,0,0,0,1
fanfare,0,0,0,3864,1248,0,426,0,0,0,0,1
mount,0,0,0,3865,1249,0,6,0,0,0,0.25,1
player-rider,0,0,0,3866,1249,0,170,0,0,0,0,1
mount,0,0,0,3867,1250,0,6,0,0,0,0.25,1
player-rider,0,0,0,3868,1250,0,170,0,0,0,0,1
mount,0,0,0,3869,1251,0,6,0,0,0,0.25,1
player-rider,0,0,0,3870,1251,0,170,0,0,0,0,1
fanfare,0,0,0,3871,1251,0,426,0,0,0,0,1
mount,0,0,0,3872,1252,0,6,0,0,0,0.25,1
player-rider,0,0,0,3873,1252,0,170,0,0,0,0,1
player-rider,0,0,0,3874,1025,0,170,0,0,0,0,1
mount,0,0,0,3875,1253,0,6,0,0,0,0.25,1
player-rider,0,0,0,3876,1253,0,170,0,0,0,0,1
mount,0,0,0,3877,1254,0,6,0,0,0,0.25,1
player-rider,0,0,0,3878,1254,0,170,0,0,0,0,1
fanfare,0,0,0,3881,1182,0,426,0,0,0,0,1
fanfare,0,0,0,3883,1198,0,426,0,0,0,0,1
fanfare,0,0,0,3884,1195,0,426,0,0,0,0,1
fanfare,0,0,0,3885,1193,0,426,0,0,0,0,1
fanfare,0,0,0,3886,1191,0,426,0,0,0,0,1
fanfare,0,0,0,3887,1190,0,426,0,0,0,0,1
fanfare,0,0,0,3888,1189,0,426,0,0,0,0,1
fanfare,0,0,0,3889,1187,0,426,0,0,0,0,1
fanfare,0,0,0,3890,1186,0,426,0,0,0,0,1
fanfare,0,0,0,3891,1092,0,426,0,0,0,0,1
fanfare,0,0,0,3892,1057,0,426,0,0,0,0,1
fanfare,0,0,0,3893,1050,0,426,0,0,0,0,1
fanfare,0,0,0,3894,1095,0,426,0,0,0,0,1
player-rider,0,0,0,3895,1206,0,170,0,0,0,0,1
player-rider,0,0,0,3896,1205,0,170,0,0,0,0,1
player-rider,0,0,0,3897,1204,0,170,0,0,0,0,1
player-rider,0,0,0,3898,1084,0,170,0,0,0,0,1
player-rider,0,0,0,3899,1081,0,170,0,0,0,0,1
player-rider,0,0,0,3900,1080,0,170,0,0,0,0,1
fanfare,0,0,0,3901,1080,0,426,0,0,0,0,1
player-rider,0,0,0,3902,1211,0,170,0,0,0,0,1
player-rider,0,0,0,3903,1033,0,170,0,0,0,0,1
mount,0,0,0,3904,1255,0,6,0,0,0,0.25,1
player-rider,0,0,0,3905,1255,0,170,0,0,0,0,1
pet,0,0,0,3906,1256,0,170,0,0,0,0.15,1
pet,0,0,0,3907,1257,0,425,0,0,0,1,1
fanfare,0,0,0,3908,1257,0,426,0,0,0,0,1
mount1,-3.99,3.01,-1.59,3910,1259,0,170,-2.39,0,0,0.1,1
pet1,0.01,-9.99,-4.99,3911,1259,0,170,2.39,0,0,0.2,1
mount1,0.03,1.01,-1.59,3912,1260,0,170,-2.39,0,0,0.1,1
pet1,0.01,-15.99,-3.49,3913,1260,0,170,2.39,0,0,0.3,1
mount1,0.01,0.51,-1.49,3915,1262,0,170,-2.58,0,0,0,1
transmog1,0.03,-1.49,-1.29,3916,1262,0,170,2.72,0,0,0,1
mount1,0.03,0.51,-1.69,3917,1263,0,170,-2.58,0,0,0,1
transmog1,0.03,-1.49,-1.29,3918,1263,0,170,2.72,0,0,0,1
pet,0,0,0,3919,1264,0,425,0,0,0,0,1
fanfare,0,0,0,3920,1264,0,426,0,0,0,0,1
pet,0,0,0,3921,1265,0,425,0,0,0,0,1
fanfare,0,0,0,3922,1265,0,426,0,0,0,0,1
unwrapped,0,0,2.5,3924,1267,9,245,0.08726646,0,0,1,1
wrapped,0,0,0.3,3925,1267,0,246,0,0.17453292,0,0,1
unwrapped,0,0,2.5,3926,1268,9,245,-0.17453292,0.2617994,0,1,1
wrapped,0,0,0.3,3927,1268,0,246,0,0.17453292,0,0,1
unwrapped,0,0,1,3928,1269,9,245,0,0,0,1,1
wrapped,0,0,0.3,3929,1269,0,246,0,0.17453292,0,0,1
unwrapped,0,0,0.5,3930,1270,9,245,0.08726646,0,0,1,1
wrapped,0,0,0.3,3931,1270,0,246,0,0.17453292,0,0,1
unwrapped,0,0,0.5,3932,1271,9,245,0,0,0,1,1
wrapped,0,0,0.3,3933,1271,0,246,0,0.17453292,0,0,1
unwrapped,0,0,2.5,3934,1272,9,245,0,0,0,1,1
wrapped,0,0,0.3,3935,1272,0,246,0,0.17453292,0,0,1
unwrapped,0,0,0.75,3936,1273,9,245,0,0,0,0.5,1
wrapped,0,0,0.3,3937,1273,0,246,0,0.17453292,0,0,1
pet1,0,-10,-27.15,3942,1244,0,425,-2.81,0,0,1.17,1
mount1,2.35,0.76,-1.02,3976,1293,0,170,2.8300512,0,0,0,1
mount2,3.05,-1.24,-1.02,3977,1293,0,170,-2.8399997,0,0,0,1
transmog1,-3.45,0.39,-1.36,3978,1293,0,170,2.7799604,0,0,0,1
transmog2,-0.7,2.8,-0.88,3979,1293,0,170,-2.6199138,0,0,0,1
transmog3,-3.15,-0.5,-1.36,3980,1293,0,170,-2.719921,0,0,0,1
transmog4,-0.7,-3,-0.86,3981,1293,0,170,2.5307274,0,0,0,1
mount1,2.35,0.75,-1.02,3982,1294,0,170,2.83,0,0,0,1
mount2,3.05,-1.24,-1.02,3983,1294,0,170,-2.84,0,0,0,1
transmog1,-2.29,0.41,-0.97,3984,1294,0,170,2.78,0,0,0,1
transmog2,-0.72,2.76,-0.88,3985,1294,0,170,-2.62,0,0,0,1
transmog3,-2.27,-0.49,-0.98,3986,1294,0,170,-2.72,0,0,0,1
transmog4,-0.7,-2.74,-0.86,3987,1294,0,170,2.69,0,0,0,1
transmog1,2.01,2.51,-0.95,3988,1295,0,170,3.02,0,0,0,1
transmog2,1.01,1.41,-0.99,3989,1295,0,170,2.88,0,0,0,1
transmog3,0.01,0.31,-0.99,3990,1295,0,170,3.07,0,0,0,1
transmog4,1.51,-1.89,-0.99,3991,1295,0,170,-2.97,0,0,0,1
transmog5,2.01,-2.99,-0.95,3992,1295,0,170,-2.83,0,0,0,1
transmog6,0.01,-0.6,-0.95,3993,1295,0,170,-2.9670596,0,0,0,1
transmog3,0.01,0.31,-0.99,3994,1296,16,170,3.054326,0,0,0,1
transmog4,1.51,-1.89,-0.99,3995,1296,16,170,-2.9670596,0,0,0,1
transmog5,2.01,-2.99,-0.95,3996,1296,16,170,-2.83,0,0,0,1
transmog6,0.01,-0.5,-0.95,3997,1296,16,170,-2.8797932,0,0,0,1
transmog1,2.01,2.51,-0.95,3998,1296,16,170,3.02,0,0,0,1
transmog2,1.01,1.41,-0.99,3999,1296,16,170,2.88,0,0,0,1
mount,0,0,0,4000,1297,0,6,0,0,0,0.35,1
player-rider,0,0,0,4001,1297,0,170,0,0,0,0,1
fanfare,0,0,0,4002,1297,0,426,0,0,0,0,1
mount,0,0,0,4003,1298,0,6,0,0,0,0.25,1
player-rider,0,0,0,4004,1298,0,170,0,0,0,0,1
mount1,0.05,1.28,-1.2,4006,1300,0,170,2.22,0,0,0.05,1
pet1,0.01,6.51,-2.7,4007,1300,0,170,2.57,0,0,1,1
transmog1,-0.49,-1.31,-0.99,4008,1300,0,170,-2.95,0,0,0,1
mount1,0,1.32,-1.17,4009,1301,0,170,2.22,0,0,0.05,1
pet1,-6.42,3.76,-2.93,4010,1301,0,170,2.51,0,0,1,1
transmog1,-0.48,-1.3,-0.98,4011,1301,0,170,-2.97,0,0,0,1
mount,0,0,0,4012,1302,0,6,0,0,0,0.25,1
player-rider,0,0,0,4013,1302,0,170,0,0,0,0,1
pet,0,0,0,4019,1308,0,170,0,0,0,0.1,1
pet,0,0,0,4020,1309,0,425,0,0,0,0.25,1
fanfare,0,0,0,4021,1309,0,426,0,0,0,0,1
pet,0,0,0,4022,1310,0,170,0,0,0,0,1
pet,0,0,0,4023,1311,0,425,0,0,0,0.25,1
fanfare,0,0,0,4024,1311,0,426,0,0,0,0,1
pet,0,0,0,4025,1312,0,170,0,0,0,0,1
pet,0,0,0,4026,1313,0,425,0,0,0,0,1
fanfare,0,0,0,4027,1313,0,426,0,0,0,0,1
mount,0,0,0,4028,1314,0,6,0,0,0,0.25,1
player-rider,0,0,0,4029,1314,0,170,0,0,0,0,1
mount,0,0,0,4030,1315,0,6,0,0,0,0.25,1
player-rider,0,0,0,4031,1315,0,170,0,0,0,0,1
fanfare,0,0,0,4032,1315,0,426,0,0,0,0,1
mount,0,0,0,4033,1316,0,6,0,0,0,0.25,1
player-rider,0,0,0,4034,1316,0,170,0,0,0,0,1
mount1,0,1.32,-1.17,4039,1321,0,170,2.22,0,0,0.05,1
pet1,-6.42,4.5,-2.25,4040,1321,0,170,2.51,0,0,1,1
transmog1,-0.48,-1.3,-0.98,4041,1321,0,170,-2.97,0,0,0,1
pet,0,0,0,4042,1322,0,425,0,0,0,0,1
fanfare,0,0,0,4043,1322,0,426,0,0,0,0,1
mount,0,0,0,4044,1323,0,6,0,0,0,0.25,1
player-rider,0,0,0,4045,1323,0,170,0,0,0,0,1
fanfare,0,0,0,4046,1323,0,426,0,0,0,0,1
mount1,3.85,3.9,-3.47,4047,1324,0,170,2.69,0,0,0,1
mount2,-6.99,0.01,1.76,4048,1324,0,460,2.39,0,0,0,1
mount3,-2.3,-4.98,-2.99,4049,1324,0,170,-2.64,0,0,0.05,1
mount4,0.03,3.03,1.06,4050,1324,0,170,-2.23,0,0,0,1
mount,0,0,0,4056,1327,0,6,0,0,0,0.25,1
player-rider,0,0,0,4057,1327,0,170,0,0,0,0,1
mount,0,0,0,4058,1328,0,6,0,0,0,0.25,1
player-rider,0,0,0,4059,1328,0,170,0,0,0,0,1
fanfare,0,0,0,4060,1328,0,426,0,0,0,0,1
mount,0,0,0,4061,1329,0,6,0,0,0,0.25,1
player-rider,0,0,0,4062,1329,0,170,0,0,0,0,1
mount1,8.46,0.02,-1.98,4063,1330,0,170,-3.14,0,0,0,1
mount2,-8.99,1.91,-1.48,4064,1330,0,170,2.64,0,0,0,1
mount3,-2.29,-4.97,-2.98,4065,1330,0,170,-2.65,0,0,0.05,1
mount4,0.05,3.05,1.07,4066,1330,0,170,-2.23,0,0,0,1
mount,0,0,0,4067,1331,0,6,0,0,0,0.25,1
player-rider,0,0,0,4068,1331,0,170,0,0,0,0,1
mount,0,0,0,4069,1332,0,6,0,0,0,0.25,1
player-rider,0,0,0,4070,1332,0,170,0,0,0,0,1
fanfare,0,0,0,4071,1332,0,426,0,0,0,0,1
mount1,0,0,0,4103,1362,0,6,0,0,0,0.25,1
player-rider1,0,0,0,4104,1362,0,170,0,0,0,0,1
fanfare,0,0,0,4105,1362,0,426,0,0,0,0,1
mount1,0.03,4.51,-1.15,4117,1375,0,170,-2.51,0,0,0.05,1
pet1,-11.87,-1.24,1.76,4118,1375,0,170,2.3,0,0,1,1
mount2,-2.37,-2.99,-0.79,4120,1375,0,170,2.41,0,0,0.05,1
mount1,0.03,4.51,-1.15,4121,1376,0,170,-2.51,0,0,0.05,1
pet1,-11.87,-1.24,1.76,4122,1376,0,170,2.3,0,0,1,1
mount2,-2.37,-2.99,-0.79,4123,1376,0,170,2.41,0,0,0.05,1
pet,0,0,0,4124,1377,0,170,0,0,0,0,1
pet,0,0,0,4125,1378,0,425,0,0,0,1,1
fanfare,0,0,0,4126,1378,0,426,0,0,0,0,1
mount,0,0,0,4127,1379,0,6,0,0,0,0.25,1
player-rider,0,0,0,4128,1379,0,170,0,0,0,0,1
fanfare,0,0,0,4129,1379,0,426,0,0,0,0,1
decor,0.01,0.01,0.01,4321,1413,0,170,0,0,0,0,1
decor,0.02,0.02,0.02,4322,1414,0,170,1.57,0,0,0,1
fanfare,0,0,0,4323,1414,0,170,0,0,0,0,1
mount1,0.01,0.51,-1.49,4324,1415,0,170,-2.58,0,0,0,1
transmog1,0.03,-1.49,-1.29,4325,1415,0,170,2.72,0,0,0,1
mount1,0,0.51,-1.69,4326,1416,0,170,-2.58,0,0,0.08,1
transmog1,0,-1.49,-1.1,4327,1416,0,170,2.72,0,0,0,1
mount,0,0,0,4328,1417,0,6,0,0,0,0.25,1
player-rider,0,0,0,4329,1417,0,170,0,0,0,0,1
mount,0,0,0,4330,1418,0,6,0,0,0,0.25,1
player-rider,0,0,0,4331,1418,0,170,0,0,0,0,1
fanfare,0,0,0,4332,1418,0,426,0,0,0,0,1
mount,0,0,0,4333,1419,0,6,0,0,0,0.25,1
player-rider,0,0,0,4334,1419,0,170,0,0,0,0,1
mount,0,0,0,4335,1420,0,6,0,0,0,0.25,1
player-rider,0,0,0,4336,1420,0,170,0,0,0,0,1
fanfare,0,0,0,4337,1420,0,426,0,0,0,0,1
pet,0,0,0,4338,1421,0,425,0,0,0,0,1
pet,0,0,-1.5,4339,1422,0,170,0,0,0,0,1
fanfare,0,0,0,4340,1422,0,426,0,0,0,0,1
mount,0,0,0,4345,1425,0,6,0,0,0,0.25,1
player-rider,0,0,0,4346,1425,0,170,0,0,0,0,1
mount,0,0,0,4347,1426,0,6,0,0,0,0.25,1
player-rider,0,0,0,4348,1426,0,170,0,0,0,0,1
fanfare,0,0,0,4349,1426,0,426,0,0,0,0,1
pet,0,0,0,4350,1427,0,425,0,0,0,0,1
pet,0,0,0,4351,1428,0,425,0,0,0,0,1
fanfare,0,0,0,4352,1428,0,426,0,0,0,0,1
mount1,0,0,0,4357,1430,0,6,2.443461,0,0,0.35,1
mount1,1.96,1.9,-1.47,4366,1433,0,170,-2.26,0,0,0,1
transmog1,-2.82,-1.53,-0.89,4367,1433,0,170,2.71,0,0,0,1
pet1,0.03,2.65,-3.57,4368,1433,0,170,-2.26,0,0,0.44,1
mount1,0.04,1.9,-1.68,4369,1434,0,170,-2.5,0,0,0,1
transmog1,-0.22,-1.03,-1.27,4370,1434,0,170,2.71,0,0,4.28,1
pet1,-0.47,-4.27,-1.59,4371,1434,0,170,2.28,0,0,0.34,1
decor1,0.22,-0.81,-0.28,4384,1447,0,170,-2.37,0,0,0,1
decor2,0.22,0.66,-0.28,4385,1447,0,170,-0.96,0,0,0,1
decor1,0.08,-0.47,0.31,4386,1448,0,170,-2.3,0,0,0,1
decor2,0.05,0.87,0.3,4387,1448,0,170,-0.86,0,0,0,1
transmog1,-0.62,0.05,-0.99,4399,1455,0,170,3.14,0,0,0,1
transmog2,0.61,-1.02,-0.88,4400,1455,0,170,-2.72,0,0,0,1
transmog3,0.41,1.03,-0.96,4401,1455,0,170,2.72,0,0,0,1
mount,0,0,0,4404,1457,0,6,0,0,0,0.25,1
player-rider,0,0,0,4405,1457,0,170,0,0,0,0,1
fanfare,0,0,0,4406,1457,0,426,0,0,0,0,1
mount1,2.96,4.19,-1.84,4407,1458,0,6,2.78,0,0,0.45,1
mount2,-3.4,0.65,-1.89,4408,1458,0,6,3.04,0.03,0,0.45,1
mount3,-4.32,-1.84,-1.47,4409,1458,0,6,-3,0.21,0,0.45,1
mount4,2.01,-5.55,-1.94,4410,1458,0,6,-2.84,0.1,0,0.45,1
mount1,2.63,4.49,-1.68,4411,1459,0,170,2.86,0,0,-1,1
mount2,-2.85,0.7,-1.38,4412,1459,0,170,3.04,0,0,-1,1
mount3,-3.13,-2.03,-1.11,4413,1459,0,170,-3.02,0.16,0,-1,1
mount4,1.11,-5.18,-1.56,4414,1459,0,0,-2.84,-0.02,0,-1,1
harronir,0,0,0,4428,970,2,221,-0.9599311,0,0,0,1
harronir,0,0,0,4429,991,2,221,-0.9599311,0,0,0,1
harronir,0,0,0,4430,1047,2,221,-0.9599311,0,0,0,1
pet1,11.61,8.3,-4.17,4459,1468,0,170,2.81,0,0,0.1,1
pet2,15.03,11.81,-0.01,4460,1468,0,170,2.9,0,0,0,1
pet3,-7.76,4.68,0.39,4461,1468,0,170,2.71,0,0,0,1
pet4,10.11,-12.22,-3.36,4462,1468,0,170,-2.58,0,0,0,1
pet5,-0.59,2.35,1.85,4463,1468,0,170,3.11,0,0,0,1
pet6,18.97,-8.72,-2.43,4464,1468,0,170,-2.93,0,0,0,1
pet7,-7.06,-6.67,-2.15,4465,1468,0,170,-2.91,0,0,0,1
pet8,16.96,-13.44,0.03,4466,1468,0,170,-3.11,0,0,0,1
pet9,-0.99,10.39,-3.04,4467,1468,0,170,2.5,0,0,0.06,1
pet10,-6.81,-1.04,1.45,4468,1468,0,170,-2.72,0,0,0,1
pet11,16.01,-6.92,-3.24,4469,1468,0,170,-3.09,0,0,0.11,1
pet12,-7.89,-0.81,-2.52,4470,1468,0,170,-2.72,0.05,0.03,0,1
pet13,0.05,2.86,-3.49,4471,1468,0,170,2.95,0,-0.12,0,1
pet14,-17.6,2.31,-1.55,4472,1468,0,170,2.9,0,0,0,1
pet15,-19.82,-2.02,-1.23,4474,1468,0,170,-2.81,0,0.07,0,1
pet16,-19.86,0.71,-19.86,4475,1468,0,425,-3.14,0,-0.02,0.29,1
pet17,2.69,11.1,-2.61,4476,1468,0,170,2.64,0,0,0,1
pet18,-2.17,-2.92,-3.01,4477,1468,0,170,-2.58,0,0,0,1
pet19,-19.8,-2.04,-2.04,4478,1468,0,170,-3.05,0,0,0,1
pet20,-14.21,-7.59,-3.34,4479,1468,0,170,-2.86,0,0,0.11,1
pet21,13.92,-7.76,2.57,4480,1468,0,170,-2.93,0,0,0,1
pet22,-1.6,6.93,-2.62,4481,1468,0,170,2.9,0,0,0,1
pet23,-8.07,4.79,-2.22,4482,1468,0,170,3.11,0,0,0,1
pet12,-8.76,-0.65,-2.39,4534,1471,0,170,-2.72,0,0,0,1
pet13,-1.07,2.8,-3.04,4535,1471,0,170,2.95,0,0,0,1
pet14,-17.68,2.41,-1.63,4536,1471,0,170,2.91,0,0,0,1
pet15,-19.92,-2.84,-1.2,4537,1471,0,170,-2.81,-0.1,0,0,1
pet16,-19.93,0.65,-19.93,4538,1471,0,425,-3.14,0,0,0.29,1
pet17,-0.22,10.81,-2.64,4539,1471,0,170,2.65,0,0,0,1
pet18,-2.62,-2.79,-2.87,4540,1471,0,170,-2.58,0,0,0,1
pet19,-19.87,-1.96,-2.04,4541,1471,0,170,-3.04,0,0,0,1
pet20,1.78,-4.97,-3.04,4542,1471,0,170,-2.58,0,0,0,1
pet21,9.97,-4.96,3.95,4543,1471,0,170,-2.93,0.45,0,0,1
pet22,-1.93,7.6,-2.68,4544,1471,0,170,2.9,0,0,0,1
