ID,Text_lang,RelationshipFlags,EmotesTextID
758,%s plays the world's smallest violin for you.,1,143
759,You play the world's smallest violin for %s.,2,143
760,%s begins to play the world's smallest violin.,4,143
761,You begin to play the world's smallest violin.,6,143
762,%s smiles at %s.,0,163
763,%s smiles at you.,1,163
764,You smile at %s.,2,163
765,%s smiles.,4,163
766,You smile.,6,163
777,%s lets %s know that she is ready!,8,126
778,%s makes a rude gesture at %s.,0,183
779,%s makes a rude gesture at you.,1,183
780,You make a rude gesture at %s.,2,183
781,%s makes a rude gesture.,4,183
782,You make a rude gesture.,6,183
797,%s looks down upon %s with pity.,0,203
798,%s looks down upon you with pity.,1,203
799,You look down upon %s with pity.,2,203
800,%s pities those around him.,4,203
801,%s pities those around her.,12,203
802,You pity those around you.,6,203
803,%s growls menacingly at %s.,0,204
804,%s growls menacingly at you.,1,204
805,You growl menacingly at %s.,2,204
806,%s growls menacingly.,4,204
807,You growl menacingly.,6,204
808,%s barks at %s.,0,205
809,%s barks at you.,1,205
810,You bark at %s.,2,205
811,%s barks. Woof woof!,4,205
812,You bark. Woof woof!,6,205
817,%s is scared of %s.,0,223
818,%s is scared of you.,1,223
819,You are scared of %s.,2,223
820,%s is scared!,4,223
821,You are scared!,6,223
822,%s flops about helplessly around %s.,0,224
823,%s flops about helplessly around you.,1,224
824,You flop about helplessly around %s.,2,224
825,%s flops about helplessly.,4,224
826,You flop about helplessly.,6,224
827,%s loves %s.,0,225
828,%s loves you.,1,225
829,You love %s.,2,225
830,%s feels the love.,4,225
831,You feel the love.,6,225
832,%s moos at %s. Mooooooooooo.,0,226
833,%s moos at you. Mooooooooooo.,1,226
834,You moo at %s. Mooooooooooo.,2,226
835,%s moos. Mooooooooooo.,4,226
836,Mooooooooooo.,6,226
837,%s commends %s on a job well done.,0,243
838,%s commends you on a job well done.,1,243
839,You commend %s on a job well done.,2,243
840,%s commends everyone on a job well done.,4,243
841,You commend everyone on a job well done.,6,243
862,,0,303
863,,1,303
864,,2,303
865,%s cries out for help!,4,303
866,You cry out for help!,6,303
867,"%s points out the incoming enemy, %s!",0,304
868,%s points you out as an incoming enemy!,1,304
869,You point out %s as an incoming enemy!,2,304
870,%s warns everyone of incoming enemies!,4,304
871,You warn everyone of incoming enemies!,6,304
872,,0,305
873,,1,305
874,,2,305
875,%s starts to charge.,4,305
876,You start to charge.,6,305
877,%s yells for %s to flee!,0,306
878,%s yells for you to flee!,1,306
879,You yell for %s to flee!,2,306
880,%s yells for everyone to flee!,4,306
881,You yell for everyone to flee!,6,306
882,%s tells you to attack %s.,0,307
883,%s tells everyone to attack you.,1,307
884,You tell everyone to attack %s.,2,307
885,%s tells you to attack something.,4,307
886,You tell everyone to attack something.,6,307
887,%s is low on mana.,4,323
888,You announce that you have low mana!,6,323
889,%s motions for %s to follow.,0,324
890,%s motions for you to follow.,1,324
891,You motion for %s to follow.,2,324
892,%s motions for you to follow.,4,324
893,You motion for everyone to follow.,6,324
894,%s asks %s to wait.,0,325
895,%s asks you to wait.,1,325
896,You ask %s to wait.,2,325
897,%s asks you to wait.,4,325
898,You ask everyone to wait.,6,325
899,%s calls out for healing!,4,326
900,You call out for healing!,6,326
901,%s orders you to open fire.,4,327
902,You give the order to open fire.,6,327
903,%s flirts with %s.,0,328
904,%s flirts with you.,1,328
905,You flirt with %s.,2,328
906,%s flirts.,4,328
907,You flirt.,6,328
908,%s tells a joke to %s.,0,329
909,%s tells you a joke.,1,329
910,You tell %s a joke.,2,329
911,%s tells a joke.,4,329
912,You tell a joke.,6,329
913,"%s claps for %s, clearly unimpressed.",0,343
914,"%s claps for you, clearly unimpressed.",1,343
915,"You clap for %s, clearly unimpressed.",2,343
916,"%s claps half-heartedly, clearly unimpressed.",4,343
917,"You clap half-heartedly, clearly unimpressed.",6,343
918,%s winks slyly at %s.,0,363
919,%s winks slyly at you.,1,363
920,You wink slyly at %s.,2,363
921,%s winks slyly.,4,363
922,You wink slyly.,6,363
923,%s gently pats %s.,0,364
924,%s gently pats you.,1,364
925,You gently pat %s.,2,364
926,%s needs a pat.,4,364
927,You need a pat.,6,364
928,%s thinks %s is serious.,0,365
929,%s thinks you are serious.,1,365
930,You think %s is serious.,2,365
931,%s thinks this is serious business.,4,365
932,You think this is serious business.,6,365
933,%s wishes %s good luck.,0,367
934,%s wishes you good luck.,1,367
935,You wish %s good luck.,2,367
936,%s wishes for some good luck.,4,367
937,You wish for some good luck.,6,367
938,%s blames %s for everything.,0,368
939,%s blames you for everything.,1,368
940,You blame %s for everything.,2,368
941,%s blames himself for what happened.,4,368
942,You blame yourself for what happened.,6,368
943,%s blames herself for what happened.,12,368
944,%s stares blankly at %s.,0,369
945,%s stares blankly at you.,1,369
946,You stare blankly at %s.,2,369
947,%s stares blankly at his surroundings.,4,369
948,You stare blankly at your surroundings.,6,369
949,%s stares blankly at her surroundings.,12,369
950,%s brandishes his weapon fiercely at %s.,0,370
951,%s brandishes his weapon fiercely at you.,1,370
952,You brandish your weapon fiercely at %s.,2,370
953,%s brandishes his weapon fiercely.,4,370
954,You brandish your weapon fiercely.,6,370
955,%s brandishes her weapon fiercely at %s.,8,370
956,%s brandishes her weapon fiercely at you.,9,370
957,%s brandishes her weapon fiercely.,12,370
958,%s tells %s to take a deep breath.,0,371
959,%s tells you to take a deep breath.,1,371
960,You tell %s to take a deep breath.,2,371
961,%s takes a deep breath.,4,371
962,You take a deep breath.,6,371
963,%s disagrees with %s.,0,372
964,%s disagrees with you.,1,372
965,You disagree with %s.,2,372
966,%s disagrees.,4,372
967,You disagree.,6,372
968,%s doubts %s.,0,373
969,%s doubts you.,1,373
970,You doubt %s.,2,373
971,%s doubts the situation will end in his favor.,4,373
972,You doubt the situation will end in your favor.,6,373
973,%s doubts the situation will end in her favor.,12,373
974,%s is embarrassed by %s.,0,374
975,%s is embarrassed by you.,1,374
976,You are embarrassed by %s.,2,374
977,%s flushes with embarrassment.,4,374
978,You flush with embarrassment.,6,374
979,%s encourages %s.,0,375
980,%s encourages you. You can do it!,1,375
981,You encourage %s.,2,375
982,%s encourages everyone around him. You can do it!,4,375
983,You encourage everyone around you.,6,375
984,%s encourages everyone around her. You can do it!,12,375
985,%s warns %s that an enemy is near.,0,376
986,%s warns you that an enemy is near.,1,376
987,You warn %s that an enemy is near.,2,376
988,%s warns everyone that an enemy is near.,4,376
989,You warn everyone that an enemy is near.,6,376
990,%s raises his eyebrow inquisitively at %s.,0,377
991,%s raises his eyebrow inquisitively at you.,1,377
992,You raise your eyebrow inquisitively at %s.,2,377
993,%s raises his eyebrow inquisitively.,4,377
994,You raise your eyebrow inquisitively.,6,377
995,%s raises her eyebrow inquisitively at %s.,8,377
996,%s raises her eyebrow inquisitively at you.,9,377
997,%s raises her eyebrow inquisitively.,12,377
998,%s raises a drink to %s. Cheers!,0,378
999,%s raises a drink to you. Cheers!,1,378
1000,You raise a drink to %s. Cheers!,2,378
1001,%s raises a drink in the air before chugging it down. Cheres!,4,378
1002,You raise a drink in the air before chugging it down. Cheers!,6,378
1003,%s thinks %s has failed.,0,379
1004,%s thinks you have failed.,1,379
1005,,8,379
1006,,9,379
1007,You think %s has failed.,2,379
1008,%s has failed.,4,379
1009,You have failed.,6,379
1010,%s gives %s a high five!,0,380
1011,%s gives you a high five!,1,380
1012,You give %s a high five!,2,380
1013,%s puts up his hand for a high five.,4,380
1014,You put up your hand for a high five.,6,380
1015,%s puts up her hand for a high five.,12,380
1016,%s looks at %s absently.,0,381
1017,%s looks at you absently.,1,381
1018,You look at %s absently.,2,381
1019,%s looks absent-minded.,4,381
1020,You look absent-minded.,6,381
1021,%s puts his arm around %s's shoulder.,0,382
1022,%s puts his arm around your shoulder.,1,382
1023,You put your arm around %s's shoulder.,2,382
1024,%s puts her arm around %s's shoulder.,8,382
1025,%s puts her arm around your shoulder.,9,382
1026,%s stares at %s in awe.,0,383
1027,%s stares at you in awe.,1,383
1028,You stare at %s in awe.,2,383
1029,%s looks around in awe.,4,383
1030,You look around in awe.,6,383
1031,%s digs through his backpack.,4,384
1032,You dig through your backpack.,6,384
1033,%s digs through her backpack,12,384
1034,%s has a bad feeling about this...,4,385
1035,You have a bad feeling about this...,6,385
1036,%s challenges %s to a duel.,0,386
1037,%s challenges you to a duel.,1,386
1038,You challenge %s to a duel.,2,386
1039,%s puts out a challenge to everyone. Bring it on!,4,386
1040,You put out a challenge to everyone. Bring it on!,6,386
1041,%s encourages %s to chug. CHUG! CHUG! CHUG!,0,387
1042,%s encourages you to chug. CHUG! CHUG! CHUG!,1,387
1043,You encourage %s to chug. CHUG! CHUG! CHUG!,2,387
1044,%s takes a mighty quaff of his beverage.,4,387
1045,You take a mighty quaff of your beverage.,6,387
1046,%s takes a mighty quaff of her beverage.,12,387
1053,%s reached a new level. DING!,4,389
1054,You reached a new level. DING!,6,389
1055,,12,389
1056,%s looks at %s and covers his face with his palm.,0,390
1057,%s looks at you and covers his face with his palm.,1,390
1058,You look at %s and cover your face with your palm.,2,390
1059,%s covers his face with his palm.,4,390
1060,You cover your face with your palm.,6,390
1061,%s looks at %s and covers her face with her palm.,8,390
1062,%s looks at you and covers her face with her palm.,9,390
1063,%s covers her face with her palm.,12,390
1064,%s faints at the sight of %s.,0,391
1065,%s faints at the sight of you.,1,391
1066,You faint at the sight of %s.,2,391
1067,%s faints.,4,391
1068,You faint.,6,391
1069,%s tells %s to go.,0,392
1070,%s tells you to go.,1,392
1071,You tell %s to go.,2,392
1072,%s tells everyone to go.,4,392
1073,You tell everyone to go.,6,392
1074,%s tells %s that he must be going.,0,393
1075,%s tells you that he must be going.,1,393
1076,You tell %s that you must be going.,2,393
1077,%s must be going.,4,393
1078,You must be going.,6,393
1079,%s tells %s that she must be going.,8,393
1080,%s tells you that she must be going.,9,393
1081,%s glowers at %s.,0,394
1082,%s glowers at you.,1,394
1083,You glower at %s.,2,394
1084,%s glowers at everyone around him.,4,394
1085,You glower at averyone around you.,6,394
1086,%s glowers at everyone around her.,12,394
1087,%s is getting a headache from %s's antics.,0,395
1088,%s is getting a headache from your antics.,1,395
1089,You are getting a headache from %s's antics.,2,395
1090,%s is getting a headache.,4,395
1091,You are getting a headache.,6,395
1092,%s hiccups loudly.,4,396
1093,You hiccup loudly.,6,396
1100,%s hisses at %s.,0,398
1101,%s hisses at you.,1,398
1102,You hiss at %s.,2,398
1103,%s hisses at everyone around him.,4,398
1104,You hiss at everyone around you.,6,398
1105,%s hisses at everyone around her.,12,398
1106,%s holds %s's hand.,0,399
1107,%s holds your hand.,1,399
1108,You hold %s's hand.,2,399
1114,%s tells %s to hurry up.,0,401
1115,%s tells you to hurry up.,1,401
1116,You tell %s to hurry up.,2,401
1117,%s tries to pick up the pace.,4,401
1118,You try to pick up the pace.,6,401
1119,%s has an idea!,4,402
1120,You have an idea!,6,402
1121,%s is jealous of %s.,0,403
1122,%s is jealous of you.,1,403
1123,You are jealous of %s.,2,403
1124,%s is jealous of everyone around him.,4,403
1125,You are jealous of everyone around you.,6,403
1126,%s is jealous of everyone around her.,12,403
1127,%s wishes %s the best of luck.,0,404
1128,%s wishes you the best of luck.,1,404
1129,You wish %s the best of luck.,2,404
1130,%s wishes everyone good luck.,4,404
1131,You wish everyone good luck.,6,404
1132,%s pulls out his map.,4,405
1133,You pull out your map.,6,405
1134,%s pulls out her map.,12,405
1135,%s pleads with %s for mercy.,0,406
1136,%s pleads with you for mercy.,1,406
1137,You plead with %s for mercy.,2,406
1138,%s pleads for mercy.,4,406
1139,You plead for mercy.,6,406
1140,%s mutters angrily at %s. Hmmmph!,0,407
1141,%s mutters angrily at you. Hmmmph!,1,407
1142,You mutter angrily at %s. Hmmmph!,2,407
1143,%s mutters angrily to himself. Hmmmph!,4,407
1144,You mutter angrily to yourself. Hmmmph!,6,407
1145,%s mutters angrily to herself. Hmmmph!,12,407
1146,%s looks at %s nervously.,0,408
1147,%s looks at you nervously.,1,408
1148,You look at %s nervously.,2,408
1149,%s looks around nervously.,4,408
1150,You look around nervously.,6,408
1151,%s attempts to make %s an offer they can't refuse.,0,409
1152,%s attempts to make you an offer you can't refuse.,1,409
1153,You attempt to make %s an offer they can't refuse.,2,409
1154,%s pets %s.,0,410
1155,%s pets you.,1,410
1156,You pet %s.,2,410
1157,%s pinches %s.,0,411
1158,%s pinches you.,1,411
1159,You pinch %s.,2,411
1160,%s pinches himself.,4,411
1161,You pinch yourself.,6,411
1162,%s pinches herself.,12,411
1168,%s is proud of %s.,0,413
1169,%s is proud of you.,1,413
1170,You are proud of %s.,2,413
1171,%s is proud of himself.,4,413
1172,You are proud of yourself.,6,413
1173,%s is proud of herself.,12,413
1174,%s makes %s a promise.,0,414
1175,%s makes you a promise.,1,414
1176,You make %s a promise.,2,414
1177,%s checks %s for a pulse. Oh no!,0,415
1178,%s checks you for a pulse.,1,415
1179,You check %s for a pulse. Oh no!,2,415
1180,%s checks his own pulse.,4,415
1181,You check your own pulse.,6,415
1182,%s punches %s's shoulder.,0,416
1183,%s punches your shoulder.,1,416
1184,You punch %s's shoulder.,2,416
1185,%s pouts at %s.,0,417
1186,%s pouts at you.,1,417
1187,You pout at %s.,2,417
1188,%s pouts at everyone around him.,4,417
1189,You pout at everyone around you.,6,417
1190,%s pouts at everyone around her.,12,417
1191,%s is filled with regret.,4,418
1192,You are filled with regret.,6,418
1193,,12,418
1199,%s vows revenge on %s.,0,420
1200,%s vows revenge on you.,1,420
1201,You vow revenge on %s.,2,420
1202,%s vows he will have his revenge.,4,420
1203,You vow you will have your revenge.,6,420
1204,%s vows she will have her revenge.,12,420
1205,%s rolls his eyes at %s.,0,421
1206,%s rolls his eyes at you.,1,421
1207,You roll your eyes at %s.,2,421
1208,%s rolls his eyes.,4,421
1209,You roll your eyes.,6,421
1210,%s rolls her eyes at %s.,8,421
1211,%s rolls her eyes at you.,9,421
1212,%s rolls her eyes.,12,421
1213,%s ruffles %s's hair.,0,422
1214,%s ruffles your hair.,1,422
1215,You ruffle %s's hair.,2,422
1216,%s ruffles his hair.,4,422
1217,You ruffle your hair.,6,422
1218,%s ruffles her hair.,12,422
1219,%s hangs his head dejectedly.,4,423
1220,You hang your head dejectedly.,6,423
1221,%s hangs her head dejectedly.,12,423
1222,%s scoffs at %s.,0,424
1223,%s scoffs at you.,1,424
1224,You scoff at %s.,2,424
1225,%s scoffs.,4,424
1226,You scoff.,6,424
1227,%s scolds %s.,0,425
1228,%s scolds you.,1,425
1229,You scold %s.,2,425
1230,%s scolds himself.,4,425
1231,You scold yourself.,6,425
1232,%s scolds herself.,12,425
1233,%s scowls at %s.,0,426
1234,%s scowls at you.,1,426
1235,You scowl at %s.,2,426
1236,%s scowls.,4,426
1237,You scowl.,6,426
1238,%s scowls.,12,426
1239,%s searches for something.,4,427
1240,You search for something.,6,427
1241,%s shakes his fist at %s.,0,428
1242,%s shakes his fist at you.,1,428
1243,You shake your fist at %s.,2,428
1244,%s shakes his fist.,4,428
1245,You shake your fist.,6,428
1246,%s shakes her fist at %s.,8,428
1247,%s shakes her fist at you.,9,428
1248,%s shakes her fist.,12,428
1249,%s's eyes shift back and forth suspiciously.,4,429
1250,Your eyes shift back and forth suspiciously.,6,429
1251,%s shudders at the sight of %s.,0,430
1252,%s shudders at the sight of you.,1,430
1253,You shudder at the sight of %s.,2,430
1254,%s shudders.,4,430
1255,You shudder.,6,430
1256,%s gives %s the signal.,0,431
1257,%s gives you the signal.,1,431
1258,You give %s the signal.,2,431
1259,%s gives the signal.,4,431
1260,You give the signal.,6,431
1261,,12,431
1262,%s tells %s to be quiet. Shhh!,0,432
1263,%s tells you to be quiet. Shhh!,1,432
1264,You tell %s to be quiet. Shhh!,2,432
1265,%s tells everyone to be quiet. Shhh!,4,432
1266,You tell everyone to be quiet. Shhh!,6,432
1267,%s serenades %s with a song.,0,433
1268,%s serenades you with a song.,1,433
1269,You serenade %s with a song.,2,433
1270,%s bursts into song.,4,433
1271,You burst into song.,6,433
1272,%s smacks %s upside the head.,0,434
1273,%s smacks you upside the head.,1,434
1274,You smack %s upside the head.,2,434
1275,%s tries to sneak away from %s.,0,435
1276,%s tries to sneak away from you.,1,435
1277,You try to sneak away from %s.,2,435
1278,%s tries to sneak away.,4,435
1279,You try to sneak away.,6,435
1280,%s sneezes on %s. Achoo!,0,436
1281,%s sneezes on you. Achoo!,1,436
1282,You sneeze on %s. Achoo!,2,436
1283,%s sneezes. Achoo!,4,436
1284,You sneeze. Achoo!,6,436
1285,%s snorts derisively at %s.,0,437
1286,%s snorts derisively at you.,1,437
1287,You snort derisively at %s.,2,437
1288,%s snorts.,4,437
1289,You snort.,6,437
1290,%s squeals at %s.,0,438
1291,%s squeals at you.,1,438
1292,You squeal at %s.,2,438
1293,%s squeals like a pig.,4,438
1294,You squeal like a pig.,6,438
1295,%s tells %s to stop attacking.,0,439
1296,%s tells you to stop attacking.,1,439
1297,You tell %s to stop attacking.,2,439
1298,%s tells everyone to stop attacking.,4,439
1299,You tell everyone to stop attacking.,6,439
1300,%s is suspicious of %s.,0,440
1301,%s is suspicious of you.,1,440
1302,You are suspicious of %s.,2,440
1303,%s narrows his eyes in suspicion.,4,440
1304,You narrow your eyes in suspicion.,6,440
1305,%s thinks about %s.,0,441
1306,%s thinks about you.,1,441
1307,You think about %s.,2,441
1308,%s is lost in thought.,4,441
1309,You are lost in thought.,6,441
1310,%s offers %s a truce.,0,442
1311,%s offers you a truce.,1,442
1312,You offer %s a truce.,2,442
1313,%s twiddles his thumbs.,4,443
1314,You twiddle your thumbs.,6,443
1315,%s twiddles her thumbs.,12,443
1316,%s warns %s.,0,444
1317,%s warns you.,1,444
1318,You warn %s.,2,444
1319,%s warns everyone.,4,444
1320,You warn everyone.,6,444
1321,%s snaps his fingers at %s.,0,445
1322,%s snaps his fingers at you.,1,445
1323,You snap your fingers at %s.,2,445
1324,%s snaps his fingers.,4,445
1325,You snap your fingers.,6,445
1326,%s snaps her fingers at %s.,8,445
1327,%s snaps her fingers at you.,9,445
1328,%s snaps her fingers.,12,445
1329,%s narrows her eyes in suspicion.,12,440
1330,%s stretches his arms out.,4,382
1331,You stretch your arms out.,6,382
1332,%s stretches her arms out.,12,382
1333,%s has a bad feeling about %s.,0,385
1334,%s has a bad feeling about you.,1,385
1335,You have a bad feeling about %s.,2,385
1336,%s thinks %s is charming.,0,446
1337,%s thinks you're charming.,1,446
1338,You think %s is charming.,2,446
1339,%s puts on the charm.,4,446
1340,You put on the charm.,6,446
1341,%s covers %s's ears.,0,447
1342,%s covers your ears.,1,447
1343,You cover %s's ears.,2,447
1344,%s covers his ears.,4,447
1345,You cover your ears.,6,447
1346,%s covers her ears.,12,447
1347,%s crosses his arms at %s. Hmph!,0,448
1348,%s crosses his arms at you. Hmph!,1,448
1349,You cross your arms at %s. Hmph!,2,448
1350,%s crosses his arms.,4,448
1351,You cross your arms.,6,448
1352,%s crosses her arms at %s. Hmph!,8,448
1353,%s crosses her arms at you. Hmph!,9,448
1354,%s crosses her arms.,12,448
1355,%s congratulates %s on a new level. DING!,0,389
1356,%s congratulates you on a new level. DING!,1,389
1357,You congratulate %s on a new level. DING!,2,389
1358,%s looks at %s.,0,449
1359,%s looks at you.,1,449
1360,You look at %s.,2,449
1361,%s looks around.,4,449
1362,You look around.,6,449
1363,%s wishes someone would hold his hand.,4,399
1364,You wish someone would hold your hand.,6,399
1365,%s wishes someone would hold her hand.,12,399
1366,%s wants to make an offer.,4,409
1367,You want to make an offer.,6,409
1368,%s needs to be petted.,4,410
1369,You need to be petted.,6,410
1370,%s punches himself.,4,416
1371,You punch yourself.,6,416
1372,%s punches herself.,12,416
1373,%s thinks that %s will regret it.,0,418
1374,%s thinks that you will regret it.,1,418
1375,You think that %s will regret it.,2,418
1376,%s searches %s for something.,0,427
1377,%s searches you for something.,1,427
1378,You search %s for something.,2,427
1379,%s objects to %s.,0,450
1380,%s objects to you.,1,450
1381,You object to %s.,2,450
1382,%s OBJECTS!,4,450
1383,You OBJECT!,6,450
1384,%s gives %s a shifty look.,0,429
1385,%s gives you a shifty look.,1,429
1386,You give %s a shifty look.,2,429
1387,%s smacks his forehead.,4,434
1388,You smack your forehead.,6,434
1389,%s smacks her forehead.,12,434
1390,%s offers a truce.,4,442
1391,You offer a truce.,6,442
1392,%s sweats at the sight of %s.,0,451
1393,%s sweats at the sight of you.,1,451
1394,You sweat at the sight of %s.,2,451
1395,%s is sweating.,4,451
1396,You are sweating.,6,451
1397,%s checks her own pulse.,12,415
1398,%s was happy to help %s.,0,453
1399,%s was happy to help you.,1,453
1400,You were happy to help %s.,2,453
1401,%s was happy to help.,4,453
1402,You were happy to help.,6,453
1660,,0,506
1661,,1,506
1662,,2,506
1663,,4,506
1664,,6,506
1665,,12,506
1666,%s cheers for the Alliance!,0,507
1667,%s cheers for the Alliance!,1,507
1668,You cheer for the Alliance!,2,507
1669,%s cheers for the Horde!,0,508
1670,%s cheers for the Horde!,1,508
1671,You cheer for the Horde!,2,508
1729,%s is blown away by %s.,0,517
1730,%s is blown away by you.,1,517
1731,You are blown away by %s.,2,517
1732,%s is blown away.,4,517
1733,You are blown away.,6,517
1734,%s is blown away.,12,517
1735,%s made a mistake.,0,518
1736,%s made a mistake.,1,518
1737,You made a mistake.,2,518
1738,%s made a mistake.,4,518
1739,You made a mistake.,6,518
1740,%s made a mistake.,12,518
1741,%s cheers for the Alliance!,0,519
1742,%s cheers for the Alliance!,1,519
1743,You cheer for the Alliance!,2,519
1744,%s cheers for the Horde!,0,520
1745,%s cheers for the Horde!,1,520
1746,You cheer for the Horde!,2,520
1747,%s cheers for the Alliance!,4,507
1748,You cheer for the Alliance!,6,507
1749,%s cheers for the Horde!,4,508
1750,You cheer for the Horde!,6,508
1751,%s meows at %s.,0,521
1752,%s meows at you.,1,521
1753,You meow at %s.,2,521
1754,%s meows.,4,521
1755,You meow.,6,521
1756,%s boops %s's nose.,0,522
1757,%s boops your nose.,1,522
1758,You boop %s's nose.,2,522
1759,%s boops his own nose.,4,522
1760,You boop your own nose. Boop!,6,522
1761,%s boops her own nose.,12,522
1862,%s winces sympathetically at %s. That looked like it hurt!,0,623
1863,%s winces sympathetically at you. That looked like it hurt!,1,623
1864,You wince sympathetically at %s. That looked like it hurt!,2,623
1865,%s winces sympathetically.,4,623
1866,You wince sympathetically.,6,623
1867,%s cheers boisterously for %s! Huzzah!,0,624
1868,%s cheers boisterously for you! Huzzah!,1,624
1869,You cheer boisterously for %s! Huzzah!,2,624
1870,%s cheers boisterously! Huzzah!,4,624
1871,You cheer boisterously! Huzzah!,6,624
1872,"%s claps vigorously for %s, clearly impressed.",0,625
1873,"%s claps vigorously for you, clearly impressed.",1,625
1874,"You clap vigorously for %s, clearly impressed.",2,625
1875,"%s claps vigorously, clearly impressed.",4,625
1876,"You clap vigorously, clearly impressed.",6,625
1877,%s nods approvingly at %s. Magnificent job!,0,626
1878,%s nods approvingly at you. Magnificent job!,1,626
1879,You nod approvingly at %s. Magnificent job!,2,626
1880,%s nods approvingly. Magnificent job!,4,626
1881,You nod approvingly. Magnificent job!,6,626
1882,%s lets out a loud belch.,0,18
1883,%s lets out a loud belch.,1,18
1884,You let out a loud belch.,2,18
1885,%s quacks at %s. Quack!,0,627
1886,%s quacks at you. Quack!,1,627
1887,You quack at %s. Quack!,2,627
1888,%s is pretending to be a duck. Quack!,4,627
1889,You pretend to be a duck. Quack!,6,627
1890,%s is pretending to be a duck. Quack!,12,627
