ID,Name_lang,Description_lang,GarrAbilityCategoryID,GarrFollowerTypeID,IconFileDataID,FactionChangeGarrAbilityID,Flags
458,Leap of Faith,"You pull the spirit of the friendly target, instantly moving them directly in front of you to counter a |C00b3ffffHazard|R.",0,4,463835,0,16
459,Kick,A quick kick that counters a |C00b3ffffSpell|R.,0,4,132219,0,16
460,Fan of Knives,Sprays knives all around you to counter a |C00b3ffffMinion|R.,0,4,236273,0,16
461,Sprint,Increases your movement speed to counter a |C00b3ffffHazard|R.,0,4,132307,0,16
462,Fel Rush,Rush forwards to counter a |C00b3ffffHazard|R.,0,4,1247261,0,16
463,Throw Glaive,"Hurl a demonic glaive at your enemies, to counter a |C00b3ffffMinion|R.",0,4,1305159,0,16
464,Consume Magic,Interrupts the enemy to counter a |C00b3ffffSpell|R.,0,4,1305153,0,16
465,Blink,Teleport forward a short distance to counter a |C00b3ffffHazard|R.,0,4,135736,0,16
466,Counterspell,Interrupt the enemy's spellcast to counter a |C00b3ffffSpell|R.,0,4,135856,0,16
467,Blizzard,Ice shards pelt the target area to counter a |C00b3ffffMinion|R.,0,4,135857,0,16
468,Skull Bash,You skull bash the target to counter a |C00b3ffffSpell|R.,0,4,236946,0,16
469,Starfall,Calls down a rain of starlight to counter a |C00b3ffffMinion|R.,0,4,135753,0,16
470,Dash,Activate Cat form and quickly dash to counter a |C00b3ffffHazard|R.,0,4,132120,0,16
471,Cursed,No bonus loot.,0,4,1380306,0,0
472,Disorienting,Increased mission cost.,0,4,1383683,0,0
473,Head Wound,Champions on this mission will lose experience.,0,4,1380307,0,0
474,Broken Gear,Champions on this mission will lose item level.,0,4,1380306,0,0
475,Heroic,Success chance reduced by 50%.,0,4,1380305,0,0
476,Mythic,Success chance reduced by 75%.,0,4,1380305,0,0
482,Powerful,Reduces success chance.,0,4,1390116,0,0
485,Rain of Fel Fire,Increases success chance of missions with |C00b3ffffMinions|R by ${$a578}%.,0,4,840196,0,18
486,Felbolt,Increases success chance of missions by ${$a579}%.,0,4,135797,0,18
487,Zealot,Increases success chance of missions by ${$a580}%.,0,4,1380866,0,18
488,Black Harvest Harbinger,Increases success chance of missions by ${$a581}% when accompanied by Black Harvest Acolytes or Black Harvest Invokers.,0,4,537517,0,18
489,Soul Link,Mission success chance increased by ${$a582}% for every troop Vitality on the mission.,0,4,607854,0,18
490,Create Soulwell,"Chance to return from a mission with a Healhtstone, usable to heal troops for 1 Vitality.",0,4,136194,0,18
491,Agony,Increased success chance on missions longer than ${$h584} hours by ${$a584}%.,0,4,136139,0,18
492,Dreadsteed,Reduces mission duration by ${100-$a585*100}%.,0,4,132238,0,18
493,Demonic Empowerment,Increases success chance of missions by ${$a586}% when accompanied by a Pack of Imps or Swarm of Wild Imps.,0,4,236292,0,18
494,Matron of Imps,Chance on mission success to return with an item to summon either a Pack of Imps or a Swarm of Wild Imps.,0,4,136218,0,18
496,Demonic Strength,Increases success chance of missions by ${$a612}%.,0,4,236293,0,18
497,Demonic Pact,Increases success chance of missions by ${$a613}% when accompanied by other Imps.,0,4,136121,0,18
498,Training Grounds,Increases the maximum number of Acolytes you can recruit by $a614.,0,4,538444,0,18
499,Ritual of Summoning,Reduces mission duration of all missions by ${100-$a615*100}%.,0,4,136194,0,18
500,Summon Doomguard,Increase success chance of the first mission of the day by ${$a616}%.,0,4,615103,0,274
501,Green - Mission Cost,10% Reduced Mission Cost,0,4,646671,0,2
502,Titan's Wrath,Increases success chance when not accompanied by other Champions by ${$a641}%.,0,4,237046,0,18
503,Commanding Shout,Mission success chance increased by ${$a619}% for every troop Vitality on the mission.,0,4,132351,0,18
504,Screams of the Dead,Chance on mission success to return with an item to summon a squad of Valarjar Aspirants or Stormforged Valarjar.,0,4,136184,0,18
505,Royal Bloodline,Increases mission success chance by ${$a621}% when accompanied by troops of different types.,0,4,132346,0,18
506,Enrage,Increases success chance of missions by ${$a622}% when accompanied by troops with only ${$m622} Vitality.,0,4,132345,0,18
507,Gatekeeper,Increased success chance on missions longer than ${$h623} hours by ${$a623}%.,0,4,515033,0,18
508,Frozen Blows,Increases success chance of missions with |C00b3ffffMinions|R by ${$a624}%.,0,4,237523,0,18
509,Feral Lunge,Increases success chance of missions with |C00b3ffffHazards|R by ${$a625}%.,0,4,1027879,0,18
510,Strength of the Tides,Increased success chance on missions longer than ${$h626} hours by ${$a626}%.,0,4,971078,0,18
511,Stormbeak's Assault,Reduces mission duration by ${100-$a627*100}%.,0,4,132239,0,18
512,Healing Stream Totem,"Chance to return from a mission with a Healing Stream Totem, usable to heal troops for 1 Vitality.",0,4,135127,0,18
513,Lightning Shield,Increases success chance of missions with |C00b3ffffMinions|R by ${$a629}%.,0,4,136051,0,18
514,Path of the Earth,Increases success chance of missions by ${$a630}% when accompanied by a Circle of Earthcallers or Earthen Ring Geomancers.,0,4,1016245,0,18
515,Prime Elemental,Increases success chance of missions by ${$a631}% when accompanied by Lesser or Greater Elementals.,0,4,651081,0,18
516,Hunter's Mark,Increases success chance of missions by ${$a632}% when accompanied by a Squad of Archers or Unseen Marksmen.,0,4,236188,0,18
517,True Aim,Increases success chance of missions by ${$a633}%.,0,4,1033497,0,18
518,Piercing Shots,Increases success chance of missions by ${$a634}%.,0,4,236198,0,18
519,Survival Instincts,Increases success chance of missions by ${$a635}%.,0,4,236808,0,18
520,Explosive Trap,Increases success chance of missions with |C00b3ffffMinions|R by ${$a636}%.,0,4,135826,0,18
521,Elemental Guardians,Increases success chance of missions by ${$a637}%.,0,4,136029,0,18
522,Fury of the Elements,Increases success chance of missions by ${$a638}%.,0,4,651244,0,18
524,One with the Pack,Increases success chance of missions by ${$a640}% when accompanied by other Beast Mastery champions.,0,4,236172,0,18
525,Might of the Mok'Nathal,Increases success chance when not accompanied by other Champions by ${$a641}%.,0,4,463283,0,18
526,Call Baron,Increases success chance of missions by ${$a642}% when accompanied by a Band of Trackers or Pathfinders.,0,4,930453,0,18
528,Volley,Increases success chance of missions with |C00b3ffffMinions|R by ${$a644}%.,0,4,132222,0,18
529,Big Game Hunter,Increases success chance of missions with |C00b3ffffBosses|R by ${$a645}%.,0,4,461115,0,18
530,Farstrider,Reduces mission duration by ${100-$a646*100}%.,0,4,236190,0,18
531,Ascendant's Fury,Increases success chance of missions by ${$a647}%.,0,4,132148,0,18
532,Cleansing Tides,Increases success chance of missions with |C00b3ffffSpells|R by ${$a648}%.,0,4,136213,0,18
533,Lava Beam,Increases success chance of missions with |C00b3ffffMinions|R by ${$a649}%.,0,4,136110,0,18
534,Gust of Wind,Increases success chance of missions with |C00b3ffffHazards|R by ${$a650}%.,0,4,135863,0,18
535,Maelstrom Weapon,Increases success chance of missions by ${$a651}%.,0,4,237584,0,18
537,Incapacitating Roar,Increases success chance of missions with |C00b3ffffMinions|R by ${$a656}%.,0,4,132121,0,18
538,Rebirth,${$a657}% chance on mission success to recover an expired Troop with ${$m657} Vitality.,0,4,136080,0,18
539,Berserk,Reduces cost to start a mission by ${100-$a658*100}%.,0,4,236149,0,18
540,Efflorescence,"Chance to return from a mission with a Wild Mushroom, usable to heal troops for 1 vitality.",0,4,134222,0,18
541,Nature's Balance,Increases success chance of missions by ${$a660}% when accompanied by Dreamgrove Treants or Daughters of Cenarius.,0,4,132113,0,18
542,Stampeding Roar,Increases success chance of missions with |C00b3ffffHazards|R by ${$a661}%.,0,4,464343,0,18
543,Fury of Elune,Increases success chance of missions by ${$a662}% when accompanied by Druids of the Claw or Keepers of the Grove.,0,4,132123,0,18
544,Flying Carpet,Reduces mission duration by ${100-$a663*100}%.,0,4,370404,0,18
545,Elemental Attunement,Increases success chance of missions by ${$a664}% when accompanied by Water Elementals or Arcane Golems.,0,4,651085,0,18
546,Verbose Grandstanding,Increases success chance against |C00b3ffffBosses|R by ${$a889}% but doubles mission duration.,0,4,800996,0,18
547,Charged Core,Increased success chance on missions longer than ${$h666} hours by ${$a666}%.,0,4,429383,0,18
548,Cinderstorm,Increases success chance of missions with |C00b3ffffMinions|R by ${$a669}%.,0,4,135815,0,18
549,Master of Mages,Increases success chance of missions by ${$a672}% when accompanied by Tirisgarde Apprentices or Kirin Tor Invokers.,0,4,975740,0,18
550,Conjure Refreshment,"Chance to return from a mission with a Conjured Refreshment, usable to heal troops for 1 Vitality.",0,4,609813,0,18
551,Arcane Power,Increases success chance of missions by ${$a674}%.,0,4,136048,0,18
552,Presence of Mind,Increases success chance of missions with |C00b3ffffSpells|R by ${$a675}%.,0,4,136031,0,18
553,Frost Armor,Increases success chance of missions by ${$a676}%.,0,4,135843,0,18
554,Quickening,Increases success chance of missions by ${$a677}%.,0,4,1033914,0,18
555,Nature's Force,Increases success chance of missions by ${$a678}%.,0,4,136085,0,18
556,Blessing of Cenarius,Increases success chance of missions by ${$a679}%.,0,4,236692,0,18
557,Ursol's Resolve,Increases success chance of missions by ${$a680}%.,0,4,1378703,0,18
558,Wild Growth,Increases success chance of missions with |C00b3ffffMinions|R by ${$a681}%.,0,4,236153,0,18
559,King's Blessing,Increases success chance of missions by ${$a682}%.,0,4,135993,0,18
560,Divine Bulwark,Increases success chance of missions by ${$a683}%.,0,4,135923,0,18
561,Sword of Light,Increases success chance of missions by ${$a684}%.,0,4,1360757,0,18
562,Guardians of Kings,Increases success chance of missions by ${$a685}% when accompanied by Squires or Shieldbearers.,0,4,135919,0,18
563,Divine Steed,Reduces mission duration by ${100-$a686*100}%.,0,4,1360759,0,18
564,Light of Valor,A random troop on the mission will recover ${$a687} Vitality.,0,4,461859,0,18
565,Zeal,Increases success chance of missions with |C00b3ffffMinions|R by ${$a688}%.,0,4,135961,0,18
566,Absolution,${$a689}% chance on mission success to recover an expired Troop with ${$m689} Vitality.,0,4,1030102,0,18
567,Liadrin's Blessing,Increases success chance of missions with |C00b3ffffHazards|R by ${$a690}%.,0,4,135968,0,18
568,Grand Crusader,Increases success chance of missions by ${$a691}% when accompanied by Silver Hand Knights or Silver Hand Templar.,0,4,461857,0,18
569,Blessing of Might,Mission success chance increased by ${$a692}% for every troop Vitality on the mission.,0,4,135908,0,18
570,Lucky Envelope,Increase success chance of the first mission of the day by ${$a693}%.,0,4,134268,0,274
571,Living Quarters,Increases the maximum number of Students of the Tiger you can recruit by $a694.,0,4,538444,0,18
572,Ox Stance,Increases success chance of missions by ${$a695}%.,0,4,611419,0,18
573,Shuffle,Increases success chance of missions with |C00b3ffffHazards|R by ${$a696}%.,0,4,642416,0,18
574,Untouchable Brawler,Increases success chance of missions by ${$a697}%.,0,4,620830,0,18
575,Fierce Tiger Stance,Increases success chance of missions by ${$a698}%.,0,4,611420,0,18
576,Spinning Crane Kick,Increases success chance of missions with |C00b3ffffMinions|R by ${$a699}%.,0,4,606543,0,18
577,Lethal Strikes,Increases success chance of missions by ${$a700}%.,0,4,606552,0,18
578,Bloodlust,Increase success chance of the first mission of the day by ${$a701}%.,0,4,136012,0,274
579,Elemental Fortitude,"Increases the maximum number of Lesser and Greater Elementals, Earthcallers and Geomancers you can recruit by ${$a702}.",0,4,135776,0,18
580,Windspeaker's Might,Reduces mission duration of all missions by ${100-$a703*100}%.,0,4,511726,0,18
581,Masterful Tiger Stance,Increases success chance of missions by ${$a704}%.,0,4,620832,0,18
582,Masterful Ox Stance,Increases success chance of missions by ${$a705}%.,0,4,627607,0,18
583,Magma Storm,Increases success chance of missions with |C00b3ffffMinions|R by ${$a706}%.,0,4,524795,0,18
584,Long Range,Increase success chance of the first mission of the day by ${$a707}%.,0,4,1392555,0,274
585,Sturdy Tents,"Increases the maximum number of Archers, Marksmen, Trackers and Pathfinders you can recruit by ${$a708}.",0,4,236200,0,18
586,Seal of Elune,Increases success chance of missions with |C00b3ffffSpells|R by ${$a709}%.,0,4,135967,0,18
587,Frost Nova,Increases success chance of missions with |C00b3ffffMinions|R by ${$a710}%.,0,4,135848,0,274
588,Arcane Library,Increases the maximum number of Apprentices and Conjurers you can recruit by $a711.,0,4,354435,0,18
589,Blink,Reduces mission duration of all missions by ${100-$a712*100}%.,0,4,135736,0,18
591,Roots,Increases success chance of missions with |C00b3ffffMinions|R by ${$a714}%.,0,4,134412,0,274
592,Travel Form,Reduces mission duration of all missions by ${100-$a715*100}%.,0,4,132144,0,18
593,Righteous Blessing,Increases success chance of missions with |C00b3ffffMinions|R by ${$a716}%.,0,4,1030099,0,18
594,Argent Call,Increases the maximum number of Silver Hand Knights and Champions you can recruit by $a717.,0,4,236690,0,18
595,Blessing of Kings,Increase success chance of the first mission of the day by ${$a718}%.,0,4,135993,0,274
596,Rallying Cry,Increases the success chance of the first mission you send each day by ${$a719}% per troop Vitality.,0,4,236317,0,274
597,Forced March,Reduces mission duration of all missions by ${100-$a720*100}%.,0,4,132277,0,18
598,Abundant Valor,Increases the maximum number of Shieldmaidens and Val'kyr you can recruit by $a721.,0,4,132351,0,18
599,Furious Blows,Increases success chance of missions by ${$a722}%.,0,4,132350,0,18
600,Mortal Hew,Increases success chance of missions by ${$a723}%.,0,4,659264,0,18
601,Flight of the Valkyra,Increases success chance of missions with |C00b3ffffHazards|R by ${$a724}%.,0,4,1360764,0,18
602,Thunderstruck,Increases success chance of missions by ${$a725}%.,0,4,839983,0,18
603,Deathsworn Oath,Increases success chance of missions by ${$a726}%.,0,4,1354410,0,18
604,Death to the Legion,Increases success chance of missions by ${$a727}%.,0,4,1380367,0,18
605,Razorspine Scales,Increases success chance of missions by ${$a728}%.,0,4,1394891,0,18
606,Demon Form,Increases success chance of missions with |C00b3ffffMinions|R or |C00b3ffffHazards|R by ${$a729}%.,0,4,607865,0,18
607,Glide,Increases success chance of missions with |C00b3ffffHazards|R by ${$a730}%.,0,4,1305157,0,18
608,Outland Tactician,Increases success chance of missions by ${$a731}% when accompanied by Ashtongue Warriors or Naga Myrmidons.,0,4,236691,0,18
609,Shattered Souls,"Chance to return from a mission with a Soul Fragment, usable to heal troops for 1 Vitality.",0,4,1305158,0,18
610,Immolation Aura,Increases success chance of missions with |C00b3ffffMinions|R by ${$a733}%.,0,4,1344649,0,18
611,Demonic Portals,Reduces mission duration by ${100-$a734*100}%.,0,4,607513,0,18
612,Metamorphosis,Increases success chance of missions with |C00b3ffffMinions|R or |C00b3ffffHazards|R by ${$a735}%.,0,4,1247263,0,18
613,Commander of the Illidari,Increases success chance of missions by ${$a737}% when accompanied by Illidari Adepts and Transformed Illidari Adepts.,0,4,1266395,0,18
614,The Hunt,Increase success chance of the first mission of the day by ${$a738}%.,0,4,1344654,0,274
615,Training Grounds,"Increases the maximum number of Ashtongue Warriors, Naga Myrmidon, Illidari Adepts and Transformed Illidari Adepts you can recruit by ${$a739}.",0,4,1380677,0,18
616,Vengeful Retreat,Increases success chance of missions with |C00b3ffffMinions|R by ${$a740}%.,0,4,1348401,0,18
617,Infected Bite,Increases success chance of missions by ${$a741}%.,0,4,1390947,0,18
618,Endless Horde,Increases success chance of missions by ${$a742}%.,0,4,1392565,0,18
619,Ebon Presence,Increases success chance of missions by ${$a743}%.,0,4,460686,0,18
620,Ebon Champion,Random spec [nyi],0,4,135775,0,18
621,March of the Damned,Increases success chance of missions by ${$a745}% when accompanied by Packs of Ghouls or Geist Swarms.,0,4,237561,0,18
622,Path of Frost,Increases success chance of missions with |C00b3ffffHazards|R by ${$a746}%.,0,4,237528,0,18
623,Consecration,Increases success chance of missions with |C00b3ffffMinions|R by ${$a747}%.,0,4,135926,0,18
624,Arise My Champion,${$a748}% chance on mission success to recover an expired Troop with ${$m748} Vitality.,0,4,1029009,0,18
625,Blood Belch,Increases success chance of missions with |C00b3ffffMinions|R by ${$a749}%.,0,4,1392546,0,18
626,Frozen Soul,Increases success chance when not accompanied by other Champions by ${$a750}%.,0,4,429385,0,18
627,Army of the Highlord,Increases success chance of missions by ${$a751}% when accompanied by Ebon Knights or Ebon Ravagers.,0,4,1390946,0,18
628,Death Gate,Reduces mission duration by ${100-$a752*100}%.,0,4,135766,0,18
629,Call of the Grave,"Increases the maximum number of Ghouls, Geists, Knights and Ravagers you can recruit by ${$a753}.",0,4,1065381,0,18
630,Death's Advance,Increases the success chance for missions with |C00b3ffffHazards|R by ${$a754}%.,0,4,237561,0,18
631,Swarm,Increases success chance of missions by ${$a755}% when a Ghoul or Geist is on the mission.,0,4,237511,0,274
632,Nightblade,Increases success chance of missions by ${$a756}%.,0,4,1022950,0,18
633,Avast!,Increases success chance of missions by ${$a757}%.,0,4,1126431,0,18
634,Pick Pocket,"Increases success chance of missions by ${$a896}%. 
Chance to return from a successful mission with an item of value.",0,4,133644,0,18
635,En Garde,Increases success chance of missions with |C00b3ffffMinions|R by ${$a759}%.,0,4,132269,0,18
636,Shadowstep,Increases success chance of missions with |C00b3ffffHazards|R by ${$a760}%.,0,4,132303,0,18
637,Master Assassin,Increases success chance of missions with |C00b3ffffBosses|R by ${$a761}%.,0,4,458726,0,18
638,Boarding Party,Increases success chance of missions by ${$a764}% when accompanied by Duelists and Pirates.,0,4,1140279,0,18
639,Sticky Fingers,Chance to return from a successful mission with a random item.,0,4,1269443,0,18
640,Leeching Poisons,A random troop on the mission will recover ${$a766} Vitality.,0,4,538440,0,18
641,Preparation,Increased success chance on missions longer than ${$h767} hours by ${$a767}%.,0,4,460693,0,18
642,Spy Network,Chance from successful missions to return with a Master Plan. Master Plans are given to Champions to improve success chance.,0,4,458737,0,18
643,Sneak Attack,Increase success chance of the first mission of the day by ${$a769}%.,0,4,1373907,0,274
644,Assassination,Increases success chance of missions with |C00b3ffffMinions|R by ${$a770}%.,0,4,236173,0,18
645,Prizefights,Increases the maximum number of Duelists and Pirates you can recruit by $a771.,0,4,1379239,0,18
646,Reincarnation,${$a772}% chance on mission success to recover an expired Troop with $m772 Vitality.,0,4,451167,0,18
647,Light's Blessing,Increases success chance of missions by ${$a773}%.,0,4,237537,0,18
648,Divine Star,Increases success chance of missions by ${$a774}%.,0,4,537026,0,18
649,Smite,Increases success chance of missions by ${$a775}%.,0,4,135924,0,18
650,Soul Reapers,Increases success chance of missions by ${$a776}% when accompanied by Champions who have Shadow specialization.,0,4,460857,0,18
651,By A'dal's Light,"Chance to return from a mission with a Healing Well, usable to heal troops for 1 Vitality.",0,4,1100172,0,18
652,Shadowy Insight,Increases success chance of missions with |C00b3ffffHazards|R by ${$a778}%.,0,4,136183,0,18
653,Resurrection,${$a779}% chance on mission success to recover an expired Troop with ${$m779} Vitality.,0,4,135955,0,18
654,Light's Guardian,Increases success chance of missions by ${$a780}% when accompanied by a Group of Acolytes or Netherlight Paragons.,0,4,237550,0,18
655,Focused Will,Increased success chance on missions longer than ${$h781} hours by ${$a781}%.,0,4,458227,0,18
656,Touch of Madness,Increases success chance of missions by ${$a782}% when accompanied by a Band of Zealots or Dark Zealots.,0,4,254090,0,18
657,Prayer of Mending,Mission success chance increased by ${$a783}% for every troop Vitality on the mission.,0,4,135944,0,18
658,Communal Living,Increases the maximum number of Zealots or Dark Zealots you can recruit by $a784.,0,4,135946,0,18
659,Daily Prayers,Increase success chance of the first mission of the day by ${$a785}%.,0,4,237539,0,274
660,Pain Suppression,Chance for a random troop to not take ${$a786} vitality damage,0,4,135936,0,18
661,Disengage,Increases success chance of missions with |C00b3ffffHazards|R by ${$a787}%.,0,4,132294,0,18
662,Golden Banana,Increases success chance of a single mission by ${$a788$}%. Will be consumed on use.,0,4,133980,0,64
663,Master Plan,Increases success chance of a single mission by ${$a789}%. Will be consumed on use.,0,4,132319,0,64
664,7.0 - Test - Troop 200%,7.0 - Test - Troop 200%,0,4,463852,0,0
665,7.0 - Test - Troop Reduced Duration,7.0 - Test - Troop Reduced Duration,0,4,1391676,0,0
668,Consuming Presence,Increases success chance when not accompanied by other Champions by ${$a794}%.,0,4,236293,0,18
674,Fruitful Bauble,Grants ${$a955} Order Hall Resources when completing World Quests as a Combat Ally.,0,4,133570,0,3
675,Curio of Abundant Happiness,Grants ${$a954} Order Hall Resources when completing World Quests as a Combat Ally.,0,4,634015,0,3
676,Elixir of Plenty,Grants ${$a956} Order Hall Resources when completing World Quests as a Combat Ally.,0,4,645890,0,3
677,Draught of Courage,Grants ${$a952} Gold when completing World Quests as a Combat Ally.,0,4,645354,0,3
678,Necklace of Endless Memories,Grants ${$a951} Gold when completing World Quests as a Combat Ally.,0,4,645288,0,3
679,Potion of Triton,Grants ${$a953} Gold when completing World Quests as a Combat Ally.,0,4,1028994,0,3
680,Swift Boots,Reduces mission duration by ${100-$a807*100}%.,0,4,132542,0,3
681,Carrot on a Stick,Reduces mission duration by ${100-$a808*100}%.,0,4,134010,0,3
682,Pathfinder's Saddle,Reduces mission duration by ${100-$a809*100}%.,0,4,1379171,0,3
683,Well-Worn Stone,Increases success chance of missions by ${$a810}%.,0,4,646988,0,3
684,Lucky Doodad,Increases success chance of missions by ${$a811}%.,0,4,1509625,0,3
685,Auspicious Fetish,Increases success chance of missions by ${$a812}%.,0,4,896908,0,3
686,Embers of the Firelands,"Grants ${$a956} Order Hall Resources when completing World Quests as a Combat Ally.
Grants ${$a952} Gold when completing World Quests as a Combat Ally.",0,4,512478,0,3
687,Glacial Fang,"Grants ${$a956} Order Hall Resources when completing World Quests as a Combat Ally.
Reduces mission duration by ${100-$a881*100}%.",0,4,339822,0,3
688,Omen's Bidding,"Grants ${$a956} Order Hall Resources when completing World Quests as a Combat Ally.
Increases mission success chance by ${$a880}%.",0,4,133432,0,3
689,Dust of Azeroth,"Grants ${$a953} Gold when completing World Quests as a Combat Ally.
Grants ${$a955} Order Hall Resources when completing World Quests as a Combat Ally.",0,4,443375,0,3
690,Nightmare's End,"Grants ${$a953} Gold when completing World Quests as a Combat Ally.

Reduces mission duration by ${100-$a875*100}%.",0,4,443381,0,3
691,Light's Haven,"Grants ${$a953} Gold when completing World Quests as a Combat Ally.
Increases mission success chance by ${$a873}%.",0,4,237468,0,3
692,Tome of Secrets,"Reduces mission duration by ${100-$a819*100}%. 
Grants ${$a955} Order Hall Resources when completing World Quests as a Combat Ally.",0,4,646781,0,3
693,Eltrig's Grace,"Reduces mission duration by ${100-$a820*100}%. 
Grants ${$a952} Gold when completing World Quests as a Combat Ally.",0,4,512610,0,3
694,Brooch of Endless Dreams,"Reduces mission duration by ${100-$a821*100}%. 
Increases mission success chance by ${$a883}%.",0,4,646494,0,3
695,Queen's Feathers,"Increases mission success chance by ${$a822}%.
Grants ${$a955} Order Hall Resources when completing World Quests as a Combat Ally.",0,4,443372,0,3
696,Potion of Sacrifice,"Increases mission success chance by ${$a823}%.
Grants ${$a952} Gold when completing World Quests as a Combat Ally.",0,4,443371,0,3
697,Demon in a Box,"Increases mission success chance by ${$a824}%.
Reduces mission duration by ${100-$a878*100}%.",0,4,443374,0,3
698,Smoke Grenades,Increases success chance of missions by ${$a825}% when accompanied by Gangs of Bandits or Defias Thieves.,0,4,458733,0,3
699,Sleep Potion,Increases success chance of missions by ${$a826}% when accompanied by Gangs of Bandits or Defias Thieves.,0,4,538441,0,3
700,Leech Brew,Increases success chance of missions by ${$a827}% when accompanied by Crews of Pirates or Uncrowned Duelists.,0,4,538440,0,3
701,Vanishing Dust,Increases success chance of missions by ${$a828}% when accompanied by Crews of Pirates or Uncrowned Duelists.,0,4,1120349,0,3
702,Marauder's Vestige,Increases success chance of missions by ${$a829}% when accompanied by Ashtongue Warriors or Naga Myrmidon.,0,4,973918,0,3
703,Shadow Relic,Increases success chance of missions by ${$a830}% when accompanied by Ashtongue Warriors or Naga Myrmidon.,0,4,973912,0,3
704,Demon's Sigil,Increases success chance of missions by ${$a831}% when accompanied by Illidari Adepts or Transformed Illidari Adepts.,0,4,135440,0,3
705,Essence of Malice,Increases success chance of missions by ${$a832}% when accompanied by Illidari Adepts or Transformed Illidari Adepts.,0,4,1120350,0,3
706,Voodoo Post,Increases success chance of missions by ${$a833}% when accompanied by Lesser Elementals or Greater Elementals.,0,4,801002,0,3
707,Earthly Pincer,Increases success chance of missions by ${$a834}% when accompanied by Lesser Elementals or Greater Elementals.,0,4,879078,0,3
708,Totem of the Earth,Increases success chance of missions by ${$a835}% when accompanied by Circles of Earthcallers or Earthen Ring Geomancers.,0,4,971076,0,3
709,Furious Charge,Increases success chance of missions by ${$a836}% when accompanied by Circles of Earthcallers or Earthen Ring Geomancers.,0,4,897028,0,3
710,Conjurer's Bauble,Increases success chance of missions by ${$a837}% when accompanied by Tirisgarde Apprentices or Kirin Tor Invokers.,0,4,646674,0,3
711,Arcanist's Trifle,Increases success chance of missions by ${$a838}% when accompanied by Tirisgarde Apprentices or Kirin Tor Invokers.,0,4,531974,0,3
712,Band of Primordial Strength,Increases success chance of missions by ${$a839}% when accompanied by Water Elementals or Arcane Golems.,0,4,629689,0,3
713,Highborne Bauble,Increases success chance of missions by ${$a840}% when accompanied by Water Elementals or Arcane Golems.,0,4,458246,0,3
714,Bow of Ancient Kings,Increases success chance of missions by ${$a841}% when accompanied by Squads of Archers or Unseen Marksmen.,0,4,800998,0,3
715,Seeker's Scrip,Increases success chance of missions by ${$a842}% when accompanied by Squads of Archers or Unseen Marksmen.,0,4,303622,0,3
716,Windrunner's Gift,Increases success chance of missions by ${$a843}% when accompanied by Bands of Trackers or Pathfinders.,0,4,660748,0,3
717,Cloak of Deception,Increases success chance of missions by ${$a844}% when accompanied by Bands of Trackers or Pathfinders.,0,4,1029754,0,3
718,Valarjar's Might,Increases success chance of missions by ${$a845}% when accompanied by Valarjar Aspirants or Stormforged Valarjar.,0,4,1377132,0,3
719,War Banner,Increases success chance of missions by ${$a846}% when accompanied by Valarjar Aspirants or Stormforged Valarjar.,0,4,136005,0,3
720,Axe of the Valkyra,Increases success chance of missions by ${$a847}% when accompanied by Shieldmaiden Warbands or Valkyra Shieldmaidens.,0,4,800997,0,3
721,Skull of a Fallen Foe,Increases success chance of missions by ${$a848}% when accompanied by Shieldmaiden Warbands or Valkyra Shieldmaidens.,0,4,307568,0,3
722,Skull of Embrace,Increases success chance of missions by ${$a849}% when accompanied by Packs of Imps or Swarms of Wild Imps.,0,4,237272,0,3
723,Demonic Brew,Increases success chance of missions by ${$a850}% when accompanied by Packs of Imps or Swarms of Wild Imps.,0,4,463489,0,3
724,Helm of Command,Increases success chance of missions by ${$a851}% when accompanied by Black Harvest Acolytes or Black Harvest Invokers.,0,4,353520,0,3
725,Black Harvest Curio,Increases success chance of missions by ${$a852}% when accompanied by Black Harvest Acolytes or Black Harvest Invokers.,0,4,971279,0,3
726,Chi Empowered Jewel,"Increases success chance of missions by ${$a853}% when accompanied by Ox Initiates, Ox Adepts or Ox Masters.",0,4,839611,0,3
727,Tea of Blessing,"Increases success chance of missions by ${$a854}% when accompanied by Ox Initiates, Ox Adepts or Ox Masters.",0,4,611418,0,3
728,Mogu Madstone,"Increases success chance of missions by ${$a855}% when accompanied by Tiger Initiates, Tiger Adepts or Tiger Masters.",0,4,1381296,0,3
729,Bell of Fury,"Increases success chance of missions by ${$a856}% when accompanied by Tiger Initiates, Tiger Adepts or Tiger Masters.",0,4,656322,0,3
730,Elune's Sight,Increases success chance of missions by ${$a857}% when accompanied by Dreamgrove Treants or Daughters of Cenarius.,0,4,801013,0,3
731,Scroll of Growth,Increases success chance of missions by ${$a858}% when accompanied by Dreamgrove Treants or Daughters of Cenarius.,0,4,461848,0,3
732,Glowing Token,Increases success chance of missions by ${$a859}% when accompanied by Druids of the Claw or Keepers of the Grove.,0,4,1128042,0,3
733,Forest Ember,Increases success chance of missions by ${$a860}% when accompanied by Druids of the Claw or Keepers of the Grove.,0,4,1045414,0,3
734,Justice Hammer,Increases success chance of missions by ${$a861}% when accompanied by Squads of Squires or Shieldbearer Phalanx.,0,4,613955,0,3
735,Light's Shield,Increases success chance of missions by ${$a862}% when accompanied by Squads of Squires or Shieldbearer Phalanx.,0,4,134978,0,3
